GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,MIN,DEN
2023111911,2023-11-19,2,12,35,MIN,DEN,2,8,31,1,0,(12:35) (SHOTGUN) 15-J.DOBBS PASS SHORT LEFT TO 4-B.POWELL TO DEN 47 FOR 22 YARDS (2-P.SURTAIN).,0,2023,22,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,1045,0,0
2023111911,2023-11-19,2,11,56,MIN,DEN,1,10,53,0,0,(11:56) 32-T.CHANDLER RIGHT GUARD TO DEN 41 FOR 6 YARDS (49-A.SINGLETON).,0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,47,OPP,0,,0,,0,1084,0,0
2023111911,2023-11-19,2,11,31,MIN,DEN,2,4,59,0,0,"(11:31) (NO HUDDLE, SHOTGUN) 32-T.CHANDLER RIGHT TACKLE TO DEN 39 FOR 2 YARDS (92-J.HARRIS).",0,2023,2,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,41,OPP,0,,0,,0,1109,0,0
2023111911,2023-11-19,2,10,51,MIN,DEN,3,2,61,1,0,(10:51) (SHOTGUN) 15-J.DOBBS PASS DEEP RIGHT TO 87-T.HOCKENSON TO DEN 10 FOR 29 YARDS (22-K.JACKSON) [92-J.HARRIS].,0,2023,29,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,39,OPP,0,,0,,0,1149,0,0
2023111911,2023-11-19,2,10,5,MIN,DEN,1,10,90,0,0,(10:05) 15-J.DOBBS PASS SHORT MIDDLE TO 32-T.CHANDLER TO DEN 3 FOR 7 YARDS (22-K.JACKSON; 49-A.SINGLETON).,0,2023,7,UNDER CENTER,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,10,OPP,0,,0,,0,1195,0,0
2023111911,2023-11-19,2,9,28,MIN,DEN,2,3,97,0,0,"(9:28) 2-A.MATTISON LEFT GUARD TO DEN 5 FOR -2 YARDS (0-J.COOPER, 92-J.HARRIS).",0,2023,-2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,3,OPP,0,,0,,0,1232,0,0
2023111911,2023-11-19,2,8,53,MIN,DEN,3,5,95,0,0,(8:53) (SHOTGUN) 15-J.DOBBS SACKED AT DEN 16 FOR -11 YARDS (0-J.COOPER).,0,2023,-11,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,5,OPP,0,,0,,0,1267,0,0
2023111911,2023-11-19,2,8,13,MIN,DEN,4,16,84,0,0,"(8:13) 1-G.JOSEPH 34 YARD FIELD GOAL IS GOOD, CENTER-42-A.DEPAOLA, HOLDER-14-R.WRIGHT.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,16,OPP,0,,0,,0,1307,0,0
2023111911,2023-11-19,2,8,9,DEN,MIN,0,0,100,1,0,TIMEOUT AT 08:09.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1311,0,0
2023111911,2023-11-19,2,8,9,DEN,MIN,1,10,25,1,0,(8:09) (SHOTGUN) 3-R.WILSON PASS DEEP RIGHT TO 10-J.JEUDY TO DEN 44 FOR 19 YARDS (5-M.BLACKMON).,0,2023,19,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,1311,0,0
2023111911,2023-11-19,2,8,9,DEN,MIN,0,0,65,1,0,"1-G.JOSEPH KICKS 65 YARDS FROM MIN 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,1311,0,0
2023111911,2023-11-19,2,7,31,DEN,MIN,1,10,44,0,0,(7:31) (SHOTGUN) 33-J.WILLIAMS UP THE MIDDLE TO DEN 47 FOR 3 YARDS (97-H.PHILLIPS; 40-I.PACE).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,44,OWN,0,,0,,0,1349,0,0
2023111911,2023-11-19,2,6,54,DEN,MIN,2,7,47,1,0,(6:54) (SHOTGUN) 3-R.WILSON PASS DEEP LEFT TO 14-C.SUTTON TO MIN 20 FOR 33 YARDS (5-M.BLACKMON).,0,2023,33,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,47,OWN,0,,0,,0,1386,0,0
2023111911,2023-11-19,2,6,12,DEN,MIN,1,10,80,0,0,(6:12) 33-J.WILLIAMS LEFT TACKLE TO MIN 16 FOR 4 YARDS (24-C.BYNUM).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,20,OPP,0,,0,,0,1428,0,0
2023111911,2023-11-19,2,5,36,DEN,MIN,2,6,84,0,0,(5:36) (SHOTGUN) 3-R.WILSON PASS SHORT RIGHT TO 38-J.MCLAUGHLIN TO MIN 17 FOR -1 YARDS (5-M.BLACKMON).,0,2023,-1,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,16,OPP,0,,0,,0,1464,0,0
