GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,CLE,PIT
2023111901,2023-11-19,1,9,1,PIT,CLE,3,18,1,0,0,(9:01) (SHOTGUN) 8-K.PICKETT PASS SHORT LEFT TO 11-A.ROBINSON RAN OB AT PIT 7 FOR 6 YARDS.,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,1,OWN,0,,0,,0,359,0,0
2023111901,2023-11-19,1,8,31,PIT,CLE,4,12,7,0,0,"(8:31) 6-P.HARVIN PUNTS 43 YARDS TO 50, CENTER-46-C.KUNTZ, FAIR CATCH BY 11-J.PROCHE.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,7,OWN,0,,0,,0,389,0,0
2023111901,2023-11-19,1,8,24,CLE,PIT,1,10,100,0,0,(8:24) (SHOTGUN) DIRECT SNAP TO 34-J.FORD.  34-J.FORD LEFT END TO PIT 48 FOR 2 YARDS (56-A.HIGHSMITH).,0,2023,0,SHOTGUN,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,396,0,0
2023111901,2023-11-19,1,8,24,CLE,PIT,0,0,100,1,0,TIMEOUT AT 08:24.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,396,0,0
2023111901,2023-11-19,1,7,38,CLE,PIT,2,8,52,1,0,(7:38) 53-N.HARRIS REPORTED IN AS ELIGIBLE.  17-D.THOMPSON-ROBINSON PASS SHORT RIGHT TO 85-D.NJOKU TO PIT 30 FOR 18 YARDS (17-T.THOMPSON).,0,2023,18,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,48,OPP,0,,0,,0,442,0,0
2023111901,2023-11-19,1,6,54,CLE,PIT,1,10,70,0,0,(6:54) (SHOTGUN) 17-D.THOMPSON-ROBINSON PASS SHORT RIGHT TO 34-J.FORD PUSHED OB AT PIT 25 FOR 5 YARDS (24-J.PORTER).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,30,OPP,0,,0,,0,486,0,0
2023111901,2023-11-19,1,6,17,CLE,PIT,2,5,75,0,0,"(6:17) 34-J.FORD RIGHT GUARD TO PIT 12 FOR 13 YARDS (20-P.PETERSON). PENALTY ON PIT-20-P.PETERSON, FACE MASK, 6 YARDS, ENFORCED AT PIT 12.",0,2023,13,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,RIGHT GUARD,25,OPP,1,PIT,0,FACE MASK,6,523,0,0
2023111901,2023-11-19,1,5,51,CLE,PIT,1,6,94,0,0,(5:51) 34-J.FORD RIGHT GUARD TO PIT 4 FOR 2 YARDS (94-A.WATTS; 37-E.RILEY).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,6,OPP,0,,0,,0,549,0,0
2023111901,2023-11-19,1,5,12,CLE,PIT,2,4,96,0,0,(5:12) (SHOTGUN) DIRECT SNAP TO 34-J.FORD.  34-J.FORD RIGHT GUARD TO PIT 1 FOR 3 YARDS (50-E.ROBERTS; 56-A.HIGHSMITH).,0,2023,0,SHOTGUN,,0,0,0,0,,0,0,0,,0,0,0,0,0,,4,OPP,0,,0,,0,588,0,0
2023111901,2023-11-19,1,4,38,CLE,PIT,3,1,99,0,0,"(4:38) 53-N.HARRIS AND 68-M.DUNN REPORTED IN AS ELIGIBLE.  34-J.FORD RIGHT GUARD TO PIT 1 FOR NO GAIN (99-L.OGUNJOBI). CLEVELAND CHALLENGED THE SHORT OF THE GOAL LINE RULING, AND THE PLAY WAS REVERSED. 53-N.HARRIS AND 68-M.DUNN REPORTED IN AS ELIGIBLE.  34-J.FORD RIGHT GUARD FOR 1 YARD, TOUCHDOWN.",0,2023,0,UNDER CENTER,RUSH,1,0,0,1,,0,1,1,,0,0,0,0,0,RIGHT GUARD,1,OPP,0,,0,,0,622,0,0
