GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,DAL,CAR
2023111900,2023-11-19,2,4,14,CAR,DAL,3,6,53,1,0,(4:14) (SHOTGUN) 9-B.YOUNG PASS DEEP LEFT TO 84-S.SULLIVAN PUSHED OB AT DAL 27 FOR 20 YARDS (1-J.KEARSE).,0,2023,20,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,47,OPP,0,,0,,0,1546,0,0
2023111900,2023-11-19,2,3,47,CAR,DAL,1,10,73,1,0,"(3:47) (NO HUDDLE, SHOTGUN) 6-M.SANDERS LEFT GUARD TO DAL 13 FOR 14 YARDS (1-J.KEARSE; 33-D.CLARK).",0,2023,14,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,27,OPP,0,,0,,0,1573,0,0
2023111900,2023-11-19,2,3,7,CAR,DAL,1,10,87,0,0,(3:07) (SHOTGUN) 6-M.SANDERS RIGHT END TO DAL 17 FOR -4 YARDS (6-D.WILSON).,0,2023,-4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,13,OPP,0,,0,,0,1613,0,0
2023111900,2023-11-19,2,2,23,CAR,DAL,2,14,83,0,0,(2:23) (SHOTGUN) 9-B.YOUNG PASS INCOMPLETE SHORT RIGHT.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,17,OPP,0,,0,,0,1657,0,0
2023111900,2023-11-19,2,2,18,CAR,DAL,3,14,83,0,0,(2:18) (SHOTGUN) 9-B.YOUNG SACKED AT DAL 24 FOR -7 YARDS (90-D.LAWRENCE).,0,2023,-7,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,17,OPP,0,,0,,0,1662,0,0
2023111900,2023-11-19,2,2,0,CAR,DAL,4,21,76,0,0,"(2:00) 4-E.PINEIRO 42 YARD FIELD GOAL IS GOOD, CENTER-44-J.JANSEN, HOLDER-10-J.HEKKER.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,24,OPP,0,,0,,0,1680,0,0
2023111900,2023-11-19,2,2,0,CAR,DAL,0,0,100,1,0,TWO-MINUTE WARNING,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1680,0,0
2023111900,2023-11-19,2,1,56,DAL,CAR,0,0,65,1,0,"4-E.PINEIRO KICKS 61 YARDS FROM CAR 35 TO DAL 4, OUT OF BOUNDS.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,1684,0,0
2023111900,2023-11-19,2,1,56,DAL,CAR,1,10,40,0,0,(1:56) (SHOTGUN) 4-D.PRESCOTT PASS INCOMPLETE SHORT LEFT TO 87-J.FERGUSON (40-D.JONES).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,40,OWN,0,,0,,0,1684,0,0
2023111900,2023-11-19,2,1,56,CAR,DAL,0,0,100,1,0,TIMEOUT AT 01:56.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1684,0,0
2023111900,2023-11-19,2,1,52,DAL,CAR,2,10,40,1,0,(1:52) (SHOTGUN) 4-D.PRESCOTT PASS DEEP RIGHT TO 13-M.GALLUP TO CAR 41 FOR 19 YARDS (24-V.BELL).,0,2023,19,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,40,OWN,0,,0,,0,1688,0,0
2023111900,2023-11-19,2,1,28,DAL,CAR,1,10,59,0,0,"(1:28) (NO HUDDLE, SHOTGUN) 4-D.PRESCOTT PASS INCOMPLETE SHORT RIGHT TO 13-M.GALLUP.",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,41,OPP,0,,0,,0,1712,0,0
2023111900,2023-11-19,2,1,23,DAL,CAR,2,10,59,0,0,(1:23) (SHOTGUN) 4-D.PRESCOTT PASS INCOMPLETE SHORT LEFT TO 18-J.TOLBERT (13-T.HILL) [0-B.BURNS].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,41,OPP,0,,0,,0,1717,0,0
2023111900,2023-11-19,2,1,19,DAL,CAR,3,10,59,0,0,"(1:19) (SHOTGUN) 4-D.PRESCOTT SCRAMBLES UP THE MIDDLE TO CAR 38 FOR 3 YARDS (90-A.BARNO). PENALTY ON CAR-90-A.BARNO, UNNECESSARY ROUGHNESS, 15 YARDS, ENFORCED AT CAR 38.",0,2023,3,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,1,0,0,,41,OPP,1,CAR,0,UNNECESSARY ROUGHNESS,15,1721,0,0
2023111900,2023-11-19,2,1,15,DAL,CAR,1,10,77,0,0,(1:15) (SHOTGUN) 20-T.POLLARD UP THE MIDDLE TO CAR 29 FOR -6 YARDS (95-DER.BROWN).,0,2023,-6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,23,OPP,0,,0,,0,1725,0,0
2023111900,2023-11-19,2,0,50,DAL,CAR,2,16,71,0,0,"(:50) (NO HUDDLE, SHOTGUN) 4-D.PRESCOTT PASS INCOMPLETE SHORT RIGHT TO 18-J.TOLBERT.",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,29,OPP,0,,0,,0,1750,0,0
2023111900,2023-11-19,2,0,47,DAL,CAR,3,16,71,0,0,"(:47) (SHOTGUN) 4-D.PRESCOTT PASS SHORT MIDDLE TO 88-C.LAMB TO CAR 19 FOR 10 YARDS (26-D.JACKSON). PENALTY ON CAR-96-D.WILLIAMS, UNNECESSARY ROUGHNESS, 10 YARDS, ENFORCED AT CAR 19.",0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,1,0,0,,29,OPP,1,CAR,0,UNNECESSARY ROUGHNESS,10,1753,0,0
2023111900,2023-11-19,2,0,38,DAL,CAR,1,9,91,0,0,(:38) (SHOTGUN) 20-T.POLLARD UP THE MIDDLE TO CAR 5 FOR 4 YARDS (52-D.JOHNSON; 96-D.WILLIAMS).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,9,OPP,0,,0,,0,1762,0,0
2023111900,2023-11-19,2,0,38,DAL,CAR,0,0,100,1,0,TIMEOUT #1 BY CAR AT 00:38.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1762,0,0
2023111900,2023-11-19,2,0,33,DAL,CAR,2,5,95,0,0,(:33) (SHOTGUN) 4-D.PRESCOTT PASS INCOMPLETE SHORT RIGHT TO 88-C.LAMB (49-F.LUVU).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,5,OPP,0,,0,,0,1767,0,0
2023111900,2023-11-19,2,0,33,DAL,CAR,0,0,100,1,0,TIMEOUT #1 BY DAL AT 00:33.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1767,0,0
2023111900,2023-11-19,2,0,29,DAL,CAR,3,5,95,1,0,"(:29) (SHOTGUN) 4-D.PRESCOTT PASS SHORT LEFT TO 88-C.LAMB FOR 5 YARDS, TOUCHDOWN.",0,2023,5,SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,0,0,0,0,,5,OPP,0,,0,,0,1771,0,0
2023111900,2023-11-19,2,0,29,DAL,CAR,0,0,100,1,0,TIMEOUT #2 BY DAL AT 00:29.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1771,0,0
2023111900,2023-11-19,2,0,24,CAR,DAL,0,0,100,1,0,TIMEOUT AT 00:24.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1776,0,0
2023111900,2023-11-19,2,0,24,DAL,CAR,0,0,85,1,0,"17-B.AUBREY EXTRA POINT IS GOOD, CENTER-44-T.SIEG, HOLDER-5-B.ANGER.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,1776,0,0
2023111900,2023-11-19,2,0,24,CAR,DAL,1,10,25,0,0,(:24) 9-B.YOUNG KNEELS TO CAR 24 FOR -1 YARDS.,0,2023,0,UNDER CENTER,QB KNEEL,0,0,0,0,,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,1776,0,0
