GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,DET,CHI
2023111902,2023-11-19,1,15,0,CHI,DET,0,0,65,1,0,"3-J.FOX KICKS 65 YARDS FROM DET 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,11,0,0,0
2023111902,2023-11-19,1,15,0,CHI,DET,1,10,25,0,0,(15:00) (SHOTGUN) 1-J.FIELDS PASS INCOMPLETE SHORT RIGHT [32-B.BRANCH].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,11,0,0,0
2023111902,2023-11-19,1,14,54,CHI,DET,2,10,25,1,0,(14:54) (SHOTGUN) 1-J.FIELDS LEFT END PUSHED OB AT CHI 36 FOR 11 YARDS (46-J.CAMPBELL).,0,2023,11,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,25,OWN,0,,0,,0,11,6,0,0
2023111902,2023-11-19,1,14,13,CHI,DET,1,10,36,0,0,(14:13) (SHOTGUN) 1-J.FIELDS RIGHT TACKLE TO CHI 43 FOR 7 YARDS (21-T.WALKER).,0,2023,7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,36,OWN,0,,0,,0,11,47,0,0
2023111902,2023-11-19,1,13,43,CHI,DET,2,3,43,1,0,"(13:43) (NO HUDDLE, SHOTGUN) 1-J.FIELDS PASS SHORT MIDDLE TO 2-D.MOORE TO DET 43 FOR 14 YARDS (23-J.JACOBS).",0,2023,14,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,43,OWN,0,,0,,0,11,77,0,0
2023111902,2023-11-19,1,12,58,CHI,DET,1,10,57,1,0,(12:58) (SHOTGUN) 1-J.FIELDS PASS SHORT RIGHT TO 85-C.KMET TO DET 32 FOR 11 YARDS (34-A.ANZALONE).,0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,43,OPP,0,,0,,0,11,122,0,0
2023111902,2023-11-19,1,12,21,CHI,DET,1,10,68,1,0,(12:21) (SHOTGUN) 1-J.FIELDS PASS SHORT RIGHT TO 19-E.ST. BROWN TO DET 19 FOR 13 YARDS (23-J.JACOBS).,0,2023,13,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,32,OPP,0,,0,,0,11,159,0,0
2023111902,2023-11-19,1,11,39,CHI,DET,1,10,81,0,0,(11:39) 21-D.FOREMAN LEFT END TO DET 15 FOR 4 YARDS (55-D.BARNES).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,19,OPP,0,,0,,0,11,201,0,0
2023111902,2023-11-19,1,10,59,CHI,DET,2,6,85,1,0,(10:59) 1-J.FIELDS SCRAMBLES UP THE MIDDLE TO DET 5 FOR 10 YARDS (34-A.ANZALONE).,0,2023,10,UNDER CENTER,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,11,241,0,0
2023111902,2023-11-19,1,10,15,CHI,DET,1,5,95,0,0,"(10:15) (SHOTGUN) 21-D.FOREMAN RIGHT TACKLE TO DET 1 FOR 4 YARDS (31-K.JOSEPH, 34-A.ANZALONE).",0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,5,OPP,0,,0,,0,11,285,0,0
2023111902,2023-11-19,1,9,30,CHI,DET,2,1,99,0,0,"(9:30) 1-J.FIELDS PASS INCOMPLETE SHORT RIGHT TO 18-R.TONYAN. PENALTY ON DET-25-W.HARRIS, DEFENSIVE PASS INTERFERENCE, 0 YARDS, ENFORCED AT DET 1 - NO PLAY.",0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,1,OPP,1,DET,1,DEFENSIVE PASS INTERFERENCE,0,11,330,0,0
2023111902,2023-11-19,1,9,30,CHI,DET,0,0,100,1,0,TIMEOUT #1 BY CHI AT 09:30.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,11,330,0,0
2023111902,2023-11-19,1,9,26,CHI,DET,1,1,99,1,0,"(9:26) (SHOTGUN) 21-D.FOREMAN RIGHT TACKLE FOR 1 YARD, TOUCHDOWN.",0,2023,1,SHOTGUN,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,1,OPP,0,,0,,0,11,334,0,0
2023111902,2023-11-19,1,9,23,CHI,DET,0,0,85,1,0,"8-C.SANTOS EXTRA POINT IS GOOD, CENTER-48-P.SCALES, HOLDER-16-T.GILL.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,11,337,0,0
