GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,MIA,LV
2023111906,2023-11-19,1,10,58,LV,MIA,1,10,70,0,0,(10:58) 8-J.JACOBS RIGHT GUARD TO MIA 28 FOR 2 YARDS (2-B.CHUBB).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,30,OPP,0,,0,,0,11,242,0,0
2023111906,2023-11-19,1,10,58,MIA,LV,0,0,100,1,0,TIMEOUT AT 10:58.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,11,242,0,0
2023111906,2023-11-19,1,10,20,LV,MIA,2,8,72,0,0,(10:20) 8-J.JACOBS LEFT TACKLE TO MIA 27 FOR 1 YARD (2-B.CHUBB).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,28,OPP,0,,0,,0,11,280,0,0
2023111906,2023-11-19,1,9,37,LV,MIA,3,7,73,1,0,(9:37) (SHOTGUN) 4-A.O'CONNELL PASS SHORT RIGHT TO 87-M.MAYER PUSHED OB AT MIA 15 FOR 12 YARDS (25-X.HOWARD).,0,2023,12,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,27,OPP,0,,0,,0,11,323,0,0
2023111906,2023-11-19,1,9,14,LV,MIA,1,10,85,0,0,"(9:14) (NO HUDDLE, SHOTGUN) 4-A.O'CONNELL PASS SHORT MIDDLE TO 13-H.RENFROW TO MIA 11 FOR 4 YARDS (4-K.KOHOU). PENALTY ON LV-87-M.MAYER, OFFENSIVE PASS INTERFERENCE, 10 YARDS, ENFORCED AT MIA 15 - NO PLAY.",0,2023,4,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,1,0,0,,15,OPP,1,LV,1,OFFENSIVE PASS INTERFERENCE,10,11,346,0,0
2023111906,2023-11-19,1,8,57,LV,MIA,1,20,75,0,0,(8:57) 4-A.O'CONNELL PASS SHORT RIGHT TO 17-D.ADAMS TO MIA 18 FOR 7 YARDS (25-X.HOWARD).,0,2023,7,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,11,363,0,0
2023111906,2023-11-19,1,8,12,LV,MIA,2,13,82,0,0,(8:12) 4-A.O'CONNELL PASS SHORT RIGHT TO 17-D.ADAMS TO MIA 19 FOR -1 YARDS (25-X.HOWARD).,0,2023,-1,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,18,OPP,0,,0,,0,11,408,0,0
2023111906,2023-11-19,1,7,29,LV,MIA,3,14,81,0,0,(7:29) (SHOTGUN) 4-A.O'CONNELL PASS SHORT LEFT TO 13-H.RENFROW TO MIA 16 FOR 3 YARDS (4-K.KOHOU).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,19,OPP,0,,0,,0,11,451,0,0
2023111906,2023-11-19,1,6,46,LV,MIA,4,11,84,0,0,"(6:46) 2-D.CARLSON 34 YARD FIELD GOAL IS GOOD, CENTER-50-J.BOBENMOYER, HOLDER-6-A.COLE.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,16,OPP,0,,0,,0,11,494,0,0
2023111906,2023-11-19,1,6,41,MIA,LV,0,0,65,1,0,"2-D.CARLSON KICKS 65 YARDS FROM LV 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,11,499,0,0
