GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,BUF,NYJ
2023111909,2023-11-19,1,10,55,BUF,NYJ,3,6,34,1,0,(10:55) (SHOTGUN) 17-J.ALLEN PASS SHORT LEFT TO 86-D.KINCAID TO BUF 43 FOR 9 YARDS (4-D.REED).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,34,OWN,0,,0,,0,11,245,0,0
2023111909,2023-11-19,1,10,33,BUF,NYJ,1,10,43,0,0,"(10:33) (NO HUDDLE, SHOTGUN) 17-J.ALLEN PASS INCOMPLETE SHORT RIGHT TO 14-S.DIGGS.",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,43,OWN,0,,0,,0,11,267,0,0
2023111909,2023-11-19,1,10,26,BUF,NYJ,2,10,43,0,0,(10:26) (SHOTGUN) 17-J.ALLEN PASS SHORT LEFT TO 86-D.KINCAID PUSHED OB AT BUF 48 FOR 5 YARDS (4-D.REED).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,43,OWN,0,,0,,0,11,274,0,0
2023111909,2023-11-19,1,9,47,BUF,NYJ,3,5,48,1,0,(9:47) (SHOTGUN) 17-J.ALLEN LEFT GUARD TO NYJ 45 FOR 7 YARDS (4-D.REED).,0,2023,7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,48,OWN,0,,0,,0,11,313,0,0
2023111909,2023-11-19,1,9,12,BUF,NYJ,1,10,55,0,0,"(9:12) (SHOTGUN) 4-J.COOK RIGHT GUARD TO NYJ 38 FOR 7 YARDS (3-J.WHITEHEAD, 99-W.MCDONALD).",0,2023,7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,45,OPP,0,,0,,0,11,348,0,0
2023111909,2023-11-19,1,8,41,BUF,NYJ,2,3,62,1,0,(8:41) (SHOTGUN) 4-J.COOK LEFT TACKLE TO NYJ 33 FOR 5 YARDS (94-S.THOMAS).,0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,38,OPP,0,,0,,0,11,379,0,0
2023111909,2023-11-19,1,8,13,BUF,NYJ,1,10,67,0,0,"(8:13) (NO HUDDLE, SHOTGUN) 4-J.COOK LEFT TACKLE TO NYJ 27 FOR 6 YARDS (22-T.ADAMS).",0,2023,6,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,33,OPP,0,,0,,0,11,407,0,0
2023111909,2023-11-19,1,7,32,BUF,NYJ,2,4,73,1,0,(7:32) (SHOTGUN) 17-J.ALLEN PASS SHORT RIGHT TO 86-D.KINCAID TO NYJ 14 FOR 13 YARDS (22-T.ADAMS).,0,2023,13,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,27,OPP,0,,0,,0,11,448,0,0
2023111909,2023-11-19,1,6,53,BUF,NYJ,1,10,86,0,0,(6:53) (SHOTGUN) 28-L.MURRAY UP THE MIDDLE TO NYJ 12 FOR 2 YARDS (95-Q.WILLIAMS; 11-J.JOHNSON).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,14,OPP,0,,0,,0,11,487,0,0
2023111909,2023-11-19,1,6,12,BUF,NYJ,2,8,88,0,0,"(6:12) (SHOTGUN) 17-J.ALLEN PASS INCOMPLETE SHORT LEFT TO 85-Q.MORRIS. NYJ-22-T.ADAMS WAS INJURED DURING THE PLAY. HIS RETURN IS DOUBTFUL.  T.ADAMS WALKS OFF, GOES TO TUNNEL.",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,12,OPP,0,,0,,0,11,528,0,0
