GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,JAX,TEN
2023111905,2023-11-19,2,11,38,TEN,JAX,1,10,64,0,0,(11:38) (SHOTGUN) 22-D.HENRY UP THE MIDDLE TO JAX 35 FOR 1 YARD (33-D.LLOYD).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,36,OPP,0,,0,,0,11,1102,0,0
2023111905,2023-11-19,2,10,53,TEN,JAX,2,9,65,0,0,"(10:53) (SHOTGUN) 8-W.LEVIS PASS SHORT LEFT TO 10-D.HOPKINS TO JAX 33 FOR 2 YARDS (30-M.BROWN, 33-D.LLOYD).",0,2023,2,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,11,1147,0,0
2023111905,2023-11-19,2,10,10,TEN,JAX,3,7,67,0,0,(10:10) (SHOTGUN) 8-W.LEVIS SACKED AT JAX 40 FOR -7 YARDS (SACK SPLIT BY 41-J.ALLEN AND 5-A.CISCO).,0,2023,-7,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,33,OPP,0,,0,,0,11,1190,0,0
2023111905,2023-11-19,2,9,13,TEN,JAX,4,14,60,0,0,"(9:13) 4-R.STONEHOUSE PUNTS 39 YARDS TO JAX 1, CENTER-46-M.COX, DOWNED BY TEN-11-C.MOORE. PENALTY ON TEN-40-A.KENDALL, ILLEGAL KICK/KICKING LOOSE BALL, 10 YARDS, ENFORCED AT JAX 1.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,1,0,0,,40,OPP,1,TEN,0,ILLEGAL KICK/KICKING LOOSE BALL,10,11,1247,0,0
2023111905,2023-11-19,2,8,59,JAX,TEN,1,10,11,0,0,(8:59) 1-T.ETIENNE RIGHT END TO JAX 16 FOR 5 YARDS (38-T.EDMUNDS).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,11,OWN,0,,0,,0,11,1261,0,0
2023111905,2023-11-19,2,8,25,JAX,TEN,2,5,16,0,0,(8:25) (SHOTGUN) DIRECT SNAP TO 1-T.ETIENNE.  1-T.ETIENNE RIGHT GUARD TO JAX 24 FOR 8 YARDS (2-A.AL-SHAAIR).,0,2023,8,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,,16,OWN,0,,0,,0,11,1295,0,0
2023111905,2023-11-19,2,7,48,JAX,TEN,1,10,24,0,0,(7:48) (SHOTGUN) 16-T.LAWRENCE PASS INCOMPLETE DEEP RIGHT TO 17-E.ENGRAM (2-A.AL-SHAAIR).,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,24,OWN,0,,0,,0,11,1332,0,0
2023111905,2023-11-19,2,7,42,JAX,TEN,2,10,24,1,0,(7:42) (SHOTGUN) 16-T.LAWRENCE PASS SHORT MIDDLE TO 13-C.KIRK TO JAX 34 FOR 10 YARDS (2-A.AL-SHAAIR).,0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,24,OWN,0,,0,,0,11,1338,0,0
2023111905,2023-11-19,2,7,2,JAX,TEN,1,10,34,0,0,"(7:02) (SHOTGUN) 25-D.JOHNSON UP THE MIDDLE TO JAX 35 FOR 1 YARD (98-J.SIMMONS, 2-A.AL-SHAAIR).",0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,34,OWN,0,,0,,0,11,1378,0,0
2023111905,2023-11-19,2,6,21,JAX,TEN,2,9,35,0,0,(6:21) (SHOTGUN) 16-T.LAWRENCE PASS SHORT LEFT TO 1-T.ETIENNE TO JAX 35 FOR NO GAIN (58-H.LANDRY) [98-J.SIMMONS].,0,2023,0,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,35,OWN,0,,0,,0,11,1419,0,0
