GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,WAS,NYG
2023111907,2023-11-19,1,15,0,NYG,WAS,1,10,25,0,0,(15:00) 26-S.BARKLEY LEFT END TO NYG 22 FOR -3 YARDS (93-J.ALLEN).,0,2023,-3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,25,OWN,0,,0,,0,11,0,0,0
2023111907,2023-11-19,1,15,0,NYG,WAS,0,0,65,1,0,"6-J.SLYE KICKS 65 YARDS FROM WAS 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,11,0,0,0
2023111907,2023-11-19,1,14,36,NYG,WAS,2,13,22,0,0,"(14:36) (NO HUDDLE, SHOTGUN) 15-T.DEVITO PASS SHORT RIGHT TO 17-W.ROBINSON TO NYG 25 FOR 3 YARDS (35-P.BUTLER).",0,2023,3,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,22,OWN,0,,0,,0,11,24,0,0
2023111907,2023-11-19,1,14,5,NYG,WAS,3,10,25,1,0,"(14:05) (NO HUDDLE, SHOTGUN) 15-T.DEVITO PASS DEEP RIGHT TO 26-S.BARKLEY RAN OB AT NYG 46 FOR 21 YARDS.",0,2023,21,NO HUDDLE SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,11,55,0,0
2023111907,2023-11-19,1,13,37,NYG,WAS,1,10,46,0,0,"(13:37) (NO HUDDLE, SHOTGUN) 15-T.DEVITO SACKED AT NYG 38 FOR -8 YARDS (51-D.MAYO).",0,2023,-8,NO HUDDLE SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,46,OWN,0,,0,,0,11,83,0,0
2023111907,2023-11-19,1,13,6,NYG,WAS,2,18,38,0,0,"(13:06) (NO HUDDLE, SHOTGUN) 15-T.DEVITO PASS SHORT RIGHT TO 86-D.SLAYTON TO NYG 46 FOR 8 YARDS (31-K.CURL).",0,2023,8,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,11,114,0,0
2023111907,2023-11-19,1,12,30,NYG,WAS,3,10,46,0,0,"(12:30) (NO HUDDLE, SHOTGUN) 15-T.DEVITO SACKED AT NYG 44 FOR -2 YARDS (55-K.HENRY). WAS-97-E.OBADA WAS INJURED DURING THE PLAY. HE IS OUT.  97 - RIGHT LEG INJURY",0,2023,-2,NO HUDDLE SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,46,OWN,0,,0,,0,11,150,0,0
2023111907,2023-11-19,1,12,13,NYG,WAS,0,0,100,1,0,TIMEOUT AT 12:13.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,11,167,0,0
2023111907,2023-11-19,1,12,4,NYG,WAS,4,12,44,0,0,"(12:04) 6-J.GILLAN PUNTS 56 YARDS TO END ZONE, CENTER-59-C.KREITER, TOUCHBACK.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,44,OWN,0,,0,,0,11,176,0,0
2023111907,2023-11-19,1,11,56,WAS,NYG,1,10,20,0,0,(11:56) (SHOTGUN) 14-S.HOWELL PASS SHORT RIGHT TO 17-T.MCLAURIN TO WAS 24 FOR 4 YARDS (58-B.OKEREKE).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,11,184,0,0
