GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,CIN,BAL
2023111600,2023-11-16,3,0,30,BAL,CIN,4,4,71,0,0,"(:30) 9-J.TUCKER 47 YARD FIELD GOAL IS GOOD, CENTER-69-T.OTT, HOLDER-11-J.STOUT.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,29,OPP,0,,0,,0,11,2670,0,0
2023111600,2023-11-16,3,0,26,CIN,BAL,1,10,25,0,0,(:26) (SHOTGUN) 28-J.MIXON UP THE MIDDLE TO CIN 25 FOR NO GAIN (6-P.QUEEN).,0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,25,OWN,0,,0,,0,11,2674,0,0
2023111600,2023-11-16,3,0,26,CIN,BAL,0,0,65,1,0,"9-J.TUCKER KICKS 65 YARDS FROM BAL 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,11,2674,0,0
2023111600,2023-11-16,4,15,0,CIN,BAL,2,10,25,0,0,"(15:00) (SHOTGUN) 6-J.BROWNING PASS SHORT LEFT TO 87-T.HUDSON TO CIN 27 FOR 2 YARDS (5-J.ARMOUR-DAVIS, 14-K.HAMILTON).",0,2023,2,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,11,2700,0,0
2023111600,2023-11-16,3,0,0,CIN,BAL,0,0,100,1,0,END QUARTER 3,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,11,2700,0,0
2023111600,2023-11-16,4,14,17,CIN,BAL,3,8,27,0,0,(14:17) (SHOTGUN) 6-J.BROWNING PASS INCOMPLETE SHORT MIDDLE TO 83-T.BOYD (14-K.HAMILTON).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,11,2743,0,0
2023111600,2023-11-16,4,14,13,CIN,BAL,4,8,27,0,0,"(14:13) 10-B.ROBBINS PUNTS 38 YARDS TO BAL 35, CENTER-48-C.ADOMITIS, FAIR CATCH BY 13-D.DUVERNAY.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,11,2747,0,0
2023111600,2023-11-16,4,14,6,BAL,CIN,1,10,35,0,0,"(14:06) (SHOTGUN) 34-K.MITCHELL LEFT TACKLE TO BAL 40 FOR 5 YARDS (55-L.WILSON, 21-M.HILTON).",0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,35,OWN,0,,0,,0,11,2754,0,0
2023111600,2023-11-16,4,13,30,BAL,CIN,2,5,40,0,0,(13:30) 34-K.MITCHELL RIGHT END TO BAL 43 FOR 3 YARDS (55-L.WILSON; 59-A.DAVIS-GAITHER).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,40,OWN,0,,0,,0,11,2790,0,0
2023111600,2023-11-16,4,13,5,BAL,CIN,3,2,43,1,0,"(13:05) (NO HUDDLE, SHOTGUN) 34-K.MITCHELL LEFT TACKLE TO BAL 48 FOR 5 YARDS (57-G.PRATT).",0,2023,5,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,43,OWN,0,,0,,0,11,2815,0,0
2023111600,2023-11-16,4,12,28,BAL,CIN,1,10,48,0,0,(12:28) (SHOTGUN) 8-L.JACKSON UP THE MIDDLE TO CIN 44 FOR 8 YARDS (27-J.BATTLE).,0,2023,8,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,48,OWN,0,,0,,0,11,2852,0,0
2023111600,2023-11-16,4,11,46,BAL,CIN,2,2,56,0,0,"(11:46) (SHOTGUN) 34-K.MITCHELL LEFT TACKLE TO CIN 41 FOR 3 YARDS (27-J.BATTLE). PENALTY ON BAL-76-J.SIMPSON, OFFENSIVE HOLDING, 11 YARDS, ENFORCED AT CIN 44 - NO PLAY.",0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,LEFT TACKLE,44,OPP,1,BAL,1,OFFENSIVE HOLDING,11,11,2894,0,0
2023111600,2023-11-16,4,11,17,BAL,CIN,2,13,45,0,0,(11:17) (SHOTGUN) 8-L.JACKSON SCRAMBLES LEFT END TO CIN 48 FOR 7 YARDS (27-J.BATTLE).,0,2023,7,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,45,OWN,0,,0,,0,11,2923,0,0
2023111600,2023-11-16,4,10,45,BAL,CIN,3,6,52,0,0,"(10:45) (NO HUDDLE, SHOTGUN) 8-L.JACKSON PASS INCOMPLETE SHORT LEFT TO 80-I.LIKELY.",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,48,OPP,0,,0,,0,11,2955,0,0
2023111600,2023-11-16,4,10,40,BAL,CIN,4,6,52,0,0,"(10:40) 11-J.STOUT PUNTS 48 YARDS TO END ZONE, CENTER-69-T.OTT, TOUCHBACK.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,48,OPP,0,,0,,0,11,2960,0,0
2023111600,2023-11-16,4,10,33,CIN,BAL,1,10,20,0,0,(10:33) (SHOTGUN) 28-J.MIXON LEFT GUARD TO CIN 23 FOR 3 YARDS (95-T.ROBINSON).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,20,OWN,0,,0,,0,11,2967,0,0
2023111600,2023-11-16,4,10,33,BAL,CIN,0,0,100,1,0,TIMEOUT AT 10:33.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,11,2967,0,0
2023111600,2023-11-16,4,9,57,CIN,BAL,2,7,23,0,0,(9:57) (SHOTGUN) 6-J.BROWNING PASS SHORT LEFT TO 28-J.MIXON TO CIN 25 FOR 2 YARDS (10-A.MAULET).,0,2023,2,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,23,OWN,0,,0,,0,11,3003,0,0
2023111600,2023-11-16,4,9,19,CIN,BAL,3,5,25,0,0,(9:19) (SHOTGUN) 6-J.BROWNING SACKED AT CIN 23 FOR -2 YARDS (92-J.MADUBUIKE).,0,2023,-2,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,11,3041,0,0
2023111600,2023-11-16,4,8,35,CIN,BAL,4,7,23,0,0,"(8:35) 10-B.ROBBINS PUNTS 50 YARDS TO BAL 27, CENTER-48-C.ADOMITIS. 13-D.DUVERNAY TO BAL 32 FOR 5 YARDS (51-M.BAILEY; 27-J.BATTLE).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,23,OWN,0,,0,,0,11,3085,0,0
2023111600,2023-11-16,4,8,25,BAL,CIN,1,10,32,0,0,(8:25) (SHOTGUN) 35-G.EDWARDS RIGHT TACKLE TO BAL 38 FOR 6 YARDS (27-J.BATTLE).,0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,32,OWN,0,,0,,0,11,3095,0,0
2023111600,2023-11-16,4,8,25,BAL,CIN,0,0,100,1,0,TIMEOUT AT 08:25.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,11,3095,0,0
2023111600,2023-11-16,4,7,45,BAL,CIN,2,9,33,0,0,"(7:45) (SHOTGUN) 8-L.JACKSON PASS DEEP RIGHT TO 3-O.BECKHAM TO CIN 16 FOR 51 YARDS (55-L.WILSON). PENALTY ON CIN-20-D.TURNER, ILLEGAL CONTACT, DECLINED.",0,2023,51,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,1,0,0,,33,OWN,0,CIN,0,ILLEGAL CONTACT,0,11,3135,0,0
2023111600,2023-11-16,4,7,45,BAL,CIN,2,4,38,0,0,"(7:45) (SHOTGUN) PENALTY ON BAL-65-P.MEKARI, FALSE START, 5 YARDS, ENFORCED AT BAL 38 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,38,OWN,1,BAL,1,FALSE START,5,11,3135,0,0
2023111600,2023-11-16,4,7,11,BAL,CIN,1,10,84,0,0,(7:11) (SHOTGUN) 8-L.JACKSON LEFT END TO CIN 9 FOR 7 YARDS (27-J.BATTLE).,0,2023,7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,16,OPP,0,,0,,0,11,3169,0,0
2023111600,2023-11-16,4,6,25,BAL,CIN,2,3,91,0,0,(6:25) 43-J.HILL RIGHT END TO CIN 8 FOR 1 YARD (23-D.HILL; 58-J.OSSAI).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,9,OPP,0,,0,,0,11,3215,0,0
2023111600,2023-11-16,4,5,37,BAL,CIN,3,2,92,1,0,"(5:37) 35-G.EDWARDS RIGHT TACKLE TO CIN 3 FOR 5 YARDS (55-L.WILSON, 95-Z.CARTER).",0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,8,OPP,0,,0,,0,11,3263,0,0
2023111600,2023-11-16,4,4,52,BAL,CIN,1,3,97,1,0,"(4:52) 35-G.EDWARDS UP THE MIDDLE FOR 3 YARDS, TOUCHDOWN.",0,2023,3,UNDER CENTER,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,CENTER,3,OPP,0,,0,,0,11,3308,0,0
2023111600,2023-11-16,4,4,49,CIN,BAL,0,0,65,1,0,"9-J.TUCKER KICKS 65 YARDS FROM BAL 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,11,3311,0,0
2023111600,2023-11-16,4,4,49,BAL,CIN,0,0,100,1,0,TIMEOUT AT 04:49.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,11,3311,0,0
2023111600,2023-11-16,4,4,49,CIN,BAL,1,10,25,0,0,(4:49) (SHOTGUN) 28-J.MIXON RIGHT TACKLE TO CIN 27 FOR 2 YARDS (97-B.URBAN).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,25,OWN,0,,0,,0,11,3311,0,0
2023111600,2023-11-16,4,4,49,BAL,CIN,0,0,85,1,0,"9-J.TUCKER EXTRA POINT IS GOOD, CENTER-69-T.OTT, HOLDER-11-J.STOUT.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,11,3311,0,0
2023111600,2023-11-16,4,4,16,CIN,BAL,2,8,27,0,0,(4:16) (SHOTGUN) 6-J.BROWNING SACKED AT CIN 17 FOR -10 YARDS (50-K.VAN NOY).,0,2023,-10,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,11,3344,0,0
2023111600,2023-11-16,4,3,36,CIN,BAL,3,18,17,0,0,"(3:36) (SHOTGUN) 32-T.WILLIAMS UP THE MIDDLE TO CIN 32 FOR 15 YARDS (21-B.STEPHENS, 0-R.SMITH).",0,2023,15,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,17,OWN,0,,0,,0,11,3384,0,0
2023111600,2023-11-16,4,2,55,CIN,BAL,4,3,32,1,0,(2:55) (SHOTGUN) 6-J.BROWNING SCRAMBLES LEFT END TO BAL 49 FOR 19 YARDS (26-G.STONE).,0,2023,19,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,11,3425,0,0
2023111600,2023-11-16,4,2,11,CIN,BAL,1,10,51,1,0,(2:11) (SHOTGUN) 6-J.BROWNING PASS DEEP MIDDLE TO 87-T.HUDSON TO BAL 30 FOR 19 YARDS (32-M.WILLIAMS).,0,2023,19,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,49,OPP,0,,0,,0,11,3469,0,0
2023111600,2023-11-16,4,2,0,CIN,BAL,1,10,70,0,0,"(2:00) (SHOTGUN) 6-J.BROWNING SCRAMBLES RIGHT END PUSHED OB AT BAL 17 FOR 13 YARDS (40-M.HARRISON). PENALTY ON BAL-14-K.HAMILTON, DEFENSIVE HOLDING, 5 YARDS, ENFORCED AT BAL 17.",0,2023,13,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,1,0,0,,30,OPP,1,BAL,0,DEFENSIVE HOLDING,5,11,3480,0,0
2023111600,2023-11-16,4,2,0,CIN,BAL,0,0,100,1,0,TWO-MINUTE WARNING,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,11,3480,0,0
2023111600,2023-11-16,4,1,52,CIN,BAL,1,10,88,1,0,(1:52) (SHOTGUN) 6-J.BROWNING PASS SHORT LEFT TO 16-T.IRWIN TO BAL 2 FOR 10 YARDS (5-J.ARMOUR-DAVIS; 14-K.HAMILTON).,0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,12,OPP,0,,0,,0,11,3488,0,0
2023111600,2023-11-16,4,1,12,CIN,BAL,1,2,98,1,0,"(1:12) (SHOTGUN) 6-J.BROWNING PASS SHORT LEFT TO 1-J.CHASE FOR 2 YARDS, TOUCHDOWN.",0,2023,2,SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,0,0,0,0,,2,OPP,0,,0,,0,11,3528,0,0
2023111600,2023-11-16,4,1,8,BAL,CIN,0,0,65,1,0,2-E.MCPHERSON KICKS ONSIDE 7 YARDS FROM CIN 35 TO CIN 42. 13-D.DUVERNAY (DIDN'T TRY TO ADVANCE) TO CIN 42 FOR NO GAIN.,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,11,3532,0,0
2023111600,2023-11-16,4,1,8,CIN,BAL,0,0,85,1,0,"2-E.MCPHERSON EXTRA POINT IS GOOD, CENTER-48-C.ADOMITIS, HOLDER-10-B.ROBBINS.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,11,3532,0,0
2023111600,2023-11-16,4,1,7,BAL,CIN,1,10,58,0,0,(1:07) 66-B.CLEVELAND REPORTED IN AS ELIGIBLE.  35-G.EDWARDS RIGHT GUARD TO CIN 39 FOR 3 YARDS (99-M.MURPHY).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,42,OPP,0,,0,,0,11,3533,0,0
2023111600,2023-11-16,4,0,26,BAL,CIN,2,7,61,0,0,(:26) 35-G.EDWARDS RIGHT END TO CIN 38 FOR 1 YARD (96-C.SAMPLE; 27-J.BATTLE).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,39,OPP,0,,0,,0,11,3574,0,0
2023111600,2023-11-16,4,0,0,BAL,CIN,0,0,100,1,0,END GAME,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,11,3600,0,0
