GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,GB,LAC
2023111903,2023-11-19,1,9,41,LAC,GB,4,4,57,0,0,(9:41) (SHOTGUN) 10-J.HERBERT PASS INCOMPLETE SHORT MIDDLE TO 89-D.PARHAM.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,43,OPP,0,,0,,0,319,0,0
2023111903,2023-11-19,1,9,36,GB,LAC,0,0,100,1,0,TIMEOUT AT 09:36.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,324,0,0
2023111903,2023-11-19,1,9,36,GB,LAC,1,10,43,0,0,(9:36) (SHOTGUN) 33-A.JONES LEFT GUARD TO GB 46 FOR 3 YARDS (98-A.JOHNSON).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,43,OWN,0,,0,,0,324,0,0
2023111903,2023-11-19,1,8,54,GB,LAC,2,7,46,0,0,(8:54) 28-A.DILLON LEFT END TO GB 46 FOR NO GAIN (52-K.MACK).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,46,OWN,0,,0,,0,366,0,0
2023111903,2023-11-19,1,8,11,GB,LAC,3,7,46,0,0,(8:11) (SHOTGUN) 10-J.LOVE PASS INCOMPLETE SHORT RIGHT TO 11-J.REED (36-J.TAYLOR).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,46,OWN,0,,0,,0,409,0,0
2023111903,2023-11-19,1,8,7,GB,LAC,4,7,46,0,0,"(8:07) 19-D.WHELAN PUNTS 40 YARDS TO LAC 14, CENTER-42-M.ORZECH, FAIR CATCH BY 12-D.DAVIS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,46,OWN,0,,0,,0,413,0,0
2023111903,2023-11-19,1,8,0,LAC,GB,1,10,14,0,0,(8:00) (SHOTGUN) DIRECT SNAP TO 30-A.EKELER.  30-A.EKELER LEFT END TO LAC 17 FOR 3 YARDS (91-P.SMITH).,0,2023,0,SHOTGUN,,0,0,0,0,,0,0,0,,0,0,0,0,0,,14,OWN,0,,0,,0,420,0,0
2023111903,2023-11-19,1,8,0,GB,LAC,0,0,100,1,0,TIMEOUT AT 08:00.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,420,0,0
2023111903,2023-11-19,1,7,19,LAC,GB,2,7,17,0,0,(7:19) 30-A.EKELER RIGHT END TO LAC 20 FOR 3 YARDS (95-D.WYATT).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,17,OWN,0,,0,,0,461,0,0
2023111903,2023-11-19,1,6,42,LAC,GB,3,4,20,1,0,(6:42) (SHOTGUN) 10-J.HERBERT PASS SHORT MIDDLE TO 89-D.PARHAM TO LAC 30 FOR 10 YARDS (34-J.OWENS; 25-K.NIXON).,0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,498,0,0
2023111903,2023-11-19,1,6,6,LAC,GB,1,10,30,0,0,"(6:06) (NO HUDDLE, SHOTGUN) 25-J.KELLEY UP THE MIDDLE TO LAC 33 FOR 3 YARDS (90-L.VAN NESS).",0,2023,3,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,30,OWN,0,,0,,0,534,0,0
2023111903,2023-11-19,1,5,28,LAC,GB,2,7,33,1,0,"(5:28) (NO HUDDLE, SHOTGUN) 10-J.HERBERT PASS SHORT MIDDLE TO 13-K.ALLEN TO LAC 42 FOR 9 YARDS (59-D.CAMPBELL).",0,2023,9,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,572,0,0
2023111903,2023-11-19,1,4,52,LAC,GB,1,10,42,0,0,"(4:52) (NO HUDDLE, SHOTGUN) 10-J.HERBERT SCRAMBLES RIGHT END PUSHED OB AT 50 FOR 8 YARDS (59-D.CAMPBELL).",0,2023,8,NO HUDDLE SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,42,OWN,0,,0,,0,608,0,0
2023111903,2023-11-19,1,4,18,LAC,GB,2,2,100,0,0,(4:18) 71-J.MCFADDEN REPORTED IN AS ELIGIBLE.  30-A.EKELER LEFT END TO GB 49 FOR 1 YARD (90-L.VAN NESS).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,0,OPP,0,,0,,0,642,0,0
2023111903,2023-11-19,1,3,40,LAC,GB,3,1,51,1,0,(3:40) 30-A.EKELER LEFT END TO GB 12 FOR 37 YARDS (36-A.JOHNSON).,0,2023,37,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,49,OPP,0,,0,,0,680,0,0
2023111903,2023-11-19,1,2,53,LAC,GB,1,10,88,0,0,(2:53) (SHOTGUN) 25-J.KELLEY RIGHT TACKLE TO GB 11 FOR 1 YARD (59-D.CAMPBELL).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,12,OPP,0,,0,,0,727,0,0
2023111903,2023-11-19,1,2,12,LAC,GB,2,9,89,0,0,"(2:12) (SHOTGUN) 10-J.HERBERT PASS SHORT RIGHT TO 1-Q.JOHNSTON TO GB 7 FOR 4 YARDS (37-C.VALENTINE, 7-Q.WALKER).",0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,11,OPP,0,,0,,0,768,0,0
2023111903,2023-11-19,1,1,29,LAC,GB,3,5,93,0,0,(1:29) (SHOTGUN) 10-J.HERBERT PASS INCOMPLETE SHORT RIGHT TO 13-K.ALLEN (37-C.VALENTINE).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,7,OPP,0,,0,,0,811,0,0
2023111903,2023-11-19,1,1,24,LAC,GB,4,5,93,0,0,"(1:24) 11-C.DICKER 25 YARD FIELD GOAL IS GOOD, CENTER-47-J.HARRIS, HOLDER-16-J.SCOTT.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,7,OPP,0,,0,,0,816,0,0
2023111903,2023-11-19,1,1,22,GB,LAC,0,0,65,1,0,11-C.DICKER KICKS 64 YARDS FROM LAC 35 TO GB 1. 25-K.NIXON TO GB 31 FOR 30 YARDS (31-N.NIEMANN). GB-25-K.NIXON WAS INJURED DURING THE PLAY.,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,818,0,0
2023111903,2023-11-19,1,1,22,GB,LAC,0,0,100,1,0,TIMEOUT AT 01:22.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,818,0,0
