GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,PHI,KC
2023112000,2023-11-20,1,8,28,KC,PHI,3,7,64,1,0,(8:28) (SHOTGUN) 15-P.MAHOMES PASS SHORT MIDDLE TO 19-K.TONEY TO PHI 29 FOR 7 YARDS (33-B.ROBY).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,36,OPP,0,,0,,0,392,0,0
2023112000,2023-11-20,1,7,56,KC,PHI,1,10,71,0,0,"(7:56) (SHOTGUN) PENALTY ON PHI-94-J.SWEAT, NEUTRAL ZONE INFRACTION, 5 YARDS, ENFORCED AT PHI 29 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,29,OPP,1,PHI,1,NEUTRAL ZONE INFRACTION,5,424,0,0
2023112000,2023-11-20,1,7,39,KC,PHI,1,5,76,1,0,(7:39) (SHOTGUN) 15-P.MAHOMES PASS SHORT RIGHT TO 4-R.RICE PUSHED OB AT PHI 10 FOR 14 YARDS (31-K.BYARD).,0,2023,14,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,24,OPP,0,,0,,0,441,0,0
2023112000,2023-11-20,1,6,58,KC,PHI,1,10,90,0,0,(6:58) (SHOTGUN) 19-K.TONEY LEFT END TO PHI 10 FOR NO GAIN (7-H.REDDICK; 94-J.SWEAT).,0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,10,OPP,0,,0,,0,482,0,0
2023112000,2023-11-20,1,6,19,KC,PHI,2,10,90,0,0,(6:19) 10-I.PACHECO RIGHT END PUSHED OB AT PHI 3 FOR 7 YARDS (41-N.MORROW).,0,2023,7,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,10,OPP,0,,0,,0,521,0,0
2023112000,2023-11-20,1,5,40,KC,PHI,3,3,97,1,0,"(5:40) (SHOTGUN) 15-P.MAHOMES PASS SHORT LEFT TO 84-JU.WATSON FOR 3 YARDS, TOUCHDOWN [91-F.COX].",0,2023,3,SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,0,0,0,0,,3,OPP,0,,0,,0,560,0,0
2023112000,2023-11-20,1,5,34,KC,PHI,0,0,85,1,0,"7-H.BUTKER EXTRA POINT IS GOOD, CENTER-41-J.WINCHESTER, HOLDER-5-T.TOWNSEND.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,566,0,0
2023112000,2023-11-20,1,5,34,KC,PHI,0,0,100,1,0,TIMEOUT AT 05:34.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,566,0,0
2023112000,2023-11-20,1,5,34,PHI,KC,0,0,65,1,0,"7-H.BUTKER KICKS 65 YARDS FROM KC 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,566,0,0
2023112000,2023-11-20,1,5,34,PHI,KC,1,10,25,1,0,(5:34) (SHOTGUN) 1-J.HURTS PASS DEEP RIGHT TO 6-D.SMITH RAN OB AT PHI 45 FOR 20 YARDS.,0,2023,20,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,566,0,0
