GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2023122502,2023-12-25,3,0,38,SF,BAL,2,4,62,0,0,"(:38) 23-C.MCCAFFREY LEFT GUARD TO BAL 24 FOR 14 YARDS (32-M.WILLIAMS; 6-P.QUEEN). PENALTY ON SF-11-B.AIYUK, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT BAL 35.",0,2023,14,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,LEFT GUARD,38,OPP,1,SF,0,OFFENSIVE HOLDING,10
2023122407,2023-12-24,3,3,50,TEN,SEA,4,8,58,0,0,"(3:50) 13-T.ZENTNER PUNTS 34 YARDS TO SEA 8, CENTER-46-M.COX, FAIR CATCH BY 31-D.DALLAS. PENALTY ON SEA-31-D.DALLAS, UNSPORTSMANLIKE CONDUCT, 4 YARDS, ENFORCED AT SEA 8.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,1,0,0,,42,OPP,1,SEA,0,UNSPORTSMANLIKE CONDUCT,4
2023122406,2023-12-24,4,4,52,WAS,NYJ,0,0,85,0,0,"6-J.SLYE EXTRA POINT IS GOOD, CENTER-58-T.ADDINGTON, HOLDER-5-T.WAY. PENALTY ON NYJ-26-B.ECHOLS, DEFENSIVE OFFSIDE, 5 YARDS, ENFORCED BETWEEN DOWNS.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,1,0,0,,15,OPP,1,NYJ,0,DEFENSIVE OFFSIDE,5
2023122406,2023-12-24,4,6,40,WAS,NYJ,1,10,59,0,0,"(6:40) 12-J.BRISSETT PASS DEEP RIGHT TO 1-J.DOTSON PUSHED OB AT NYJ 20 FOR 21 YARDS (4-D.REED). PENALTY ON NYJ-57-C.MOSLEY, FACE MASK, 9 YARDS, ENFORCED AT NYJ 20.",0,2023,21,UNDER CENTER,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,1,0,0,,41,OPP,1,NYJ,0,FACE MASK,9
2024010700,2024-01-07,1,9,42,ATL,NO,2,1,91,0,0,"(9:42) 7-B.ROBINSON RIGHT GUARD TO NO 2 FOR 7 YARDS (24-J.ABRAM; 56-D.DAVIS). PENALTY ON ATL-85-M.PRUITT, UNNECESSARY ROUGHNESS, 15 YARDS, ENFORCED BETWEEN DOWNS.",0,2023,7,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,RIGHT GUARD,9,OPP,1,ATL,0,UNNECESSARY ROUGHNESS,15
2023123111,2023-12-31,3,12,35,SEA,PIT,1,10,70,0,0,"(12:35) 9-K.WALKER LEFT GUARD TO PIT 6 FOR 24 YARDS (16-M.JACK). PENALTY ON SEA-14-D.METCALF, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT PIT 23.",0,2023,24,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,LEFT GUARD,30,OPP,1,SEA,0,OFFENSIVE HOLDING,10
2023121010,2023-12-10,2,0,31,DEN,LAC,1,10,55,0,0,"(:31) (SHOTGUN) 3-R.WILSON PASS DEEP RIGHT TO 85-L.KRULL PUSHED OB AT LAC 10 FOR 35 YARDS (32-A.GILMAN). PENALTY ON LAC-32-A.GILMAN, FACE MASK, 5 YARDS, ENFORCED AT LAC 10.",0,2023,35,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,1,0,0,,45,OPP,1,LAC,0,FACE MASK,5
2023121005,2023-12-10,1,5,0,NO,CAR,3,3,71,0,0,"(5:00) (SHOTGUN) 4-D.CARR PASS INCOMPLETE SHORT RIGHT [95-DER.BROWN]. PENALTY ON NO-4-D.CARR, INTENTIONAL GROUNDING, 10 YARDS, ENFORCED AT CAR 29.",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,29,OPP,1,NO,0,INTENTIONAL GROUNDING,10
2023120400,2023-12-04,1,6,51,CIN,JAX,0,0,65,0,0,"10-B.MCMANUS KICKS 59 YARDS FROM JAX 35 TO CIN 6. 32-T.WILLIAMS PUSHED OB AT CIN 45 FOR 39 YARDS (10-B.MCMANUS). PENALTY ON CIN-49-J.BACHIE, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT CIN 26.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,1,0,0,,35,OPP,1,CIN,0,OFFENSIVE HOLDING,10
2023120310,2023-12-03,4,1,9,KC,GB,0,0,65,0,0,"17-A.CARLSON KICKS 61 YARDS FROM GB 35 TO KC 4, FAIR CATCH BY 17-R.JAMES. PENALTY ON GB-44-H.PEARSON, OFFSIDE ON FREE KICK, 5 YARDS, ENFORCED AT KC 25.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,1,0,0,,35,OPP,1,GB,0,OFFSIDE ON FREE KICK,5
2023120309,2023-12-03,3,9,27,PHI,SF,2,5,63,0,0,"(9:27) (NO HUDDLE, SHOTGUN) 1-J.HURTS PASS SHORT LEFT TO 6-D.SMITH TO SF 24 FOR 13 YARDS (57-D.GREENLAW; 20-A.THOMAS). PENALTY ON SF-57-D.GREENLAW, DISQUALIFICATION, 12 YARDS, ENFORCED AT SF 24.",0,2023,13,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,1,0,0,,37,OPP,1,SF,0,DISQUALIFICATION,12
2023120309,2023-12-03,3,11,41,PHI,SF,0,0,65,0,0,"4-J.MOODY KICKS 66 YARDS FROM SF 35 TO PHI -1. 35-B.SCOTT TO PHI 27 FOR 28 YARDS (48-O.BURKS; 89-C.WOERNER). PENALTY ON SF-45-D.FLANNIGAN-FOWLES, FACE MASK, 15 YARDS, ENFORCED AT PHI 27.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,1,0,0,,35,OPP,1,SF,0,FACE MASK,15
2023120308,2023-12-03,4,8,49,LA,CLE,1,10,75,0,0,"(8:49) 17-P.NACUA RIGHT END TO CLE 30 FOR 45 YARDS (22-G.DELPIT). PENALTY ON LAR-15-D.ROBINSON, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT LAR 28.",0,2023,45,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,RIGHT END,25,OPP,1,LAR,0,OFFENSIVE HOLDING,10
2023121002,2023-12-10,2,14,12,DET,CHI,4,10,65,0,0,"(14:12) (SHOTGUN) 16-J.GOFF PASS DEEP RIGHT INTENDED FOR 87-S.LAPORTA INTERCEPTED BY 33-J.JOHNSON AT CHI 15. 33-J.JOHNSON TO CHI 39 FOR 24 YARDS (14-A.ST. BROWN). FUMBLES (14-A.ST. BROWN), TOUCHED AT CHI 40, BALL OUT OF BOUNDS AT 50. PENALTY ON CHI-4-E.JACKSON, ILLEGAL BLOCK ABOVE THE WAIST, 10 YARDS, ENFORCED AT CHI 22.",0,2023,24,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,1,1,1,0,0,,35,OPP,1,CHI,0,ILLEGAL BLOCK ABOVE THE WAIST,10
2023121701,2023-12-17,4,7,55,MIA,NYJ,2,7,56,0,0,"(7:55) (SHOTGUN) 14-M.WHITE PASS SHORT RIGHT TO 83-C.CLAYPOOL PUSHED OB AT NYJ 33 FOR 11 YARDS (57-C.MOSLEY). PENALTY ON MIA-82-T.KROFT, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT NYJ 41.",0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,44,OPP,1,MIA,0,OFFENSIVE HOLDING,10
2023121705,2023-12-17,4,12,30,LA,WAS,2,3,69,0,0,"(12:30) 23-K.WILLIAMS UP THE MIDDLE TO WAS 27 FOR 4 YARDS (93-J.ALLEN; 56-J.HARRIS). PENALTY ON LAR-77-A.JACKSON, UNNECESSARY ROUGHNESS, 15 YARDS, ENFORCED BETWEEN DOWNS.",0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,CENTER,31,OPP,1,LAR,0,UNNECESSARY ROUGHNESS,15
2023120308,2023-12-03,1,8,44,LA,CLE,1,10,100,0,0,"(8:44) 23-K.WILLIAMS LEFT END PUSHED OB AT CLE 44 FOR 6 YARDS (5-A.WALKER). PENALTY ON CLE-1-J.THORNHILL, UNNECESSARY ROUGHNESS, 15 YARDS, ENFORCED AT CLE 44.",0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,LEFT END,0,OPP,1,CLE,0,UNNECESSARY ROUGHNESS,15
2023120305,2023-12-03,2,10,22,TEN,IND,0,0,85,0,0,"6-N.FOLK EXTRA POINT IS GOOD, CENTER-46-M.COX, HOLDER-4-R.STONEHOUSE. PENALTY ON IND-45-E.SPEED, DEFENSIVE HOLDING, 5 YARDS, ENFORCED BETWEEN DOWNS.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,1,0,0,,15,OPP,1,IND,0,DEFENSIVE HOLDING,5
2023120304,2023-12-03,1,0,10,CAR,TB,2,12,76,0,0,"(:10) (SHOTGUN) 9-B.YOUNG PASS SHORT RIGHT TO 15-J.MINGO TO TB 21 FOR 3 YARDS (24-C.DAVIS). PENALTY ON TB-24-C.DAVIS, UNNECESSARY ROUGHNESS, 10 YARDS, ENFORCED AT TB 21.",0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,24,OPP,1,TB,0,UNNECESSARY ROUGHNESS,10
2023112609,2023-11-26,2,1,34,BUF,PHI,2,3,97,0,0,"(1:34) (SHOTGUN) 17-J.ALLEN PASS INCOMPLETE SHORT RIGHT [7-H.REDDICK]. PENALTY ON BUF-17-J.ALLEN, INTENTIONAL GROUNDING, 13 YARDS, ENFORCED AT PHI 3.",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,3,OPP,1,BUF,0,INTENTIONAL GROUNDING,13
2023120304,2023-12-03,3,4,54,TB,CAR,0,0,85,0,0,"4-C.MCLAUGHLIN EXTRA POINT IS GOOD, CENTER-97-Z.TRINER, HOLDER-5-J.CAMARDA. PENALTY ON CAR-0-B.BURNS, DISQUALIFICATION, 15 YARDS, ENFORCED BETWEEN DOWNS.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,1,0,0,,15,OPP,1,CAR,0,DISQUALIFICATION,15
