GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,NYJ,NE,Week
2024010704,2024-01-07,1,2,52,NYJ,NE,2,10,90,0,0,"(2:52) (SHOTGUN) 14-T.SIEMIAN PASS SHORT MIDDLE TO 83-T.CONKLIN TO NE 3 FOR 7 YARDS (8-J.BENTLEY, 5-J.PEPPERS).",0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,10,OPP,0,,0,,0,728,0,0,18
2024010704,2024-01-07,1,2,52,NYJ,NE,0,0,100,1,0,TIMEOUT #1 BY NYJ AT 02:52.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,728,0,0,18
2024010704,2024-01-07,1,2,11,NYJ,NE,3,3,97,0,0,(2:11) (SHOTGUN) 14-T.SIEMIAN PASS INCOMPLETE SHORT LEFT TO 83-T.CONKLIN.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,3,OPP,0,,0,,0,769,0,0,18
2024010704,2024-01-07,1,2,7,NYJ,NE,4,3,97,0,0,"(2:07) 9-G.ZUERLEIN 21 YARD FIELD GOAL IS GOOD, CENTER-42-T.HENNESSY, HOLDER-5-T.MORSTEAD.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,3,OPP,0,,0,,0,773,0,0,18
2024010704,2024-01-07,1,0,47,NYJ,NE,1,10,14,0,0,(:47) (SHOTGUN) 20-BRE.HALL UP THE MIDDLE TO NYJ 16 FOR 2 YARDS (92-D.GODCHAUX; 33-A.JENNINGS).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,14,OWN,0,,0,,0,853,0,0,18
2024010704,2024-01-07,1,0,0,NYJ,NE,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,900,0,0,18
2024010704,2024-01-07,2,15,0,NYJ,NE,2,8,16,0,0,(15:00) 14-T.SIEMIAN PASS INCOMPLETE SHORT LEFT.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,16,OWN,0,,0,,0,900,0,0,18
2024010704,2024-01-07,2,14,53,NYJ,NE,3,8,16,0,0,(14:53) (SHOTGUN) 14-T.SIEMIAN PASS INCOMPLETE DEEP MIDDLE TO 82-X.GIPSON [90-C.BARMORE].,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,16,OWN,0,,0,,0,907,0,0,18
2024010704,2024-01-07,2,14,49,NYJ,NE,4,8,16,0,0,"(14:49) 5-T.MORSTEAD PUNTS 51 YARDS TO NE 33, CENTER-42-T.HENNESSY, FAIR CATCH BY 27-M.BRYANT. PENALTY ON NYJ-34-J.HARDEE, PLAYER OUT OF BOUNDS ON KICK, 5 YARDS, ENFORCED AT NE 33.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,1,0,0,,16,OWN,1,NYJ,0,PLAYER OUT OF BOUNDS ON KICK,5,911,0,0,18
2024010704,2024-01-07,2,9,32,NYJ,NE,0,0,65,1,0,37-C.RYLAND KICKS 58 YARDS FROM NE 35 TO NYJ 7. 82-X.GIPSON TO NYJ 22 FOR 15 YARDS (22-C.DAVIS).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,1228,0,0,18
2024010704,2024-01-07,2,9,22,NYJ,NE,1,10,22,0,0,(9:22) 20-BRE.HALL LEFT END PUSHED OB AT NYJ 21 FOR -1 YARDS (26-S.WADE).,0,2023,-1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,22,OWN,0,,0,,0,1238,0,0,18
2024010704,2024-01-07,2,8,48,NYJ,NE,2,11,21,1,0,(8:48) (SHOTGUN) 14-T.SIEMIAN PASS DEEP LEFT TO 17-G.WILSON PUSHED OB AT NE 49 FOR 30 YARDS (23-K.DUGGER).,0,2023,30,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,21,OWN,0,,0,,0,1272,0,0,18
2024010704,2024-01-07,2,8,18,NYJ,NE,1,10,51,1,0,(8:18) 20-BRE.HALL LEFT END RAN OB AT NE 37 FOR 12 YARDS (8-J.BENTLEY).,0,2023,12,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,49,OPP,0,,0,,0,1302,0,0,18
