GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,ARI,SF
2023121704,2023-12-17,1,10,5,SF,ARI,2,3,32,0,0,"(10:05) 23-C.MCCAFFREY RIGHT TACKLE TO SF 34 FOR 2 YARDS (25-Z.COLLINS, 10-J.WOODS).",0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,32,OWN,0,,0,,0,295,0,0
2023121704,2023-12-17,1,9,27,SF,ARI,3,1,34,1,0,(9:27) 23-C.MCCAFFREY RIGHT END TO SF 47 FOR 13 YARDS (24-S.THOMAS).,0,2023,13,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,34,OWN,0,,0,,0,333,0,0
2023121704,2023-12-17,1,8,43,SF,ARI,1,10,47,0,0,(8:43) (SHOTGUN) 13-B.PURDY PASS INCOMPLETE DEEP LEFT TO 11-B.AIYUK (33-A.HAMILTON).,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,47,OWN,0,,0,,0,377,0,0
2023121704,2023-12-17,1,8,37,SF,ARI,2,10,47,1,0,(8:37) 13-B.PURDY PASS SHORT LEFT TO 19-D.SAMUEL PUSHED OB AT ARI 42 FOR 11 YARDS (24-S.THOMAS).,0,2023,11,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,47,OWN,0,,0,,0,383,0,0
2023121704,2023-12-17,1,8,1,SF,ARI,1,10,58,0,0,(8:01) (SHOTGUN) 23-C.MCCAFFREY RIGHT TACKLE TO ARI 38 FOR 4 YARDS (98-R.LOPEZ).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,42,OPP,0,,0,,0,419,0,0
2023121704,2023-12-17,1,7,19,SF,ARI,2,6,62,1,0,(7:19) 23-C.MCCAFFREY LEFT END PUSHED OB AT ARI 12 FOR 26 YARDS (34-J.THOMPSON).,0,2023,26,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,38,OPP,0,,0,,0,461,0,0
2023121704,2023-12-17,1,6,38,SF,ARI,0,0,100,1,0,TIMEOUT #1 BY SF AT 06:38.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,502,0,0
2023121704,2023-12-17,1,6,38,SF,ARI,1,10,88,1,0,"(6:38) 13-B.PURDY PASS SHORT LEFT TO 19-D.SAMUEL FOR 12 YARDS, TOUCHDOWN.",0,2023,12,UNDER CENTER,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,0,0,0,0,,12,OPP,0,,0,,0,502,0,0
2023121704,2023-12-17,1,6,33,SF,ARI,0,0,85,1,0,"4-J.MOODY EXTRA POINT IS GOOD, CENTER-46-T.PEPPER, HOLDER-18-M.WISHNOWSKY.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,507,0,0
2023121704,2023-12-17,1,6,33,ARI,SF,0,0,100,1,0,TIMEOUT AT 06:33.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,507,0,0
2023121704,2023-12-17,1,6,33,ARI,SF,1,10,25,0,0,(6:33) (SHOTGUN) 1-K.MURRAY PASS INCOMPLETE SHORT RIGHT.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,507,0,0
2023121704,2023-12-17,1,6,33,ARI,SF,0,0,65,1,0,"4-J.MOODY KICKS 65 YARDS FROM SF 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,507,0,0
2023121704,2023-12-17,1,6,27,ARI,SF,2,10,25,0,0,"(6:27) (SHOTGUN) 1-K.MURRAY PASS DEEP LEFT TO 87-G.SWAIM TO SF 49 FOR 26 YARDS (27-J.BROWN). PENALTY ON SF-57-D.GREENLAW, DEFENSIVE PASS INTERFERENCE, DECLINED.",0,2023,26,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,1,0,0,,25,OWN,0,SF,0,DEFENSIVE PASS INTERFERENCE,0,513,0,0
2023121704,2023-12-17,1,5,59,ARI,SF,1,10,51,0,0,"(5:59) 6-J.CONNER UP THE MIDDLE TO SF 45 FOR 4 YARDS (90-K.GIVENS, 31-T.GIPSON).",0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,49,OPP,0,,0,,0,541,0,0
2023121704,2023-12-17,1,5,18,ARI,SF,2,6,55,0,0,(5:18) 4-R.MOORE RIGHT END TO SF 42 FOR 3 YARDS (57-D.GREENLAW).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,45,OPP,0,,0,,0,582,0,0
2023121704,2023-12-17,1,4,35,ARI,SF,3,3,58,0,0,(4:35) (SHOTGUN) 1-K.MURRAY PASS INCOMPLETE SHORT LEFT TO 31-E.DEMERCADO.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,42,OPP,0,,0,,0,625,0,0
2023121704,2023-12-17,1,4,33,ARI,SF,4,3,58,1,0,"(4:33) (SHOTGUN) 1-K.MURRAY PASS SHORT MIDDLE INTENDED FOR 85-T.MCBRIDE INTERCEPTED BY 7-C.WARD AT SF 34. 7-C.WARD FOR 66 YARDS, TOUCHDOWN.",0,2023,66,SHOTGUN,PASS,0,1,0,1,SHORT MIDDLE,0,0,0,,1,0,0,0,0,,42,OPP,0,,0,,0,627,0,0
2023121704,2023-12-17,1,4,22,ARI,SF,1,10,25,0,0,(4:22) (SHOTGUN) 22-M.CARTER UP THE MIDDLE TO ARI 27 FOR 2 YARDS (27-J.BROWN).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,25,OWN,0,,0,,0,638,0,0
2023121704,2023-12-17,1,4,22,ARI,SF,0,0,65,1,0,"4-J.MOODY KICKS 65 YARDS FROM SF 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,638,0,0
2023121704,2023-12-17,1,4,22,ARI,SF,0,0,100,1,0,TIMEOUT AT 04:22.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,638,0,0
2023121704,2023-12-17,1,4,22,ARI,SF,0,0,15,1,0,"4-J.MOODY EXTRA POINT IS GOOD, CENTER-46-T.PEPPER, HOLDER-18-M.WISHNOWSKY.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OWN,0,,0,,0,638,0,0
2023121704,2023-12-17,1,3,46,ARI,SF,2,8,27,0,0,(3:46) (SHOTGUN) 22-M.CARTER UP THE MIDDLE TO ARI 33 FOR 6 YARDS (31-T.GIPSON).,0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,27,OWN,0,,0,,0,674,0,0
2023121704,2023-12-17,1,3,4,ARI,SF,3,2,33,1,0,(3:04) (SHOTGUN) 31-E.DEMERCADO UP THE MIDDLE TO ARI 41 FOR 8 YARDS (2-D.LENOIR).,0,2023,8,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,33,OWN,0,,0,,0,716,0,0
2023121704,2023-12-17,1,2,26,ARI,SF,1,10,41,1,0,(2:26) (SHOTGUN) 22-M.CARTER LEFT END PUSHED OB AT SF 40 FOR 19 YARDS (57-D.GREENLAW).,0,2023,19,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,41,OWN,0,,0,,0,754,0,0
2023121704,2023-12-17,1,1,43,ARI,SF,1,10,60,0,0,"(1:43) (SHOTGUN) PENALTY ON ARI, DELAY OF GAME, 5 YARDS, ENFORCED AT SF 40 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,40,OPP,1,ARI,1,DELAY OF GAME,5,797,0,0
2023121704,2023-12-17,1,1,24,ARI,SF,1,15,55,0,0,(1:24) (SHOTGUN) 1-K.MURRAY SACKED AT ARI 48 FOR -7 YARDS (99-J.KINLAW).,0,2023,-7,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,45,OPP,0,,0,,0,816,0,0
2023121704,2023-12-17,1,0,43,ARI,SF,2,22,48,0,0,(:43) (SHOTGUN) 6-J.CONNER UP THE MIDDLE TO ARI 48 FOR NO GAIN (54-F.WARNER).,0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,48,OWN,0,,0,,0,857,0,0
2023121704,2023-12-17,2,15,0,ARI,SF,3,22,48,0,0,(15:00) (SHOTGUN) 1-K.MURRAY PASS SHORT MIDDLE TO 85-T.MCBRIDE TO SF 40 FOR 12 YARDS (54-F.WARNER).,0,2023,12,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,48,OWN,0,,0,,0,900,0,0
2023121704,2023-12-17,1,0,0,ARI,SF,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,900,0,0
2023121704,2023-12-17,2,14,15,ARI,SF,4,10,60,0,0,"(14:15) 5-M.PRATER 58 YARD FIELD GOAL IS GOOD, CENTER-46-A.BREWER, HOLDER-12-B.GILLIKIN.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,40,OPP,0,,0,,0,945,0,0
