GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,CIN,MIN
2023121600,2023-12-16,1,15,0,CIN,MIN,0,0,65,1,0,"1-G.JOSEPH KICKS 65 YARDS FROM MIN 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0
2023121600,2023-12-16,1,15,0,CIN,MIN,1,10,25,0,0,(15:00) (SHOTGUN) 6-J.BROWNING PASS INCOMPLETE DEEP RIGHT TO 5-T.HIGGINS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,0,0,0
2023121600,2023-12-16,1,14,56,CIN,MIN,2,10,25,1,0,(14:56) (SHOTGUN) 6-J.BROWNING PASS SHORT LEFT TO 30-C.BROWN TO CIN 38 FOR 13 YARDS (98-D.WONNUM).,0,2023,13,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,4,0,0
2023121600,2023-12-16,1,14,15,CIN,MIN,1,10,38,0,0,(14:15) 30-C.BROWN RIGHT END PUSHED OB AT CIN 37 FOR -1 YARDS (99-D.HUNTER).,0,2023,-1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,38,OWN,0,,0,,0,45,0,0
2023121600,2023-12-16,1,13,45,CIN,MIN,2,11,37,0,0,(13:45) (SHOTGUN) 6-J.BROWNING PASS SHORT RIGHT TO 84-M.WILCOX TO CIN 47 FOR 10 YARDS (21-A.EVANS; 99-D.HUNTER).,0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,37,OWN,0,,0,,0,75,0,0
2023121600,2023-12-16,1,13,6,CIN,MIN,3,1,47,1,0,"(13:06) 6-J.BROWNING UP THE MIDDLE TO 50 FOR 3 YARDS (97-H.PHILLIPS, 99-D.HUNTER).",0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,47,OWN,0,,0,,0,114,0,0
2023121600,2023-12-16,1,12,25,CIN,MIN,1,10,100,0,0,(12:25) (SHOTGUN) 6-J.BROWNING PASS SHORT LEFT TO 81-I.SMITH TO MIN 46 FOR 4 YARDS (24-C.BYNUM).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,155,0,0
2023121600,2023-12-16,1,11,42,CIN,MIN,2,6,54,1,0,(11:42) (SHOTGUN) 6-J.BROWNING PASS DEEP RIGHT TO 1-J.CHASE PUSHED OB AT MIN 21 FOR 25 YARDS (21-A.EVANS) [45-T.DYE].,0,2023,25,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,46,OPP,0,,0,,0,198,0,0
2023121600,2023-12-16,1,10,59,CIN,MIN,0,0,100,1,0,TIMEOUT #1 BY CIN AT 10:59.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,241,0,0
2023121600,2023-12-16,1,10,59,CIN,MIN,1,10,79,0,0,(10:59) (SHOTGUN) 28-J.MIXON UP THE MIDDLE TO MIN 17 FOR 4 YARDS (21-A.EVANS).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,21,OPP,0,,0,,0,241,0,0
2023121600,2023-12-16,1,10,20,CIN,MIN,2,6,83,0,0,(10:20) (SHOTGUN) 6-J.BROWNING PASS SHORT LEFT TO 87-T.HUDSON TO MIN 12 FOR 5 YARDS (7-B.MURPHY).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,17,OPP,0,,0,,0,280,0,0
2023121600,2023-12-16,1,9,29,CIN,MIN,3,1,88,0,0,(9:29) 87-T.HUDSON SACKED AT MIN 16 FOR -4 YARDS (99-D.HUNTER).,0,2023,-4,UNDER CENTER,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,12,OPP,0,,0,,0,331,0,0
2023121600,2023-12-16,1,8,45,CIN,MIN,4,5,84,0,0,"(8:45) 2-E.MCPHERSON 34 YARD FIELD GOAL IS GOOD, CENTER-48-C.ADOMITIS, HOLDER-10-B.ROBBINS.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,16,OPP,0,,0,,0,375,0,0
2023121600,2023-12-16,1,8,41,MIN,CIN,1,10,25,0,0,(8:41) 32-T.CHANDLER LEFT GUARD TO MIN 34 FOR 9 YARDS (57-G.PRATT).,0,2023,9,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,25,OWN,0,,0,,0,379,0,0
