GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,LV,LAC
2023121400,2023-12-14,1,15,0,LAC,LV,0,0,65,1,0,2-D.CARLSON KICKS 60 YARDS FROM LV 35 TO LAC 5. 12-D.DAVIS TO LAC 29 FOR 24 YARDS (34-B.BOLDEN).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0
2023121400,2023-12-14,1,14,53,LAC,LV,1,10,29,0,0,(14:53) 30-A.EKELER RIGHT GUARD TO LAC 35 FOR 6 YARDS (5-D.DEABLO).,0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,29,OWN,0,,0,,0,7,0,0
2023121400,2023-12-14,1,14,21,LAC,LV,2,4,35,0,0,(14:21) (SHOTGUN) 2-E.STICK PASS SHORT LEFT TO 30-A.EKELER TO LAC 36 FOR 1 YARD (98-M.CROSBY).,0,2023,1,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,35,OWN,0,,0,,0,39,0,0
2023121400,2023-12-14,1,13,47,LAC,LV,3,3,36,0,0,"(13:47) (SHOTGUN) 2-E.STICK PASS INCOMPLETE SHORT LEFT TO 7-G.EVERETT (1-M.EPPS, 95-J.JENKINS).",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,36,OWN,0,,0,,0,73,0,0
2023121400,2023-12-14,1,13,44,LAC,LV,4,3,36,0,0,"(13:44) 16-J.SCOTT PUNTS 47 YARDS TO LV 17, CENTER-47-J.HARRIS, FAIR CATCH BY 3-D.CARTER. PENALTY ON LAC-36-J.TAYLOR, FAIR CATCH INTERFERENCE, 15 YARDS, ENFORCED AT LV 17.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,1,0,0,,36,OWN,1,LAC,0,FAIR CATCH INTERFERENCE,15,76,0,0
2023121400,2023-12-14,1,13,33,LV,LAC,1,10,32,0,0,(13:33) 35-Z.WHITE LEFT TACKLE TO LV 40 FOR 8 YARDS (6-E.KENDRICKS).,0,2023,8,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,32,OWN,0,,0,,0,87,0,0
2023121400,2023-12-14,1,12,54,LV,LAC,2,2,40,0,0,(12:54) (SHOTGUN) 4-A.O'CONNELL PASS INCOMPLETE DEEP LEFT TO 11-T.TUCKER (43-M.DAVIS).,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,40,OWN,0,,0,,0,126,0,0
2023121400,2023-12-14,1,12,47,LV,LAC,3,2,40,1,0,"(12:47) (SHOTGUN) 22-A.ABDULLAH UP THE MIDDLE TO LV 46 FOR 6 YARDS (6-E.KENDRICKS, 98-A.JOHNSON).",0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,40,OWN,0,,0,,0,133,0,0
2023121400,2023-12-14,1,12,11,LV,LAC,1,10,46,0,0,"(12:11) (NO HUDDLE, SHOTGUN) 4-A.O'CONNELL PASS INCOMPLETE SHORT RIGHT TO 17-D.ADAMS (26-A.SAMUEL).",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,46,OWN,0,,0,,0,169,0,0
2023121400,2023-12-14,1,12,7,LV,LAC,2,10,46,0,0,(12:07) (SHOTGUN) 4-A.O'CONNELL PASS SHORT RIGHT TO 17-D.ADAMS TO LAC 47 FOR 7 YARDS (98-A.JOHNSON).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,46,OWN,0,,0,,0,173,0,0
2023121400,2023-12-14,1,11,28,LV,LAC,3,3,53,1,0,(11:28) (SHOTGUN) 22-A.ABDULLAH RIGHT TACKLE TO LAC 42 FOR 5 YARDS (6-E.KENDRICKS).,0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,47,OPP,0,,0,,0,212,0,0
2023121400,2023-12-14,1,10,53,LV,LAC,1,10,58,0,0,(10:53) (SHOTGUN) 34-B.BOLDEN RIGHT END TO LAC 43 FOR -1 YARDS (43-M.DAVIS).,0,2023,-1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,42,OPP,0,,0,,0,247,0,0
2023121400,2023-12-14,1,10,12,LV,LAC,2,11,57,0,0,"(10:12) (SHOTGUN) 4-A.O'CONNELL PASS SHORT LEFT TO 13-H.RENFROW TO LAC 36 FOR 7 YARDS (6-E.KENDRICKS). PENALTY ON LAC-3-D.JAMES, DEFENSIVE OFFSIDE, 5 YARDS, ENFORCED AT LAC 43 - NO PLAY.",0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,1,0,0,,43,OPP,1,LAC,1,DEFENSIVE OFFSIDE,5,288,0,0
