GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,TEN,HOU
2023121703,2023-12-17,1,15,0,HOU,TEN,0,0,65,1,0,"6-N.FOLK KICKS 65 YARDS FROM TEN 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0
2023121703,2023-12-17,1,15,0,HOU,TEN,1,10,25,0,0,(15:00) 18-C.KEENUM PASS SHORT LEFT TO 85-N.BROWN TO HOU 31 FOR 6 YARDS (21-R.MCCREARY).,0,2023,6,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,0,0,0
2023121703,2023-12-17,1,14,26,HOU,TEN,2,4,31,0,0,"(14:26) 26-D.SINGLETARY LEFT END TO HOU 32 FOR 1 YARD (50-J.GIBBENS, 94-J.JOHNSON).",0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,31,OWN,0,,0,,0,34,0,0
2023121703,2023-12-17,1,13,47,HOU,TEN,3,3,32,0,0,(13:47) (SHOTGUN) 82-S.SIMS RIGHT END TO HOU 33 FOR 1 YARD (37-A.HOOKER).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,32,OWN,0,,0,,0,73,0,0
2023121703,2023-12-17,1,13,4,HOU,TEN,4,2,33,0,0,"(13:04) 11-C.JOHNSTON PUNTS 55 YARDS TO TEN 12, CENTER-46-J.WEEKS. 12-M.KINSEY TO TEN 17 FOR 5 YARDS (37-D.ROSS).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,116,0,0
2023121703,2023-12-17,1,12,55,TEN,HOU,1,10,17,0,0,(12:55) (SHOTGUN) 8-W.LEVIS PASS SHORT LEFT TO 22-D.HENRY TO TEN 20 FOR 3 YARDS (48-C.HARRIS).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,17,OWN,0,,0,,0,125,0,0
2023121703,2023-12-17,1,12,19,TEN,HOU,2,7,20,0,0,(12:19) 22-D.HENRY LEFT END TO TEN 22 FOR 2 YARDS (52-J.GREENARD; 96-M.COLLINS).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,20,OWN,0,,0,,0,161,0,0
2023121703,2023-12-17,1,11,41,TEN,HOU,3,5,22,0,0,(11:41) (SHOTGUN) 8-W.LEVIS SCRAMBLES UP THE MIDDLE TO TEN 26 FOR 4 YARDS (98-S.RANKINS).,0,2023,4,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,22,OWN,0,,0,,0,199,0,0
2023121703,2023-12-17,1,11,21,TEN,HOU,4,1,26,1,0,(11:21) 22-D.HENRY RIGHT GUARD TO TEN 27 FOR 1 YARD (6-D.PERRYMAN).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,26,OWN,0,,0,,0,219,0,0
2023121703,2023-12-17,1,10,41,TEN,HOU,1,10,27,0,0,(10:41) 22-D.HENRY UP THE MIDDLE TO TEN 29 FOR 2 YARDS (93-K.HINISH).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,27,OWN,0,,0,,0,259,0,0
2023121703,2023-12-17,1,10,10,TEN,HOU,2,8,29,1,0,(10:10) (NO HUDDLE) 8-W.LEVIS PASS DEEP MIDDLE TO 16-T.BURKS TO HOU 34 FOR 37 YARDS (1-J.WARD).,0,2023,37,NO HUDDLE,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,29,OWN,0,,0,,0,290,0,0
2023121703,2023-12-17,1,9,20,TEN,HOU,1,10,66,0,0,(9:20) 22-D.HENRY RIGHT GUARD TO HOU 37 FOR -3 YARDS (95-D.BARNETT).,0,2023,-3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,34,OPP,0,,0,,0,340,0,0
2023121703,2023-12-17,1,8,36,TEN,HOU,2,13,63,0,0,(8:36) (SHOTGUN) 8-W.LEVIS PASS SHORT RIGHT TO 85-C.OKONKWO TO HOU 34 FOR 3 YARDS (6-D.PERRYMAN; 1-J.WARD) [95-D.BARNETT]. HOU-1-J.WARD WAS INJURED DURING THE PLAY.,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,37,OPP,0,,0,,0,384,0,0
