GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,CLE,CHI
2023121710,2023-12-17,1,10,21,CLE,CHI,1,10,45,0,0,(10:21) 34-J.FORD RIGHT TACKLE TO CHI 46 FOR 9 YARDS (9-J.BRISKER).,0,2023,9,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,45,OWN,0,,0,,0,279,0,0
2023121710,2023-12-17,1,9,38,CLE,CHI,2,1,54,0,0,(9:38) 15-J.FLACCO PASS INCOMPLETE DEEP LEFT TO 8-E.MOORE.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,46,OPP,0,,0,,0,322,0,0
2023121710,2023-12-17,1,9,31,CLE,CHI,3,1,54,0,0,(9:31) 68-M.DUNN AND 56-L.WYPLER REPORTED IN AS ELIGIBLE.  27-K.HUNT RIGHT GUARD TO CHI 47 FOR -1 YARDS (93-JU.JONES).,0,2023,-1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,46,OPP,0,,0,,0,329,0,0
2023121710,2023-12-17,1,8,56,CLE,CHI,4,2,53,0,0,"(8:56) 13-C.BOJORQUEZ PUNTS 30 YARDS TO CHI 17, CENTER-47-C.HUGHLETT, FAIR CATCH BY 15-T.TAYLOR.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,47,OPP,0,,0,,0,364,0,0
2023121710,2023-12-17,1,8,49,CLE,CHI,0,0,100,1,0,TIMEOUT AT 08:49.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,371,0,0
2023121710,2023-12-17,1,8,49,CHI,CLE,1,10,17,0,0,(8:49) (SHOTGUN) 24-K.HERBERT RIGHT TACKLE TO CHI 20 FOR 3 YARDS (95-M.GARRETT).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,17,OWN,0,,0,,0,371,0,0
2023121710,2023-12-17,1,8,13,CHI,CLE,2,7,20,0,0,(8:13) (SHOTGUN) 24-K.HERBERT RIGHT GUARD TO CHI 22 FOR 2 YARDS (6-J.OWUSU-KORAMOAH).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,20,OWN,0,,0,,0,407,0,0
2023121710,2023-12-17,1,7,29,CHI,CLE,3,5,22,0,0,(7:29) (SHOTGUN) 1-J.FIELDS PASS INCOMPLETE DEEP LEFT TO 11-D.MOONEY.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,22,OWN,0,,0,,0,451,0,0
2023121710,2023-12-17,1,7,25,CHI,CLE,4,5,22,0,0,"(7:25) 16-T.GILL PUNTS 55 YARDS TO CLE 23, CENTER-48-P.SCALES. 11-J.PROCHE PUSHED OB AT CLE 37 FOR 14 YARDS (20-T.HOMER).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,22,OWN,0,,0,,0,455,0,0
2023121710,2023-12-17,1,7,14,CLE,CHI,1,10,37,0,0,"(7:14) (SHOTGUN) 15-J.FLACCO PASS SHORT LEFT TO 20-P.STRONG TO CHI 42 FOR 21 YARDS (32-T.SMITH; 6-K.GORDON). PENALTY ON CLE-53-N.HARRIS, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT CLE 44.",0,2023,21,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,1,0,0,,37,OWN,1,CLE,0,OFFENSIVE HOLDING,10,466,0,0
2023121710,2023-12-17,1,6,42,CLE,CHI,1,13,34,0,0,"(6:42) (SHOTGUN) 15-J.FLACCO PASS SHORT LEFT TO 85-D.NJOKU TO CLE 42 FOR 8 YARDS (49-T.EDMUNDS, 32-T.SMITH). CLE-75-J.BITONIO WAS INJURED DURING THE PLAY.",0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,34,OWN,0,,0,,0,498,0,0
2023121710,2023-12-17,1,6,8,CLE,CHI,0,0,100,1,0,TIMEOUT AT 06:08.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,532,0,0
2023121710,2023-12-17,1,6,4,CLE,CHI,2,5,42,0,0,(6:04) (SHOTGUN) 20-P.STRONG LEFT TACKLE TO CLE 42 FOR NO GAIN (53-T.EDWARDS; 93-JU.JONES).,0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,42,OWN,0,,0,,0,536,0,0
