GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,IND,PIT
2023121601,2023-12-16,1,15,0,PIT,IND,0,0,65,1,0,7-M.GAY KICKS 61 YARDS FROM IND 35 TO PIT 4. 48-G.IGWEBUIKE TO PIT 38 FOR 34 YARDS (43-T.DENBOW).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0
2023121601,2023-12-16,1,14,54,PIT,IND,1,10,38,0,0,(14:54) 22-N.HARRIS UP THE MIDDLE TO PIT 38 FOR NO GAIN (45-E.SPEED).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,38,OWN,0,,0,,0,6,0,0
2023121601,2023-12-16,1,14,15,PIT,IND,2,10,38,0,0,(14:15) (SHOTGUN) 10-M.TRUBISKY SACKED AT PIT 34 FOR -4 YARDS (SACK SPLIT BY 99-D.BUCKNER AND 90-G.STEWART).,0,2023,-4,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,45,0,0
2023121601,2023-12-16,1,13,36,PIT,IND,3,14,34,0,0,(13:36) (SHOTGUN) 10-M.TRUBISKY PASS SHORT LEFT TO 30-J.WARREN TO PIT 38 FOR 4 YARDS (51-K.PAYE).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,34,OWN,0,,0,,0,84,0,0
2023121601,2023-12-16,1,13,1,PIT,IND,4,10,38,0,0,"(13:01) 6-P.HARVIN PUNTS 42 YARDS TO IND 20, CENTER-46-C.KUNTZ. 1-J.DOWNS TO IND 31 FOR 11 YARDS (17-T.THOMPSON, 83-CO.HEYWARD).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,119,0,0
2023121601,2023-12-16,1,12,52,IND,PIT,1,10,31,0,0,(12:52) (SHOTGUN) 10-G.MINSHEW PASS SHORT LEFT TO 21-Z.MOSS TO IND 32 FOR 1 YARD (56-A.HIGHSMITH).,0,2023,1,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,128,0,0
2023121601,2023-12-16,1,12,15,IND,PIT,2,9,32,0,0,(12:15) (SHOTGUN) 10-G.MINSHEW PASS SHORT MIDDLE TO 11-M.PITTMAN PUSHED OB AT IND 39 FOR 7 YARDS (38-M.WALKER).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,165,0,0
2023121601,2023-12-16,1,11,39,IND,PIT,3,2,39,1,0,(11:39) (SHOTGUN) 10-G.MINSHEW PASS SHORT LEFT TO 11-M.PITTMAN PUSHED OB AT IND 47 FOR 8 YARDS (23-D.KAZEE).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,39,OWN,0,,0,,0,201,0,0
2023121601,2023-12-16,1,11,15,IND,PIT,1,10,47,0,0,"(11:15) (NO HUDDLE, SHOTGUN) 10-G.MINSHEW PASS SHORT LEFT TO 1-J.DOWNS TO PIT 47 FOR 6 YARDS (23-D.KAZEE, 24-J.PORTER).",0,2023,6,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,47,OWN,0,,0,,0,225,0,0
2023121601,2023-12-16,1,10,47,IND,PIT,2,4,53,0,0,"(10:47) (NO HUDDLE, SHOTGUN) 21-Z.MOSS UP THE MIDDLE TO PIT 44 FOR 3 YARDS (90-T.WATT; 23-D.KAZEE).",0,2023,3,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,47,OPP,0,,0,,0,253,0,0
2023121601,2023-12-16,1,10,14,IND,PIT,3,1,56,1,0,(10:14) 21-Z.MOSS UP THE MIDDLE TO PIT 42 FOR 2 YARDS (93-M.ROBINSON).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,44,OPP,0,,0,,0,286,0,0
2023121601,2023-12-16,1,9,52,IND,PIT,1,10,58,0,0,"(9:52) (NO HUDDLE, SHOTGUN) 10-G.MINSHEW PASS SHORT MIDDLE TO 21-Z.MOSS TO PIT 39 FOR 3 YARDS (50-E.ROBERTS).",0,2023,3,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,42,OPP,0,,0,,0,308,0,0
2023121601,2023-12-16,1,9,5,IND,PIT,2,7,61,0,0,(9:05) (SHOTGUN) 10-G.MINSHEW SACKED AT PIT 45 FOR -6 YARDS (90-T.WATT).,0,2023,-6,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,39,OPP,0,,0,,0,355,0,0
