GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,SEA,PHI
2023121801,2023-12-18,1,7,13,PHI,SEA,2,3,97,0,0,"(7:13) (SHOTGUN) 0-D.SWIFT UP THE MIDDLE TO SEA 3 FOR NO GAIN (20-J.LOVE, 90-JA.REED).",0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,3,OPP,0,,0,,0,15,467,0,0
2023121801,2023-12-18,1,6,36,PHI,SEA,3,3,97,1,0,"(6:36) (SHOTGUN) 1-J.HURTS SCRAMBLES LEFT END FOR 3 YARDS, TOUCHDOWN.",0,2023,3,SHOTGUN,SCRAMBLE,1,0,0,1,,0,0,0,,0,0,0,0,0,,3,OPP,0,,0,,0,15,504,0,0
2023121801,2023-12-18,1,6,31,SEA,PHI,0,0,100,1,0,TIMEOUT AT 06:31.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,15,509,0,0
2023121801,2023-12-18,1,6,31,SEA,PHI,0,0,65,1,0,"4-J.ELLIOTT KICKS 65 YARDS FROM PHI 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,15,509,0,0
2023121801,2023-12-18,1,6,31,SEA,PHI,1,10,25,0,0,"(6:31) PENALTY ON SEA-89-W.DISSLY, FALSE START, 5 YARDS, ENFORCED AT SEA 25 - NO PLAY.",0,2023,0,UNDER CENTER,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,25,OWN,1,SEA,1,FALSE START,5,15,509,0,0
2023121801,2023-12-18,1,6,31,SEA,PHI,1,15,20,0,0,(6:31) 2-D.LOCK PASS SHORT LEFT TO 9-K.WALKER TO SEA 23 FOR 3 YARDS (41-N.MORROW).,0,2023,3,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,15,509,0,0
2023121801,2023-12-18,1,6,31,PHI,SEA,0,0,85,1,0,"4-J.ELLIOTT EXTRA POINT IS GOOD, CENTER-45-R.LOVATO, HOLDER-10-B.MANN.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,15,509,0,0
2023121801,2023-12-18,1,5,58,SEA,PHI,2,12,23,0,0,(5:58) (NO HUDDLE) 9-K.WALKER RIGHT GUARD TO SEA 26 FOR 3 YARDS (93-M.WILLIAMS).,0,2023,3,NO HUDDLE,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,23,OWN,0,,0,,0,15,542,0,0
2023121801,2023-12-18,1,5,19,SEA,PHI,3,9,26,0,0,(5:19) (SHOTGUN) 2-D.LOCK PASS SHORT MIDDLE TO 14-D.METCALF TO SEA 34 FOR 8 YARDS (33-B.ROBY).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,15,581,0,0
2023121801,2023-12-18,1,4,37,SEA,PHI,4,1,34,0,0,"(4:37) 4-M.DICKSON PUNTS 54 YARDS TO PHI 12, CENTER-41-C.STOLL, FAIR CATCH BY 18-B.COVEY.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,34,OWN,0,,0,,0,15,623,0,0
2023121801,2023-12-18,1,4,29,SEA,PHI,0,0,100,1,0,TIMEOUT AT 04:29.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,15,631,0,0
2023121801,2023-12-18,1,4,29,PHI,SEA,1,10,12,0,0,(4:29) (SHOTGUN) 0-D.SWIFT LEFT GUARD TO PHI 17 FOR 5 YARDS (56-J.BROOKS).,0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,12,OWN,0,,0,,0,15,631,0,0
2023121801,2023-12-18,1,3,52,PHI,SEA,2,5,17,0,0,(3:52) (SHOTGUN) 1-J.HURTS PASS INCOMPLETE DEEP LEFT TO 0-D.SWIFT.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,17,OWN,0,,0,,0,15,668,0,0
2023121801,2023-12-18,1,3,47,PHI,SEA,3,10,12,0,0,(3:47) (SHOTGUN) 1-J.HURTS PASS INCOMPLETE SHORT MIDDLE TO 88-D.GOEDERT.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,12,OWN,0,,0,,0,15,673,0,0
2023121801,2023-12-18,1,3,47,PHI,SEA,3,5,17,0,0,"(3:47) (SHOTGUN) PENALTY ON PHI-1-J.HURTS, FALSE START, 5 YARDS, ENFORCED AT PHI 17 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,17,OWN,1,PHI,1,FALSE START,5,15,673,0,0
2023121801,2023-12-18,1,3,43,PHI,SEA,4,10,12,0,0,"(3:43) 10-B.MANN PUNTS 61 YARDS TO SEA 27, CENTER-45-R.LOVATO, DOWNED BY PHI-28-J.JOBE.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,12,OWN,0,,0,,0,15,677,0,0
2023121801,2023-12-18,1,3,29,SEA,PHI,0,0,100,1,0,TIMEOUT AT 03:29.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,15,691,0,0
