GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,DEN,DET
2023121602,2023-12-16,1,9,33,DEN,DET,1,10,20,0,0,(9:33) 33-J.WILLIAMS UP THE MIDDLE TO DEN 21 FOR 1 YARD (34-A.ANZALONE).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,20,OWN,0,,0,,0,327,0,0
2023121602,2023-12-16,1,9,33,DET,DEN,0,0,100,1,0,TIMEOUT AT 09:33.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,327,0,0
2023121602,2023-12-16,1,8,56,DEN,DET,2,9,21,0,0,(8:56) (SHOTGUN) 3-R.WILSON PASS INCOMPLETE DEEP RIGHT TO 19-M.MIMS (97-A.HUTCHINSON).,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,21,OWN,0,,0,,0,364,0,0
2023121602,2023-12-16,1,8,50,DEN,DET,3,9,21,0,0,"(8:50) (NO HUDDLE, SHOTGUN) 3-R.WILSON PASS INCOMPLETE SHORT LEFT TO 10-J.JEUDY.",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,21,OWN,0,,0,,0,370,0,0
2023121602,2023-12-16,1,8,40,DEN,DET,4,9,21,0,0,"(8:40) 9-R.DIXON PUNTS 52 YARDS TO DET 27, CENTER-48-M.FRABONI. 11-K.RAYMOND TO DET 27 FOR NO GAIN (37-R.MOSS).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,21,OWN,0,,0,,0,380,0,0
2023121602,2023-12-16,1,8,31,DET,DEN,0,0,100,1,0,TIMEOUT AT 08:31.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,389,0,0
2023121602,2023-12-16,1,8,31,DET,DEN,1,10,27,0,0,(8:31) 26-J.GIBBS UP THE MIDDLE TO DET 35 FOR 8 YARDS (23-F.MOREAU).,0,2023,8,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,27,OWN,0,,0,,0,389,0,0
2023121602,2023-12-16,1,7,58,DET,DEN,2,2,35,0,0,"(7:58) 26-J.GIBBS RIGHT END TO DET 45 FOR 10 YARDS (29-J.MCMILLIAN). PENALTY ON DET-60-G.GLASGOW, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT DET 35 - NO PLAY.",0,2023,10,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,RIGHT END,35,OWN,1,DET,1,OFFENSIVE HOLDING,10,422,0,0
2023121602,2023-12-16,1,7,41,DET,DEN,2,12,25,1,0,(7:41) (SHOTGUN) 16-J.GOFF PASS SHORT MIDDLE TO 9-J.WILLIAMS TO DET 39 FOR 14 YARDS (31-J.SIMMONS).,0,2023,14,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,439,0,0
2023121602,2023-12-16,1,7,2,DET,DEN,1,10,39,1,0,(7:02) 16-J.GOFF PASS SHORT LEFT TO 11-K.RAYMOND RAN OB AT DEN 49 FOR 12 YARDS.,0,2023,12,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,39,OWN,0,,0,,0,478,0,0
2023121602,2023-12-16,1,6,35,DET,DEN,1,10,51,0,0,"(6:35) 26-J.GIBBS UP THE MIDDLE TO DEN 48 FOR 1 YARD (0-J.COOPER, 59-T.INCOOM).",0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,49,OPP,0,,0,,0,505,0,0
2023121602,2023-12-16,1,6,0,DET,DEN,2,9,52,0,0,(6:00) (SHOTGUN) 16-J.GOFF PASS SHORT LEFT TO 26-J.GIBBS PUSHED OB AT DEN 49 FOR -1 YARDS (23-F.MOREAU).,0,2023,-1,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,48,OPP,0,,0,,0,540,0,0
2023121602,2023-12-16,1,5,17,DET,DEN,3,10,51,0,0,(5:17) (SHOTGUN) 16-J.GOFF PASS INCOMPLETE DEEP LEFT TO 9-J.WILLIAMS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,49,OPP,0,,0,,0,583,0,0
2023121602,2023-12-16,1,5,11,DET,DEN,4,10,51,0,0,"(5:11) 3-J.FOX PUNTS 33 YARDS TO DEN 16, CENTER-43-J.MCQUAIDE, FAIR CATCH BY 19-M.MIMS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,49,OPP,0,,0,,0,589,0,0
2023121602,2023-12-16,1,5,4,DET,DEN,0,0,100,1,0,TIMEOUT AT 05:04.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,596,0,0
2023121602,2023-12-16,1,5,4,DEN,DET,1,10,16,0,0,(5:04) (SHOTGUN) 33-J.WILLIAMS UP THE MIDDLE TO DEN 18 FOR 2 YARDS (97-A.HUTCHINSON).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,16,OWN,0,,0,,0,596,0,0
2023121602,2023-12-16,1,4,23,DEN,DET,2,8,18,0,0,(4:23) (NO HUDDLE) 33-J.WILLIAMS UP THE MIDDLE TO DEN 22 FOR 4 YARDS (79-J.COMINSKY; 6-I.MELIFONWU).,0,2023,4,NO HUDDLE,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,18,OWN,0,,0,,0,637,0,0
2023121602,2023-12-16,1,3,41,DEN,DET,3,4,22,0,0,"(3:41) (NO HUDDLE, SHOTGUN) PENALTY ON DEN-69-M.MCGLINCHEY, FALSE START, 5 YARDS, ENFORCED AT DEN 22 - NO PLAY.",0,2023,0,NO HUDDLE SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,22,OWN,1,DEN,1,FALSE START,5,679,0,0
2023121602,2023-12-16,1,3,22,DEN,DET,3,9,17,1,0,(3:22) (SHOTGUN) 3-R.WILSON PASS DEEP LEFT TO 14-C.SUTTON PUSHED OB AT DEN 40 FOR 23 YARDS (30-K.DORSEY; 6-I.MELIFONWU).,0,2023,23,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,17,OWN,0,,0,,0,698,0,0
2023121602,2023-12-16,1,2,53,DEN,DET,1,10,40,0,0,"(2:53) (NO HUDDLE, SHOTGUN) 25-S.PERINE LEFT TACKLE TO DEN 46 FOR 6 YARDS (34-A.ANZALONE; 46-J.CAMPBELL).",0,2023,6,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,40,OWN,0,,0,,0,727,0,0
2023121602,2023-12-16,1,2,17,DEN,DET,2,4,46,0,0,(2:17) 33-J.WILLIAMS LEFT TACKLE TO DEN 46 FOR NO GAIN (6-I.MELIFONWU; 32-B.BRANCH).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,46,OWN,0,,0,,0,763,0,0
2023121602,2023-12-16,1,1,52,DEN,DET,3,4,46,0,0,"(1:52) (NO HUDDLE, SHOTGUN) 3-R.WILSON PASS INCOMPLETE SHORT RIGHT TO 82-A.TRAUTMAN (32-B.BRANCH).",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,46,OWN,0,,0,,0,788,0,0
2023121602,2023-12-16,1,1,47,DEN,DET,4,4,46,0,0,"(1:47) 9-R.DIXON PUNTS 54 YARDS TO END ZONE, CENTER-48-M.FRABONI, TOUCHBACK.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,46,OWN,0,,0,,0,793,0,0
2023121602,2023-12-16,1,1,38,DET,DEN,0,0,100,1,0,TIMEOUT AT 01:38.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,802,0,0
2023121602,2023-12-16,1,1,38,DET,DEN,1,10,20,0,0,"(1:38) (SHOTGUN) 5-D.MONTGOMERY LEFT TACKLE TO DET 26 FOR 6 YARDS (49-A.SINGLETON, 6-P.LOCKE).",0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,20,OWN,0,,0,,0,802,0,0
2023121602,2023-12-16,1,1,4,DET,DEN,2,4,26,1,0,(1:04) 5-D.MONTGOMERY LEFT END TO DET 31 FOR 5 YARDS (91-M.HENNINGSEN).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,26,OWN,0,,0,,0,836,0,0
2023121602,2023-12-16,1,0,29,DET,DEN,1,10,31,1,0,(:29) 70-D.SKIPPER REPORTED IN AS ELIGIBLE.  16-J.GOFF PASS SHORT MIDDLE TO 87-S.LAPORTA TO DET 48 FOR 17 YARDS (23-F.MOREAU).,0,2023,17,UNDER CENTER,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,871,0,0
2023121602,2023-12-16,1,0,0,DET,DEN,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,900,0,0
2023121602,2023-12-16,2,15,0,DET,DEN,1,10,48,0,0,(15:00) 5-D.MONTGOMERY UP THE MIDDLE TO DET 48 FOR NO GAIN (29-J.MCMILLIAN).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,48,OWN,0,,0,,0,900,0,0
2023121602,2023-12-16,2,14,28,DET,DEN,2,10,48,0,0,(14:28) (SHOTGUN) 16-J.GOFF PASS SHORT RIGHT TO 19-D.PEOPLES-JONES TO DEN 47 FOR 5 YARDS (23-F.MOREAU).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,48,OWN,0,,0,,0,932,0,0
2023121602,2023-12-16,2,13,53,DET,DEN,3,5,53,1,0,(13:53) (SHOTGUN) 16-J.GOFF PASS SHORT LEFT TO 87-S.LAPORTA TO DEN 40 FOR 7 YARDS (47-J.JEWELL) [92-J.HARRIS].,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,47,OPP,0,,0,,0,967,0,0
2023121602,2023-12-16,2,13,19,DET,DEN,1,10,60,1,0,(13:19) 16-J.GOFF PASS DEEP RIGHT TO 8-J.REYNOLDS TO DEN 19 FOR 21 YARDS (23-F.MOREAU).,0,2023,21,UNDER CENTER,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,40,OPP,0,,0,,0,1001,0,0
2023121602,2023-12-16,2,12,41,DET,DEN,1,10,81,1,0,"(12:41) (SHOTGUN) 16-J.GOFF PASS SHORT LEFT TO 87-S.LAPORTA FOR 19 YARDS, TOUCHDOWN.",0,2023,19,SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,0,0,0,0,,19,OPP,0,,0,,0,1039,0,0
2023121602,2023-12-16,2,12,31,DET,DEN,0,0,85,1,0,"17-M.BADGLEY EXTRA POINT IS GOOD, CENTER-43-J.MCQUAIDE, HOLDER-3-J.FOX.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,1049,0,0
2023121602,2023-12-16,2,12,31,DET,DEN,0,0,100,1,0,TIMEOUT AT 12:31.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1049,0,0
2023121602,2023-12-16,2,12,31,DEN,DET,0,0,65,1,0,"3-J.FOX KICKS 65 YARDS FROM DET 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,1049,0,0
2023121602,2023-12-16,2,12,31,DEN,DET,1,10,25,0,0,(12:31) 3-R.WILSON PASS INCOMPLETE SHORT MIDDLE TO 10-J.JEUDY [29-K.VILDOR].,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,1049,0,0
2023121602,2023-12-16,2,12,26,DEN,DET,2,10,25,0,0,"(12:26) (SHOTGUN) 33-J.WILLIAMS UP THE MIDDLE TO DEN 22 FOR -3 YARDS (6-I.MELIFONWU, 34-A.ANZALONE).",0,2023,-3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,25,OWN,0,,0,,0,1054,0,0
2023121602,2023-12-16,2,11,41,DEN,DET,3,13,22,0,0,(11:41) (SHOTGUN) 3-R.WILSON SACKED AT DEN 13 FOR -9 YARDS (93-J.PASCHAL).,0,2023,-9,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,22,OWN,0,,0,,0,1099,0,0
2023121602,2023-12-16,2,11,10,DEN,DET,4,22,13,0,0,"(11:10) 9-R.DIXON PUNTS 56 YARDS TO DET 31, CENTER-48-M.FRABONI. 11-K.RAYMOND TO DET 39 FOR 8 YARDS (1-TR.SMITH).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,13,OWN,0,,0,,0,1130,0,0
2023121602,2023-12-16,2,10,58,DET,DEN,0,0,100,1,0,TIMEOUT AT 10:58.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1142,0,0
2023121602,2023-12-16,2,10,58,DET,DEN,1,10,39,1,0,(10:58) (SHOTGUN) 16-J.GOFF PASS DEEP RIGHT TO 8-J.REYNOLDS TO DEN 41 FOR 20 YARDS (2-P.SURTAIN) [99-Z.ALLEN].,0,2023,20,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,39,OWN,0,,0,,0,1142,0,0
2023121602,2023-12-16,2,10,18,DET,DEN,1,10,59,1,0,(10:18) 26-J.GIBBS LEFT END PUSHED OB AT DEN 20 FOR 21 YARDS (47-J.JEWELL).,0,2023,21,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,41,OPP,0,,0,,0,1182,0,0
2023121602,2023-12-16,2,9,37,DET,DEN,1,10,80,0,0,(9:37) 16-J.GOFF PASS SHORT RIGHT TO 5-D.MONTGOMERY TO DEN 27 FOR -7 YARDS (93-D.JONES).,0,2023,-7,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,20,OPP,0,,0,,0,1223,0,0
2023121602,2023-12-16,2,9,1,DET,DEN,2,17,73,1,0,(9:01) (SHOTGUN) 16-J.GOFF PASS SHORT LEFT TO 9-J.WILLIAMS PUSHED OB AT DEN 9 FOR 18 YARDS (6-P.LOCKE).,0,2023,18,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,27,OPP,0,,0,,0,1259,0,0
2023121602,2023-12-16,2,8,24,DET,DEN,1,9,91,0,0,(8:24) 16-J.GOFF PASS INCOMPLETE SHORT LEFT TO 14-A.ST. BROWN (6-P.LOCKE).,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,9,OPP,0,,0,,0,1296,0,0
2023121602,2023-12-16,2,8,20,DET,DEN,2,9,91,1,0,"(8:20) (SHOTGUN) 16-J.GOFF PASS SHORT MIDDLE TO 26-J.GIBBS FOR 9 YARDS, TOUCHDOWN.",0,2023,9,SHOTGUN,PASS,0,1,0,1,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,9,OPP,0,,0,,0,1300,0,0
2023121602,2023-12-16,2,8,15,DET,DEN,0,0,100,1,0,TIMEOUT AT 08:15.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1305,0,0
2023121602,2023-12-16,2,8,15,DEN,DET,0,0,65,1,0,3-J.FOX KICKS 64 YARDS FROM DET 35 TO DEN 1. 19-M.MIMS TO DEN 21 FOR 20 YARDS (42-J.REEVES-MAYBIN).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,1305,0,0
2023121602,2023-12-16,2,8,15,DET,DEN,0,0,85,1,0,"17-M.BADGLEY EXTRA POINT IS GOOD, CENTER-43-J.MCQUAIDE, HOLDER-3-J.FOX.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,1305,0,0
2023121602,2023-12-16,2,8,10,DEN,DET,1,10,21,0,0,(8:10) 3-R.WILSON PASS SHORT RIGHT TO 38-J.MCLAUGHLIN TO DEN 29 FOR 8 YARDS (1-C.SUTTON; 46-J.CAMPBELL). DET-55-D.BARNES WAS INJURED DURING THE PLAY. HIS RETURN IS QUESTIONABLE.,0,2023,8,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,21,OWN,0,,0,,0,1310,0,0
2023121602,2023-12-16,2,7,58,DEN,DET,0,0,100,1,0,TIMEOUT AT 07:58.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1322,0,0
2023121602,2023-12-16,2,7,45,DEN,DET,2,2,29,0,0,(7:45) 38-J.MCLAUGHLIN LEFT TACKLE TO DEN 30 FOR 1 YARD (6-I.MELIFONWU).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,29,OWN,0,,0,,0,1335,0,0
2023121602,2023-12-16,2,7,10,DEN,DET,3,1,30,0,0,(7:10) 3-R.WILSON UP THE MIDDLE TO DEN 30 FOR NO GAIN (46-J.CAMPBELL).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,30,OWN,0,,0,,0,1370,0,0
2023121602,2023-12-16,2,6,29,DEN,DET,4,1,30,1,0,(6:29) 3-R.WILSON UP THE MIDDLE TO DEN 32 FOR 2 YARDS (79-J.COMINSKY). DEN-69-M.MCGLINCHEY WAS INJURED DURING THE PLAY.,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,30,OWN,0,,0,,0,1411,0,0
2023121602,2023-12-16,2,5,59,DEN,DET,1,10,32,0,0,(5:59) (SHOTGUN) 33-J.WILLIAMS UP THE MIDDLE TO DEN 34 FOR 2 YARDS (79-J.COMINSKY; 31-K.JOSEPH).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,32,OWN,0,,0,,0,1441,0,0
2023121602,2023-12-16,2,5,20,DEN,DET,2,8,34,0,0,(5:20) 3-R.WILSON PASS SHORT LEFT TO 33-J.WILLIAMS TO DEN 32 FOR -2 YARDS (34-A.ANZALONE).,0,2023,-2,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,34,OWN,0,,0,,0,1480,0,0
2023121602,2023-12-16,2,4,35,DEN,DET,3,10,32,0,0,(4:35) (SHOTGUN) 3-R.WILSON PASS INCOMPLETE DEEP RIGHT TO 10-J.JEUDY [6-I.MELIFONWU].,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,1525,0,0
2023121602,2023-12-16,2,4,28,DEN,DET,4,10,32,0,0,"(4:28) 9-R.DIXON PUNTS 49 YARDS TO DET 19, CENTER-48-M.FRABONI, FAIR CATCH BY 11-K.RAYMOND.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,1532,0,0
2023121602,2023-12-16,2,4,21,DET,DEN,1,10,19,0,0,(4:21) 5-D.MONTGOMERY UP THE MIDDLE TO DET 21 FOR 2 YARDS (56-B.BROWNING; 47-J.JEWELL).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,19,OWN,0,,0,,0,1539,0,0
2023121602,2023-12-16,2,3,43,DET,DEN,2,8,21,1,0,"(3:43) (SHOTGUN) 16-J.GOFF PASS SHORT MIDDLE TO 14-A.ST. BROWN TO DET 29 FOR 8 YARDS (47-J.JEWELL, 31-J.SIMMONS).",0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,21,OWN,0,,0,,0,1577,0,0
