GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,LA,WAS
2023121705,2023-12-17,1,9,5,LA,WAS,2,7,93,0,0,(9:05) 9-M.STAFFORD PASS SHORT LEFT TO 17-P.NACUA TO WAS 3 FOR 4 YARDS (31-K.CURL).,0,2023,4,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,7,OPP,0,,0,,0,355,0,0
2023121705,2023-12-17,1,8,24,LA,WAS,3,3,97,0,0,(8:24) (SHOTGUN) 9-M.STAFFORD SACKED AT WAS 4 FOR -1 YARDS (94-D.PAYNE).,0,2023,-1,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,3,OPP,0,,0,,0,396,0,0
2023121705,2023-12-17,1,7,42,LA,WAS,4,4,96,0,0,"(7:42) 8-L.HAVRISIK 22 YARD FIELD GOAL IS GOOD, CENTER-46-C.TINKER, HOLDER-42-E.EVANS.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,4,OPP,0,,0,,0,438,0,0
2023121705,2023-12-17,1,7,39,WAS,LA,1,10,25,0,0,(7:39) (SHOTGUN) 14-S.HOWELL PASS SHORT RIGHT TO 24-A.GIBSON PUSHED OB AT WAS 33 FOR 8 YARDS (37-Q.LAKE).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,441,0,0
2023121705,2023-12-17,1,7,39,WAS,LA,0,0,65,1,0,"42-E.EVANS KICKS 65 YARDS FROM LAR 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,441,0,0
2023121705,2023-12-17,1,7,39,LA,WAS,0,0,100,1,0,TIMEOUT AT 07:39.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,441,0,0
2023121705,2023-12-17,1,7,10,WAS,LA,2,2,33,1,0,(7:10) 14-S.HOWELL PASS SHORT RIGHT TO 24-A.GIBSON TO WAS 36 FOR 3 YARDS (97-M.HOECHT).,0,2023,3,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,470,0,0
2023121705,2023-12-17,1,6,34,WAS,LA,1,10,36,0,0,(6:34) 23-C.RODRIGUEZ RIGHT TACKLE TO WAS 38 FOR 2 YARDS (53-E.JONES; 95-B.BROWN).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,36,OWN,0,,0,,0,506,0,0
2023121705,2023-12-17,1,5,56,WAS,LA,2,8,38,0,0,"(5:56) 23-C.RODRIGUEZ LEFT GUARD TO WAS 41 FOR 3 YARDS (92-J.WILLIAMS, 53-E.JONES).",0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,38,OWN,0,,0,,0,544,0,0
2023121705,2023-12-17,1,5,12,WAS,LA,3,5,41,1,0,(5:12) (SHOTGUN) 14-S.HOWELL SCRAMBLES RIGHT END RAN OB AT WAS 47 FOR 6 YARDS (97-M.HOECHT).,0,2023,6,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,41,OWN,0,,0,,0,588,0,0
2023121705,2023-12-17,1,4,35,WAS,LA,1,10,47,0,0,"(4:35) (SHOTGUN) 14-S.HOWELL PASS SHORT RIGHT TO 17-T.MCLAURIN TO LAR 40 FOR 13 YARDS (56-C.ROZEBOOM). PENALTY ON WAS-72-C.LENO, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT WAS 47 - NO PLAY.",0,2023,13,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,47,OWN,1,WAS,1,OFFENSIVE HOLDING,10,625,0,0
2023121705,2023-12-17,1,4,10,WAS,LA,1,20,37,0,0,(4:10) (SHOTGUN) 14-S.HOWELL PASS SHORT LEFT TO 3-B.PRINGLE TO WAS 42 FOR 5 YARDS (1-D.KENDRICK).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,37,OWN,0,,0,,0,650,0,0
2023121705,2023-12-17,1,3,26,WAS,LA,2,15,42,0,0,(3:26) 14-S.HOWELL PASS INCOMPLETE DEEP LEFT TO 17-T.MCLAURIN.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,42,OWN,0,,0,,0,694,0,0
2023121705,2023-12-17,1,3,20,WAS,LA,3,15,42,0,0,"(3:20) (SHOTGUN) 14-S.HOWELL SCRAMBLES RIGHT END PUSHED OB AT LAR 45 FOR 13 YARDS (0-B.YOUNG, 37-Q.LAKE).",0,2023,13,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,42,OWN,0,,0,,0,700,0,0
2023121705,2023-12-17,1,2,54,WAS,LA,4,2,55,1,0,(2:54) (SHOTGUN) 14-S.HOWELL PASS DEEP RIGHT TO 17-T.MCLAURIN TO LAR 21 FOR 24 YARDS (1-D.KENDRICK).,0,2023,24,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,45,OPP,0,,0,,0,726,0,0
2023121705,2023-12-17,1,2,10,WAS,LA,1,10,79,0,0,(2:10) (SHOTGUN) 24-A.GIBSON UP THE MIDDLE TO LAR 13 FOR 8 YARDS (4-J.FULLER).,0,2023,8,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,21,OPP,0,,0,,0,770,0,0
2023121705,2023-12-17,1,1,29,WAS,LA,2,2,87,0,0,(1:29) (SHOTGUN) 14-S.HOWELL PASS INCOMPLETE SHORT RIGHT TO 4-C.SAMUEL.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,13,OPP,0,,0,,0,811,0,0
2023121705,2023-12-17,1,1,25,WAS,LA,3,2,87,0,0,"(1:25) 24-A.GIBSON RIGHT END TO LAR 12 FOR 1 YARD (56-C.ROZEBOOM, 4-J.FULLER).",0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,13,OPP,0,,0,,0,815,0,0
2023121705,2023-12-17,1,0,40,WAS,LA,4,1,88,0,0,(:40) (SHOTGUN) 14-S.HOWELL PASS INCOMPLETE SHORT LEFT TO 82-L.THOMAS (31-N.HAMPTON).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,12,OPP,0,,0,,0,860,0,0
2023121705,2023-12-17,1,0,36,LA,WAS,0,0,100,1,0,TIMEOUT AT 00:36.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,864,0,0
2023121705,2023-12-17,1,0,36,LA,WAS,1,10,88,0,0,(:36) 23-K.WILLIAMS RIGHT END TO LAR 9 FOR -3 YARDS (55-K.HENRY).,0,2023,-3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,12,OPP,0,,0,,0,864,0,0
2023121705,2023-12-17,1,0,11,LA,WAS,2,13,91,0,0,"(:11) (NO HUDDLE, SHOTGUN) 9-M.STAFFORD PASS SHORT RIGHT TO 89-T.HIGBEE PUSHED OB AT LAR 16 FOR 7 YARDS (47-K.HUDSON).",0,2023,7,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,9,OPP,0,,0,,0,889,0,0
2023121705,2023-12-17,1,0,0,LA,WAS,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,900,0,0
2023121705,2023-12-17,2,15,0,LA,WAS,3,6,84,1,0,(15:00) (SHOTGUN) 9-M.STAFFORD PASS SHORT LEFT TO 10-C.KUPP PUSHED OB AT LAR 32 FOR 16 YARDS (29-K.FULLER) [93-J.ALLEN].,0,2023,16,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,16,OPP,0,,0,,0,900,0,0
2023121705,2023-12-17,2,14,23,LA,WAS,1,10,68,0,0,(14:23) 23-K.WILLIAMS UP THE MIDDLE TO LAR 37 FOR 5 YARDS (20-J.MARTIN; 94-D.PAYNE).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,32,OPP,0,,0,,0,937,0,0
2023121705,2023-12-17,2,13,41,LA,WAS,2,5,63,0,0,(13:41) 9-M.STAFFORD SACKED AT LAR 37 FOR 0 YARDS (20-J.MARTIN).,0,2023,0,UNDER CENTER,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,37,OPP,0,,0,,0,979,0,0
2023121705,2023-12-17,2,13,11,LA,WAS,3,5,63,1,0,(13:11) (SHOTGUN) 9-M.STAFFORD PASS SHORT RIGHT TO 89-T.HIGBEE RAN OB AT WAS 49 FOR 14 YARDS.,0,2023,14,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,37,OPP,0,,0,,0,1009,0,0
2023121705,2023-12-17,2,12,33,LA,WAS,1,10,51,0,0,(12:33) (SHOTGUN) 23-K.WILLIAMS RIGHT TACKLE TO WAS 47 FOR 2 YARDS (57-C.BARTON; 91-J.RIDGEWAY).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,49,OPP,0,,0,,0,1047,0,0
2023121705,2023-12-17,2,11,51,LA,WAS,2,8,53,0,0,(11:51) (SHOTGUN) 9-M.STAFFORD PASS SHORT LEFT TO 23-K.WILLIAMS TO WAS 40 FOR 7 YARDS (29-K.FULLER).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,47,OPP,0,,0,,0,1089,0,0
2023121705,2023-12-17,2,11,13,LA,WAS,3,1,60,1,0,"(11:13) (NO HUDDLE) 23-K.WILLIAMS UP THE MIDDLE TO WAS 33 FOR 7 YARDS (57-C.BARTON, 29-K.FULLER).",0,2023,7,NO HUDDLE,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,40,OPP,0,,0,,0,1127,0,0
2023121705,2023-12-17,2,10,34,LA,WAS,1,10,67,0,0,(10:34) 9-M.STAFFORD PASS SHORT RIGHT TO 10-C.KUPP TO WAS 25 FOR 8 YARDS (47-K.HUDSON).,0,2023,8,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,33,OPP,0,,0,,0,1166,0,0
2023121705,2023-12-17,2,9,56,LA,WAS,2,2,75,1,0,(9:56) 23-K.WILLIAMS UP THE MIDDLE TO WAS 21 FOR 4 YARDS (91-J.RIDGEWAY).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,25,OPP,0,,0,,0,1204,0,0
2023121705,2023-12-17,2,9,16,LA,WAS,1,10,79,1,0,"(9:16) 23-K.WILLIAMS LEFT TACKLE TO WAS 10 FOR 11 YARDS (57-C.BARTON, 35-P.BUTLER). FUMBLES (35-P.BUTLER), RECOVERED BY WAS-29-K.FULLER AT WAS 8.",0,2023,11,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,1,0,0,0,LEFT TACKLE,21,OPP,0,,0,,0,1244,0,0
2023121705,2023-12-17,2,9,7,WAS,LA,1,10,8,0,0,(9:07) (SHOTGUN) 24-A.GIBSON RIGHT TACKLE TO WAS 10 FOR 2 YARDS (37-Q.LAKE).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,8,OWN,0,,0,,0,1253,0,0
2023121705,2023-12-17,2,9,7,LA,WAS,0,0,100,1,0,TIMEOUT AT 09:07.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1253,0,0
