GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,NO,NYG
2023121702,2023-12-17,1,15,0,NYG,NO,0,0,65,1,0,"19-B.GRUPE KICKS 65 YARDS FROM NO 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0
2023121702,2023-12-17,1,15,0,NYG,NO,1,10,25,0,0,(15:00) (SHOTGUN) 15-T.DEVITO PASS INCOMPLETE DEEP RIGHT TO 86-D.SLAYTON (29-P.ADEBO).,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,0,0,0
2023121702,2023-12-17,1,14,54,NYG,NO,2,10,25,0,0,"(14:54) (SHOTGUN) 26-S.BARKLEY LEFT GUARD TO NYG 26 FOR 1 YARD (99-K.SAUNDERS, 20-P.WERNER).",0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,25,OWN,0,,0,,0,6,0,0
2023121702,2023-12-17,1,14,14,NYG,NO,3,9,26,0,0,(14:14) (SHOTGUN) 15-T.DEVITO PASS SHORT LEFT TO 82-D.BELLINGER TO NYG 34 FOR 8 YARDS (1-A.TAYLOR).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,46,0,0
2023121702,2023-12-17,1,13,22,NYG,NO,1,10,40,0,0,(13:22) 26-S.BARKLEY RIGHT TACKLE TO NYG 40 FOR NO GAIN (93-N.SHEPHERD).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,40,OWN,0,,0,,0,98,0,0
2023121702,2023-12-17,1,12,44,NYG,NO,2,10,40,1,0,(12:44) (SHOTGUN) 15-T.DEVITO PASS SHORT RIGHT TO 26-S.BARKLEY PUSHED OB AT NO 43 FOR 17 YARDS (32-T.MATHIEU).,0,2023,17,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,40,OWN,0,,0,,0,136,0,0
2023121702,2023-12-17,1,12,10,NYG,NO,1,10,57,0,0,(12:10) (SHOTGUN) 15-T.DEVITO PASS SHORT LEFT TO 12-D.WALLER TO NO 42 FOR 1 YARD (56-D.DAVIS).,0,2023,1,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,43,OPP,0,,0,,0,170,0,0
2023121702,2023-12-17,1,11,29,NYG,NO,2,9,58,0,0,(11:29) (SHOTGUN) 31-M.BREIDA LEFT TACKLE TO NO 40 FOR 2 YARDS (56-D.DAVIS).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,42,OPP,0,,0,,0,211,0,0
2023121702,2023-12-17,1,10,48,NYG,NO,3,7,60,0,0,(10:48) (SHOTGUN) 15-T.DEVITO SCRAMBLES UP THE MIDDLE TO NO 38 FOR 2 YARDS (20-P.WERNER).,0,2023,2,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,40,OPP,0,,0,,0,252,0,0
2023121702,2023-12-17,1,10,6,NYG,NO,4,5,62,0,0,"(10:06) 46-R.BULLOCK 56 YARD FIELD GOAL IS GOOD, CENTER-59-C.KREITER, HOLDER-6-J.GILLAN.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,38,OPP,0,,0,,0,294,0,0
2023121702,2023-12-17,1,10,0,NO,NYG,0,0,65,1,0,46-R.BULLOCK KICKS 63 YARDS FROM NYG 35 TO NO 2. 5-L.BOWDEN TO NO 20 FOR 18 YARDS (31-M.BREIDA).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,300,0,0
2023121702,2023-12-17,1,10,0,NO,NYG,0,0,100,1,0,TIMEOUT AT 10:00.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,300,0,0
2023121702,2023-12-17,1,9,55,NO,NYG,1,10,20,0,0,(9:55) (SHOTGUN) 4-D.CARR PASS SHORT LEFT TO 5-L.BOWDEN TO NO 23 FOR 3 YARDS (28-C.FLOTT).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,305,0,0
2023121702,2023-12-17,1,9,24,NO,NYG,2,7,23,0,0,(9:24) 4-D.CARR PASS INCOMPLETE SHORT RIGHT TO 87-F.MOREAU.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,23,OWN,0,,0,,0,336,0,0
