GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,TB,GB
2023121700,2023-12-17,1,7,11,GB,TB,2,5,57,0,0,(7:11) (SHOTGUN) 33-A.JONES RIGHT TACKLE TO TB 44 FOR -1 YARDS (52-K.BRITT).,0,2023,-1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,43,OPP,0,,0,,0,469,0,0
2023121700,2023-12-17,1,6,31,GB,TB,3,6,56,1,0,(6:31) (SHOTGUN) 10-J.LOVE PASS DEEP LEFT TO 11-J.REED TO TB 24 FOR 20 YARDS (29-C.IZIEN).,0,2023,20,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,44,OPP,0,,0,,0,509,0,0
2023121700,2023-12-17,1,5,51,GB,TB,1,10,76,0,0,(5:51) 33-A.JONES RIGHT GUARD TO TB 19 FOR 5 YARDS (29-C.IZIEN).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,24,OPP,0,,0,,0,549,0,0
2023121700,2023-12-17,1,5,13,GB,TB,2,5,81,1,0,(5:13) (SHOTGUN) 33-A.JONES LEFT GUARD TO TB 12 FOR 7 YARDS (26-K.MERRIWEATHER).,0,2023,7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,19,OPP,0,,0,,0,587,0,0
2023121700,2023-12-17,1,4,33,GB,TB,1,10,88,0,0,(4:33) 33-A.JONES RIGHT TACKLE TO TB 5 FOR 7 YARDS (31-A.WINFIELD).,0,2023,7,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,12,OPP,0,,0,,0,627,0,0
2023121700,2023-12-17,1,3,50,GB,TB,2,3,95,0,0,(3:50) (SHOTGUN) 33-A.JONES UP THE MIDDLE TO TB 3 FOR 2 YARDS (54-L.DAVID).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,5,OPP,0,,0,,0,670,0,0
2023121700,2023-12-17,1,3,10,GB,TB,3,1,97,0,0,"(3:10) (SHOTGUN) 33-A.JONES UP THE MIDDLE TO TB 4 FOR -1 YARDS (29-C.IZIEN, 98-A.NELSON).",0,2023,-1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,3,OPP,0,,0,,0,710,0,0
2023121700,2023-12-17,1,2,28,GB,TB,4,2,96,0,0,(2:28) (SHOTGUN) 10-J.LOVE PASS INCOMPLETE SHORT LEFT TO 11-J.REED.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,4,OPP,0,,0,,0,752,0,0
2023121700,2023-12-17,1,2,25,GB,TB,0,0,100,1,0,TIMEOUT AT 02:25.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,755,0,0
2023121700,2023-12-17,1,2,25,TB,GB,1,10,4,0,0,(2:25) (SHOTGUN) 1-R.WHITE RIGHT GUARD TO TB 9 FOR 5 YARDS (90-L.VAN NESS).,0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,4,OWN,0,,0,,0,755,0,0
2023121700,2023-12-17,1,1,48,TB,GB,2,5,9,0,0,"(1:48) (SHOTGUN) 6-B.MAYFIELD SACKED AT TB 3 FOR -6 YARDS (55-K.ENAGBARE). FUMBLES (55-K.ENAGBARE), RECOVERED BY GB-55-K.ENAGBARE AT TB 4.",0,2023,-6,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,1,0,0,0,,9,OWN,0,,0,,0,792,0,0
2023121700,2023-12-17,1,1,41,GB,TB,1,4,96,0,0,(1:41) 33-A.JONES RIGHT GUARD TO TB 5 FOR -1 YARDS (54-L.DAVID).,0,2023,-1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,4,OPP,0,,0,,0,799,0,0
