GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,JAX,BAL
2023121708,2023-12-17,1,7,53,BAL,JAX,2,8,75,1,0,(7:53) (SHOTGUN) 8-L.JACKSON SCRAMBLES UP THE MIDDLE TO JAX 14 FOR 11 YARDS (23-F.OLUOKUN).,0,2023,11,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,15,427,0,0
2023121708,2023-12-17,1,7,8,BAL,JAX,1,10,86,0,0,(7:08) (SHOTGUN) 34-K.MITCHELL UP THE MIDDLE TO JAX 13 FOR 1 YARD (41-J.ALLEN).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,14,OPP,0,,0,,0,15,472,0,0
2023121708,2023-12-17,1,6,37,BAL,JAX,2,9,87,0,0,(6:37) 8-L.JACKSON PASS INCOMPLETE SHORT RIGHT TO 80-I.LIKELY.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,13,OPP,0,,0,,0,15,503,0,0
2023121708,2023-12-17,1,6,30,BAL,JAX,3,9,87,0,0,"(6:30) (SHOTGUN) 8-L.JACKSON PASS INCOMPLETE SHORT RIGHT [41-J.ALLEN]. PENALTY ON BAL-8-L.JACKSON, INTENTIONAL GROUNDING, 12 YARDS, ENFORCED AT JAX 13.",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,13,OPP,1,BAL,0,INTENTIONAL GROUNDING,12,15,510,0,0
2023121708,2023-12-17,1,6,26,BAL,JAX,4,21,75,0,0,"(6:26) 9-J.TUCKER 43 YARD FIELD GOAL IS GOOD, CENTER-69-T.OTT, HOLDER-11-J.STOUT.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,15,514,0,0
2023121708,2023-12-17,1,6,21,JAX,BAL,0,0,100,1,0,TIMEOUT AT 06:21.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,15,519,0,0
2023121708,2023-12-17,1,6,21,JAX,BAL,0,0,65,1,0,"9-J.TUCKER KICKS 65 YARDS FROM BAL 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,15,519,0,0
2023121708,2023-12-17,1,6,21,JAX,BAL,1,10,25,0,0,(6:21) 73-B.HANCE REPORTED IN AS ELIGIBLE.  1-T.ETIENNE RIGHT GUARD TO JAX 32 FOR 7 YARDS (58-M.PIERCE).,0,2023,7,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,25,OWN,0,,0,,0,15,519,0,0
2023121708,2023-12-17,1,5,46,JAX,BAL,2,3,32,1,0,(5:46) (SHOTGUN) 1-T.ETIENNE UP THE MIDDLE TO JAX 37 FOR 5 YARDS (99-O.OWEH). JAX-68-B.SCHERFF WAS INJURED DURING THE PLAY.,0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,32,OWN,0,,0,,0,15,554,0,0
2023121708,2023-12-17,1,5,38,JAX,BAL,0,0,100,1,0,TIMEOUT AT 05:38.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,15,562,0,0
2023121708,2023-12-17,1,5,18,JAX,BAL,1,10,37,1,0,(5:18) (SHOTGUN) 16-T.LAWRENCE PASS DEEP MIDDLE TO 89-L.FARRELL TO BAL 35 FOR 28 YARDS (32-M.WILLIAMS).,0,2023,28,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,37,OWN,0,,0,,0,15,582,0,0
2023121708,2023-12-17,1,4,38,JAX,BAL,1,10,65,0,0,(4:38) 73-B.HANCE REPORTED IN AS ELIGIBLE.  4-T.BIGSBY UP THE MIDDLE TO BAL 37 FOR -2 YARDS (14-K.HAMILTON).,0,2023,-2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,35,OPP,0,,0,,0,15,622,0,0
2023121708,2023-12-17,1,3,53,JAX,BAL,2,12,63,0,0,(3:53) (SHOTGUN) 16-T.LAWRENCE PASS INCOMPLETE SHORT LEFT TO 1-T.ETIENNE [92-J.MADUBUIKE].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,37,OPP,0,,0,,0,15,667,0,0
2023121708,2023-12-17,1,3,49,JAX,BAL,3,12,63,0,0,(3:49) (SHOTGUN) 16-T.LAWRENCE PASS SHORT LEFT TO 39-J.AGNEW TO BAL 32 FOR 5 YARDS (32-M.WILLIAMS).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,37,OPP,0,,0,,0,15,671,0,0
2023121708,2023-12-17,1,3,7,JAX,BAL,4,7,68,0,0,"(3:07) 10-B.MCMANUS 50 YARD FIELD GOAL IS NO GOOD, HIT RIGHT UPRIGHT, CENTER-46-R.MATISCIK, HOLDER-9-L.COOKE.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,32,OPP,0,,0,,0,15,713,0,0
2023121708,2023-12-17,1,3,3,JAX,BAL,0,0,100,1,0,TIMEOUT AT 03:03.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,15,717,0,0
2023121708,2023-12-17,1,3,3,BAL,JAX,1,10,40,0,0,(3:03) (SHOTGUN) 8-L.JACKSON UP THE MIDDLE TO BAL 42 FOR 2 YARDS (2-R.JENKINS).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,40,OWN,0,,0,,0,15,717,0,0
2023121708,2023-12-17,1,2,21,BAL,JAX,2,8,42,0,0,(2:21) (SHOTGUN) 8-L.JACKSON UP THE MIDDLE TO BAL 43 FOR 1 YARD (52-D.HAMILTON).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,42,OWN,0,,0,,0,15,759,0,0
2023121708,2023-12-17,1,1,56,BAL,JAX,3,7,43,0,0,"(1:56) (NO HUDDLE, SHOTGUN) 8-L.JACKSON SACKED AT BAL 28 FOR -15 YARDS (44-T.WALKER).",0,2023,-15,NO HUDDLE SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,43,OWN,0,,0,,0,15,784,0,0
2023121708,2023-12-17,1,1,12,BAL,JAX,4,22,28,0,0,"(1:12) 11-J.STOUT PUNTS 51 YARDS TO JAX 21, CENTER-69-T.OTT. 39-J.AGNEW TO JAX 38 FOR 17 YARDS (69-T.OTT; 40-M.HARRISON).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,15,828,0,0
