GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,KC,NE
2023121711,2023-12-17,1,15,0,NE,KC,0,0,65,0,0,"7-H.BUTKER KICKS 62 YARDS FROM KC 35 TO NE 3. 83-J.REAGOR PUSHED OB AT NE 49 FOR 46 YARDS (84-JU.WATSON). PENALTY ON NE-41-B.SCHOOLER, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT NE 23.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,1,0,0,,35,OPP,1,NE,0,OFFENSIVE HOLDING,10,0,0,0
2023121711,2023-12-17,1,14,52,NE,KC,1,10,13,0,0,"(14:52) 15-E.ELLIOTT LEFT TACKLE TO NE 12 FOR -1 YARDS (20-J.REID, 32-N.BOLTON).",0,2023,-1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,13,OWN,0,,0,,0,8,0,0
2023121711,2023-12-17,1,14,14,NE,KC,2,11,12,0,0,"(14:14) (SHOTGUN) 4-B.ZAPPE PASS SHORT RIGHT TO 1-D.PARKER TO NE 15 FOR 3 YARDS (32-N.BOLTON, 27-C.CONNER).",0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,12,OWN,0,,0,,0,46,0,0
2023121711,2023-12-17,1,13,36,NE,KC,3,8,15,0,0,(13:36) (SHOTGUN) 4-B.ZAPPE PASS INCOMPLETE SHORT MIDDLE TO 81-D.DOUGLAS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,15,OWN,0,,0,,0,84,0,0
2023121711,2023-12-17,1,13,33,NE,KC,4,8,15,0,0,"(13:33) 17-B.BARINGER PUNTS 47 YARDS TO KC 38, CENTER-49-J.CARDONA, FAIR CATCH BY 17-R.JAMES.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OWN,0,,0,,0,87,0,0
2023121711,2023-12-17,1,13,24,KC,NE,1,10,38,1,0,"(13:24) (SHOTGUN) 15-P.MAHOMES PASS DEEP RIGHT TO 83-N.GRAY TO NE 30 FOR 32 YARDS (31-J.JONES, 5-J.PEPPERS).",0,2023,32,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,96,0,0
2023121711,2023-12-17,1,12,46,KC,NE,1,10,70,0,0,"(12:46) (SHOTGUN) 15-P.MAHOMES PASS SHORT LEFT TO 4-R.RICE PUSHED OB AT NE 26 FOR 4 YARDS (27-M.BRYANT). PENALTY ON NE-28-A.AUSTIN, ILLEGAL USE OF HANDS, 5 YARDS, ENFORCED AT NE 30 - NO PLAY.",0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,1,0,0,,30,OPP,1,NE,1,ILLEGAL USE OF HANDS,5,134,0,0
2023121711,2023-12-17,1,12,26,KC,NE,1,10,75,0,0,"(12:26) (SHOTGUN) 25-C.EDWARDS-HELAIRE LEFT GUARD TO NE 20 FOR 5 YARDS (8-J.BENTLEY, 23-K.DUGGER).",0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,25,OPP,0,,0,,0,154,0,0
2023121711,2023-12-17,1,11,50,KC,NE,2,5,80,0,0,"(11:50) (SHOTGUN) 15-P.MAHOMES PASS SHORT RIGHT TO 19-K.TONEY TO NE 4 FOR 16 YARDS (28-A.AUSTIN, 31-J.JONES). PENALTY ON KC-4-R.RICE, OFFENSIVE PASS INTERFERENCE, 10 YARDS, ENFORCED AT NE 20 - NO PLAY.",0,2023,16,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,20,OPP,1,KC,1,OFFENSIVE PASS INTERFERENCE,10,190,0,0
2023121711,2023-12-17,1,11,20,KC,NE,2,15,70,0,0,"(11:20) (SHOTGUN) 15-P.MAHOMES PASS SHORT RIGHT TO 87-T.KELCE TO NE 26 FOR 4 YARDS (27-M.BRYANT, 90-C.BARMORE).",0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,30,OPP,0,,0,,0,220,0,0
