GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,BUF,DAL
2023121706,2023-12-17,1,15,0,BUF,DAL,0,0,65,1,0,"17-B.AUBREY KICKS 65 YARDS FROM DAL 35 TO END ZONE, TOUCHBACK. KICK THROUGH END ZONE.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,15,0,0,0
2023121706,2023-12-17,1,15,0,BUF,DAL,1,10,25,0,0,(15:00) (SHOTGUN) 4-J.COOK RIGHT GUARD TO BUF 27 FOR 2 YARDS (90-D.LAWRENCE).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,25,OWN,0,,0,,0,15,0,0,0
2023121706,2023-12-17,1,14,23,BUF,DAL,2,8,27,0,0,(14:23) (SHOTGUN) 17-J.ALLEN PASS SHORT LEFT TO 14-S.DIGGS TO BUF 33 FOR 6 YARDS (90-D.LAWRENCE).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,15,37,0,0
2023121706,2023-12-17,1,13,40,BUF,DAL,3,2,33,1,0,(13:40) (SHOTGUN) 17-J.ALLEN SCRAMBLES LEFT TACKLE TO BUF 38 FOR 5 YARDS (99-C.GOLSTON).,0,2023,5,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,15,80,0,0
2023121706,2023-12-17,1,13,6,BUF,DAL,1,10,38,1,0,"(13:06) (SHOTGUN) 4-J.COOK LEFT TACKLE TO BUF 48 FOR 10 YARDS (6-D.WILSON, 58-M.SMITH).",0,2023,10,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,38,OWN,0,,0,,0,15,114,0,0
2023121706,2023-12-17,1,12,26,BUF,DAL,1,10,48,1,0,(12:26) 4-J.COOK LEFT TACKLE TO DAL 40 FOR 12 YARDS (11-M.PARSONS; 6-D.WILSON).,0,2023,12,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,48,OWN,0,,0,,0,15,154,0,0
2023121706,2023-12-17,1,11,35,BUF,DAL,1,10,60,1,0,(11:35) 17-J.ALLEN PASS DEEP LEFT TO 14-S.DIGGS TO DAL 22 FOR 18 YARDS (21-S.GILMORE).,0,2023,18,UNDER CENTER,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,40,OPP,0,,0,,0,15,205,0,0
2023121706,2023-12-17,1,10,56,BUF,DAL,1,10,78,0,0,(10:56) (SHOTGUN) 4-J.COOK LEFT GUARD TO DAL 15 FOR 7 YARDS (33-D.CLARK; 14-M.BELL).,0,2023,7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,22,OPP,0,,0,,0,15,244,0,0
2023121706,2023-12-17,1,10,24,BUF,DAL,2,3,85,1,0,(10:24) (SHOTGUN) 4-J.COOK UP THE MIDDLE TO DAL 12 FOR 3 YARDS (33-D.CLARK; 6-D.WILSON).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,15,OPP,0,,0,,0,15,276,0,0
2023121706,2023-12-17,1,9,44,BUF,DAL,1,10,88,0,0,"(9:44) 17-J.ALLEN PASS INCOMPLETE SHORT RIGHT. THROWN AWAY, PRESSURE BY M.PARSONS.",0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,12,OPP,0,,0,,0,15,316,0,0
2023121706,2023-12-17,1,9,40,BUF,DAL,2,10,88,0,0,(9:40) 26-T.JOHNSON LEFT GUARD TO DAL 6 FOR 6 YARDS (1-J.KEARSE; 24-I.MUKUAMU).,0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,12,OPP,0,,0,,0,15,320,0,0
2023121706,2023-12-17,1,9,0,BUF,DAL,3,4,94,0,0,"(9:00) (SHOTGUN) 17-J.ALLEN PASS INCOMPLETE SHORT RIGHT TO 14-S.DIGGS. PENALTY ON DAL-90-D.LAWRENCE, ROUGHING THE PASSER, 3 YARDS, ENFORCED AT DAL 6 - NO PLAY.",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,6,OPP,1,DAL,1,ROUGHING THE PASSER,3,15,360,0,0
2023121706,2023-12-17,1,8,54,BUF,DAL,1,3,97,0,0,(8:54) (SHOTGUN) 17-J.ALLEN UP THE MIDDLE TO DAL 2 FOR 1 YARD (90-D.LAWRENCE).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,3,OPP,0,,0,,0,15,366,0,0
