GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,MIA,NYJ
2023121701,2023-12-17,1,8,22,MIA,NYJ,2,1,99,0,0,(8:22) 31-R.MOSTERT LEFT TACKLE TO NYJ 2 FOR -1 YARDS (22-T.ADAMS).,0,2023,-1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,1,OPP,0,,0,,0,398,0,0
2023121701,2023-12-17,1,7,41,MIA,NYJ,3,2,98,1,0,"(7:41) (SHOTGUN) 31-R.MOSTERT LEFT END FOR 2 YARDS, TOUCHDOWN.",0,2023,2,SHOTGUN,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,LEFT END,2,OPP,0,,0,,0,439,0,0
2023121701,2023-12-17,1,7,37,MIA,NYJ,0,0,85,1,0,"7-J.SANDERS EXTRA POINT IS GOOD, CENTER-44-B.FERGUSON, HOLDER-16-J.BAILEY.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,443,0,0
2023121701,2023-12-17,1,7,37,MIA,NYJ,0,0,100,1,0,TIMEOUT AT 07:37.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,443,0,0
2023121701,2023-12-17,1,7,37,NYJ,MIA,0,0,65,1,0,"7-J.SANDERS KICKS 65 YARDS FROM MIA 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,443,0,0
2023121701,2023-12-17,1,7,37,NYJ,MIA,1,10,25,0,0,(7:37) 2-Z.WILSON PASS INCOMPLETE SHORT MIDDLE.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,443,0,0
2023121701,2023-12-17,1,7,33,NYJ,MIA,2,10,25,0,0,(7:33) 33-D.COOK RIGHT GUARD TO NYJ 29 FOR 4 YARDS (2-B.CHUBB).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,25,OWN,0,,0,,0,447,0,0
2023121701,2023-12-17,1,6,50,NYJ,MIA,3,6,29,0,0,"(6:50) (SHOTGUN) 2-Z.WILSON PASS SHORT MIDDLE TO 83-T.CONKLIN TO NYJ 36 FOR 7 YARDS (40-N.NEEDHAM) [94-C.WILKINS]. PENALTY ON MIA-5-J.RAMSEY, ILLEGAL CONTACT, DECLINED.",0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,1,0,0,,29,OWN,0,MIA,0,ILLEGAL CONTACT,0,490,0,0
2023121701,2023-12-17,1,6,29,NYJ,MIA,1,10,36,0,0,(6:29) 2-Z.WILSON PASS INCOMPLETE SHORT RIGHT TO 83-T.CONKLIN (43-A.VAN GINKEL).,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,36,OWN,0,,0,,0,511,0,0
2023121701,2023-12-17,1,6,22,NYJ,MIA,2,10,36,0,0,(6:22) 2-Z.WILSON PASS SHORT RIGHT TO 33-D.COOK TO NYJ 42 FOR 6 YARDS (29-B.JONES).,0,2023,6,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,36,OWN,0,,0,,0,518,0,0
2023121701,2023-12-17,1,5,34,NYJ,MIA,3,4,42,0,0,(5:34) (SHOTGUN) 2-Z.WILSON PASS INCOMPLETE SHORT RIGHT TO 82-X.GIPSON (33-E.APPLE).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,42,OWN,0,,0,,0,566,0,0
2023121701,2023-12-17,1,5,23,MIA,NYJ,1,10,59,0,0,(5:23) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT RIGHT TO 83-C.CLAYPOOL TO NYJ 36 FOR 5 YARDS (11-J.JOHNSON).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,41,OPP,0,,0,,0,577,0,0
2023121701,2023-12-17,1,4,42,MIA,NYJ,2,5,64,0,0,(4:42) (SHOTGUN) 28-D.ACHANE LEFT END TO NYJ 34 FOR 2 YARDS (95-Q.WILLIAMS).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,36,OPP,0,,0,,0,618,0,0
2023121701,2023-12-17,1,3,57,MIA,NYJ,3,3,66,1,0,(3:57) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT RIGHT TO 28-D.ACHANE PUSHED OB AT NYJ 29 FOR 5 YARDS (56-QU.WILLIAMS).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,34,OPP,0,,0,,0,663,0,0
2023121701,2023-12-17,1,3,21,MIA,NYJ,1,10,71,0,0,"(3:21) (SHOTGUN) 28-D.ACHANE UP THE MIDDLE TO NYJ 26 FOR 3 YARDS (47-B.HUFF, 72-M.CLEMONS).",0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,29,OPP,0,,0,,0,699,0,0
2023121701,2023-12-17,1,2,38,MIA,NYJ,2,7,74,1,0,(2:38) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT MIDDLE TO 81-D.SMYTHE TO NYJ 19 FOR 7 YARDS (44-J.SHERWOOD).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,26,OPP,0,,0,,0,742,0,0
