GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,CAR,ATL
2023121709,2023-12-17,1,6,47,CAR,ATL,4,1,67,0,0,(6:47) (SHOTGUN) 30-C.HUBBARD UP THE MIDDLE TO ATL 33 FOR NO GAIN (93-C.CAMPBELL).,0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,33,OPP,0,,0,,0,493,0,0
2023121709,2023-12-17,1,6,43,ATL,CAR,1,10,34,0,0,(6:43) (SHOTGUN) 7-B.ROBINSON LEFT END TO ATL 32 FOR -2 YARDS (25-X.WOODS).,0,2023,-2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,34,OWN,0,,0,,0,497,0,0
2023121709,2023-12-17,1,6,43,CAR,ATL,0,0,100,1,0,TIMEOUT AT 06:43.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,497,0,0
2023121709,2023-12-17,1,6,6,ATL,CAR,2,12,32,0,0,(6:06) (SHOTGUN) 9-D.RIDDER SCRAMBLES UP THE MIDDLE TO ATL 33 FOR 1 YARD (40-D.JONES).,0,2023,1,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,534,0,0
2023121709,2023-12-17,1,5,27,ATL,CAR,3,11,33,0,0,(5:27) 9-D.RIDDER PASS INCOMPLETE SHORT RIGHT TO 7-B.ROBINSON (0-B.BURNS).,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,573,0,0
2023121709,2023-12-17,1,5,21,ATL,CAR,4,16,28,0,0,"(5:21) 13-B.PINION PUNTS 35 YARDS TO CAR 37, CENTER-49-L.MCCULLOUGH, OUT OF BOUNDS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,579,0,0
2023121709,2023-12-17,1,5,14,CAR,ATL,0,0,100,1,0,TIMEOUT AT 05:14.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,586,0,0
2023121709,2023-12-17,1,5,14,CAR,ATL,1,10,37,0,0,(5:14) 9-B.YOUNG PASS SHORT LEFT TO 15-J.MINGO TO CAR 43 FOR 6 YARDS (17-A.EBIKETIE).,0,2023,6,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,37,OWN,0,,0,,0,586,0,0
2023121709,2023-12-17,1,4,38,CAR,ATL,2,4,43,0,0,(4:38) (SHOTGUN) 9-B.YOUNG PASS INCOMPLETE DEEP RIGHT TO 17-D.CHARK.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,43,OWN,0,,0,,0,622,0,0
2023121709,2023-12-17,1,4,32,CAR,ATL,3,4,43,0,0,(4:32) (SHOTGUN) 9-B.YOUNG PASS INCOMPLETE DEEP RIGHT TO 19-A.THIELEN.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,43,OWN,0,,0,,0,628,0,0
2023121709,2023-12-17,1,4,26,CAR,ATL,4,4,43,0,0,"(4:26) 10-J.HEKKER PUNTS 53 YARDS TO ATL 4, CENTER-44-J.JANSEN, DOWNED BY CAR-42-S.FRANKLIN.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,43,OWN,0,,0,,0,634,0,0
2023121709,2023-12-17,1,4,17,CAR,ATL,0,0,100,1,0,TIMEOUT AT 04:17.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,643,0,0
2023121709,2023-12-17,1,4,17,ATL,CAR,1,10,4,0,0,(4:17) 25-T.ALLGEIER LEFT GUARD TO ATL 12 FOR 8 YARDS (94-C.WORMLEY).,0,2023,8,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,4,OWN,0,,0,,0,643,0,0
2023121709,2023-12-17,1,3,46,ATL,CAR,2,2,12,0,0,(3:46) 25-T.ALLGEIER LEFT TACKLE TO ATL 13 FOR 1 YARD (97-Y.GROSS-MATOS).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,12,OWN,0,,0,,0,674,0,0
2023121709,2023-12-17,1,3,13,ATL,CAR,3,1,13,1,0,(3:13) 25-T.ALLGEIER UP THE MIDDLE TO ATL 17 FOR 4 YARDS (49-F.LUVU).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,13,OWN,0,,0,,0,707,0,0
2023121709,2023-12-17,1,2,36,ATL,CAR,1,10,17,0,0,"(2:36) 84-C.PATTERSON UP THE MIDDLE TO ATL 12 FOR -5 YARDS (8-J.HORN, 94-C.WORMLEY).",0,2023,-5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,17,OWN,0,,0,,0,744,0,0
2023121709,2023-12-17,1,1,55,ATL,CAR,2,15,12,0,0,(1:55) (SHOTGUN) 9-D.RIDDER PASS SHORT RIGHT TO 25-T.ALLGEIER TO ATL 18 FOR 6 YARDS (13-T.HILL) [95-DER.BROWN].,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,12,OWN,0,,0,,0,785,0,0
2023121709,2023-12-17,1,1,14,ATL,CAR,3,9,18,0,0,(1:14) (SHOTGUN) 9-D.RIDDER PASS INCOMPLETE SHORT RIGHT.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,18,OWN,0,,0,,0,826,0,0
2023121709,2023-12-17,1,1,9,ATL,CAR,4,9,18,0,0,"(1:09) 13-B.PINION PUNTS 47 YARDS TO CAR 35, CENTER-49-L.MCCULLOUGH, FAIR CATCH BY 11-I.SMITH-MARSETTE.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,18,OWN,0,,0,,0,831,0,0
2023121709,2023-12-17,1,1,1,CAR,ATL,1,10,35,0,0,"(1:01) 65-J.DIRENZO REPORTED IN AS ELIGIBLE.  6-M.SANDERS RIGHT END TO CAR 31 FOR -4 YARDS (55-K.ELLISS, 17-A.EBIKETIE).",0,2023,-4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,35,OWN,0,,0,,0,839,0,0
2023121709,2023-12-17,1,1,1,CAR,ATL,0,0,100,1,0,TIMEOUT AT 01:01.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,839,0,0
2023121709,2023-12-17,1,0,16,CAR,ATL,2,14,31,0,0,(:16) (SHOTGUN) 9-B.YOUNG PASS INCOMPLETE SHORT LEFT [0-L.CARTER].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,884,0,0
2023121709,2023-12-17,1,0,8,CAR,ATL,3,14,31,0,0,(:08) (SHOTGUN) 9-B.YOUNG PASS SHORT LEFT TO 15-J.MINGO TO CAR 32 FOR 1 YARD (27-R.GRANT; 24-A.TERRELL).,0,2023,1,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,892,0,0
2023121709,2023-12-17,1,0,3,CAR,ATL,0,0,100,1,0,TIMEOUT #1 BY CAR AT 00:03.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,897,0,0
2023121709,2023-12-17,1,0,3,CAR,ATL,4,13,32,0,0,"(:03) 10-J.HEKKER PUNTS 52 YARDS TO ATL 16, CENTER-44-J.JANSEN. 20-D.ALFORD RAN OB AT ATL 17 FOR 1 YARD (42-S.FRANKLIN).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,897,0,0
2023121709,2023-12-17,1,0,0,CAR,ATL,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,900,0,0
2023121709,2023-12-17,2,15,0,ATL,CAR,1,10,17,0,0,"(15:00) 9-D.RIDDER FUMBLES (ABORTED) AT ATL 16, TOUCHED AT ATL 16, RECOVERED BY ATL-40-K.SMITH AT ATL 14. 40-K.SMITH TO ATL 18 FOR 4 YARDS (0-B.BURNS).",0,2023,0,UNDER CENTER,FUMBLES,0,0,0,0,,0,0,0,,0,1,0,0,0,,17,OWN,0,,0,,0,900,0,0
2023121709,2023-12-17,2,14,26,ATL,CAR,2,9,18,0,0,"(14:26) (SHOTGUN) 25-T.ALLGEIER LEFT GUARD TO ATL 24 FOR 6 YARDS (97-Y.GROSS-MATOS, 95-DER.BROWN).",0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,18,OWN,0,,0,,0,934,0,0
2023121709,2023-12-17,2,13,55,ATL,CAR,3,3,24,0,0,(13:55) (SHOTGUN) 25-T.ALLGEIER UP THE MIDDLE TO ATL 22 FOR -2 YARDS (91-N.THURMAN; 95-DER.BROWN).,0,2023,-2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,24,OWN,0,,0,,0,965,0,0
2023121709,2023-12-17,2,13,3,ATL,CAR,4,10,17,0,0,"(13:03) 13-B.PINION PUNTS 52 YARDS TO CAR 31, CENTER-49-L.MCCULLOUGH, FAIR CATCH BY 11-I.SMITH-MARSETTE.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,17,OWN,0,,0,,0,1017,0,0
2023121709,2023-12-17,2,12,54,CAR,ATL,0,0,100,1,0,TIMEOUT AT 12:54.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1026,0,0
