GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,MIN,DET,Week
2024010703,2024-01-07,1,4,54,DET,MIN,1,10,46,0,0,(4:54) (SHOTGUN) 16-J.GOFF PASS SHORT LEFT TO 87-S.LAPORTA TO MIN 46 FOR 8 YARDS (23-A.BOOTH) [95-K.TONGA].,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,46,OWN,0,,0,,0,606,0,0,18
2024010703,2024-01-07,1,4,12,DET,MIN,2,2,54,0,0,"(4:12) 26-J.GIBBS LEFT TACKLE TO MIN 45 FOR 1 YARD (24-C.BYNUM, 40-I.PACE).",0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,46,OPP,0,,0,,0,648,0,0,18
2024010703,2024-01-07,1,3,28,DET,MIN,3,1,55,0,0,(3:28) (SHOTGUN) 16-J.GOFF PASS INCOMPLETE SHORT RIGHT TO 87-S.LAPORTA (22-H.SMITH).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,45,OPP,0,,0,,0,692,0,0,18
2024010703,2024-01-07,1,3,22,DET,MIN,4,1,55,1,0,(3:22) 26-J.GIBBS UP THE MIDDLE TO MIN 44 FOR 1 YARD (40-I.PACE).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,45,OPP,0,,0,,0,698,0,0,18
2024010703,2024-01-07,1,2,53,DET,MIN,1,10,56,1,0,(2:53) 16-J.GOFF PASS DEEP LEFT TO 11-K.RAYMOND RAN OB AT MIN 3 FOR 41 YARDS.,0,2023,41,UNDER CENTER,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,44,OPP,0,,0,,0,727,0,0,18
2024010703,2024-01-07,1,2,17,DET,MIN,1,3,97,1,0,"(2:17) 26-J.GIBBS RIGHT END FOR 3 YARDS, TOUCHDOWN.",0,2023,3,UNDER CENTER,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,RIGHT END,3,OPP,0,,0,,0,763,0,0,18
2024010703,2024-01-07,1,2,12,DET,MIN,0,0,100,1,0,TIMEOUT AT 02:12.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,768,0,0,18
2024010703,2024-01-07,1,2,12,DET,MIN,0,0,85,1,0,"17-M.BADGLEY EXTRA POINT IS NO GOOD, WIDE LEFT, CENTER-43-J.MCQUAIDE, HOLDER-3-J.FOX.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,768,0,0,18
2024010703,2024-01-07,2,9,20,DET,MIN,0,0,65,1,0,1-G.JOSEPH KICKS 65 YARDS FROM MIN 35 TO DET 0. 13-C.REYNOLDS TO DET 26 FOR 26 YARDS (30-C.HAM).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,1240,0,0,18
2024010703,2024-01-07,2,9,20,DET,MIN,0,0,100,1,0,TIMEOUT AT 09:20.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1240,0,0,18
