GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,LAC,KC,Week
2024010709,2024-01-07,1,15,0,KC,LAC,1,10,25,0,0,"(15:00) (SHOTGUN) 29-L.PERINE UP THE MIDDLE TO KC 31 FOR 6 YARDS (56-M.FOX, 32-A.GILMAN).",0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,25,OWN,0,,0,,0,0,0,0,18
2024010709,2024-01-07,1,15,0,KC,LAC,0,0,65,1,0,"11-C.DICKER KICKS 65 YARDS FROM LAC 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0,18
2024010709,2024-01-07,1,14,22,KC,LAC,2,4,31,0,0,(14:22) 9-B.GABBERT PASS INCOMPLETE SHORT RIGHT.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,38,0,0,18
2024010709,2024-01-07,1,14,16,KC,LAC,3,4,31,0,0,(14:16) (SHOTGUN) 9-B.GABBERT PASS INCOMPLETE SHORT MIDDLE TO 81-B.BELL (32-A.GILMAN).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,44,0,0,18
2024010709,2024-01-07,1,14,12,KC,LAC,4,4,31,0,0,"(14:12) 5-T.TOWNSEND PUNTS 44 YARDS TO LAC 25, CENTER-41-J.WINCHESTER, FAIR CATCH BY 12-D.DAVIS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,48,0,0,18
2024010709,2024-01-07,1,2,57,KC,LAC,1,10,32,0,0,"(2:57) (SHOTGUN) 29-L.PERINE UP THE MIDDLE TO KC 36 FOR 4 YARDS (6-E.KENDRICKS, 93-O.OGBONNIA).",0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,32,OWN,0,,0,,0,723,0,0,18
2024010709,2024-01-07,1,2,22,KC,LAC,2,6,36,1,0,(2:22) (SHOTGUN) 9-B.GABBERT PASS SHORT LEFT TO 8-J.ROSS TO KC 46 FOR 10 YARDS (26-A.SAMUEL) [3-D.JAMES].,0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,36,OWN,0,,0,,0,758,0,0,18
2024010709,2024-01-07,1,1,48,KC,LAC,1,10,46,0,0,(1:48) 29-L.PERINE LEFT TACKLE TO KC 48 FOR 2 YARDS (3-D.JAMES).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,46,OWN,0,,0,,0,792,0,0,18
2024010709,2024-01-07,1,1,14,KC,LAC,2,8,48,0,0,(1:14) (SHOTGUN) 9-B.GABBERT PASS INCOMPLETE SHORT RIGHT TO 12-M.HARDMAN.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,48,OWN,0,,0,,0,826,0,0,18
2024010709,2024-01-07,1,1,11,KC,LAC,3,8,48,0,0,(1:11) (SHOTGUN) 9-B.GABBERT SACKED AT KC 39 FOR -9 YARDS (52-K.MACK).,0,2023,-9,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,48,OWN,0,,0,,0,829,0,0,18
2024010709,2024-01-07,1,0,35,KC,LAC,4,17,39,0,0,"(:35) 5-T.TOWNSEND PUNTS 61 YARDS TO END ZONE, CENTER-41-J.WINCHESTER, TOUCHBACK.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,39,OWN,0,,0,,0,865,0,0,18
2024010709,2024-01-07,2,14,8,KC,LAC,1,10,28,0,0,(14:08) (SHOTGUN) 9-B.GABBERT PASS INCOMPLETE DEEP RIGHT TO 8-J.ROSS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,952,0,0,18
2024010709,2024-01-07,2,14,3,KC,LAC,2,10,28,0,0,(14:03) (SHOTGUN) 29-L.PERINE LEFT GUARD TO KC 31 FOR 3 YARDS (56-M.FOX; 45-T.TUIPULOTU).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,28,OWN,0,,0,,0,957,0,0,18
2024010709,2024-01-07,2,13,25,KC,LAC,3,7,31,1,0,(13:25) (SHOTGUN) 9-B.GABBERT PASS SHORT MIDDLE TO 12-M.HARDMAN TO KC 41 FOR 10 YARDS (36-J.TAYLOR; 37-J.HAWKINS).,0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,995,0,0,18
