GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,ATL,DET
2023092402,2023-09-24,1,3,40,DET,ATL,1,10,78,0,0,"(3:40) (SHOTGUN) 26-J.GIBBS RIGHT TACKLE TO ATL 23 FOR -1 YARDS (24-A.TERRELL, 96-Z.HARRISON).",0,2023,-1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,22,OPP,0,,0,,0,3,680,0,0
2023092402,2023-09-24,1,3,4,DET,ATL,2,11,77,0,0,"(3:04) (SHOTGUN) 16-J.GOFF PASS SHORT RIGHT TO 87-S.LAPORTA TO ATL 26 FOR -3 YARDS (55-K.ELLISS, 95-T.GRAHAM).",0,2023,-3,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,23,OPP,0,,0,,0,3,716,0,0
2023092402,2023-09-24,1,2,27,DET,ATL,3,14,74,0,0,(2:27) (SHOTGUN) 16-J.GOFF PASS SHORT RIGHT TO 11-K.RAYMOND TO ATL 18 FOR 8 YARDS (3-J.BATES) [27-R.GRANT].,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,26,OPP,0,,0,,0,3,753,0,0
2023092402,2023-09-24,1,1,50,DET,ATL,4,6,82,0,0,"(1:50) 36-R.PATTERSON 37 YARD FIELD GOAL IS GOOD, CENTER-47-S.DALY, HOLDER-3-J.FOX.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,18,OPP,0,,0,,0,3,790,0,0
2023092402,2023-09-24,1,1,46,DET,ATL,0,0,100,1,0,TIMEOUT AT 01:46.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,3,794,0,0
2023092402,2023-09-24,1,1,46,ATL,DET,1,10,25,1,0,"(1:46) 7-B.ROBINSON LEFT END PUSHED OB AT ATL 36 FOR 11 YARDS (21-T.WALKER, 1-C.SUTTON).",0,2023,11,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,25,OWN,0,,0,,0,3,794,0,0
2023092402,2023-09-24,1,1,46,ATL,DET,0,0,65,1,0,"3-J.FOX KICKS 65 YARDS FROM DET 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,3,794,0,0
2023092402,2023-09-24,1,1,9,ATL,DET,1,10,36,0,0,(1:09) 7-B.ROBINSON UP THE MIDDLE TO ATL 38 FOR 2 YARDS (95-R.OKWARA; 94-B.JONES).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,36,OWN,0,,0,,0,3,831,0,0
2023092402,2023-09-24,1,0,23,ATL,DET,2,8,38,1,0,(:23) (SHOTGUN) 9-D.RIDDER PASS SHORT MIDDLE TO 8-K.PITTS TO ATL 48 FOR 10 YARDS (32-B.BRANCH).,0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,3,877,0,0
2023092402,2023-09-24,2,15,0,ATL,DET,1,10,48,0,0,(15:00) 7-B.ROBINSON LEFT END TO ATL 46 FOR -2 YARDS (32-B.BRANCH).,0,2023,-2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,48,OWN,0,,0,,0,3,900,0,0
2023092402,2023-09-24,1,0,0,ATL,DET,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,3,900,0,0
2023092402,2023-09-24,2,14,21,ATL,DET,2,12,46,1,0,(14:21) (SHOTGUN) 9-D.RIDDER PASS SHORT MIDDLE TO 8-K.PITTS TO DET 38 FOR 16 YARDS (21-T.WALKER).,0,2023,16,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,46,OWN,0,,0,,0,3,939,0,0
2023092402,2023-09-24,2,13,42,ATL,DET,1,10,62,1,0,(13:42) 9-D.RIDDER PASS SHORT LEFT TO 81-J.SMITH TO DET 26 FOR 12 YARDS (23-J.JACOBS).,0,2023,12,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,38,OPP,0,,0,,0,3,978,0,0
2023092402,2023-09-24,2,13,4,ATL,DET,1,10,74,0,0,"(13:04) 25-T.ALLGEIER LEFT END TO DET 27 FOR -1 YARDS (53-C.HARRIS, 21-T.WALKER).",0,2023,-1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,26,OPP,0,,0,,0,3,1016,0,0
2023092402,2023-09-24,2,12,20,ATL,DET,2,11,73,0,0,(12:20) (SHOTGUN) 9-D.RIDDER PASS SHORT LEFT TO 81-J.SMITH TO DET 30 FOR -3 YARDS (6-I.MELIFONWU).,0,2023,-3,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,27,OPP,0,,0,,0,3,1060,0,0
2023092402,2023-09-24,2,11,41,ATL,DET,3,14,70,0,0,"(11:41) (NO HUDDLE, SHOTGUN) 9-D.RIDDER PASS INCOMPLETE SHORT MIDDLE TO 5-D.LONDON (32-B.BRANCH).",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,30,OPP,0,,0,,0,3,1099,0,0
2023092402,2023-09-24,2,11,37,ATL,DET,4,14,70,0,0,"(11:37) 6-Y.KOO 48 YARD FIELD GOAL IS GOOD, CENTER-49-L.MCCULLOUGH, HOLDER-13-B.PINION.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,30,OPP,0,,0,,0,3,1103,0,0
2023092402,2023-09-24,2,11,32,DET,ATL,0,0,65,1,0,"13-B.PINION KICKS 65 YARDS FROM ATL 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,3,1108,0,0
2023092402,2023-09-24,2,11,32,DET,ATL,0,0,100,1,0,TIMEOUT AT 11:32.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,3,1108,0,0
2023092402,2023-09-24,2,11,32,DET,ATL,1,10,25,0,0,(11:32) 16-J.GOFF PASS INCOMPLETE DEEP LEFT TO 11-K.RAYMOND.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,3,1108,0,0
2023092402,2023-09-24,2,11,25,DET,ATL,2,10,25,0,0,(11:25) (SHOTGUN) 26-J.GIBBS UP THE MIDDLE TO DET 27 FOR 2 YARDS (98-T.HORNE; 27-R.GRANT).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,25,OWN,0,,0,,0,3,1115,0,0
2023092402,2023-09-24,2,10,45,DET,ATL,3,8,27,1,0,(10:45) (SHOTGUN) 16-J.GOFF PASS SHORT RIGHT TO 14-A.ST. BROWN PUSHED OB AT DET 46 FOR 19 YARDS (3-J.BATES).,0,2023,19,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,3,1155,0,0
2023092402,2023-09-24,2,10,28,DET,ATL,1,10,46,0,0,"(10:28) 13-C.REYNOLDS RIGHT END TO 50 FOR 4 YARDS (97-G.JARRETT; 55-K.ELLISS). DET-67-M.NELSON WAS INJURED DURING THE PLAY. HE IS OUT.  PENALTY ON ATL-97-G.JARRETT, DEFENSIVE HOLDING, 5 YARDS, ENFORCED AT 50.",0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,RIGHT END,46,OWN,1,ATL,0,DEFENSIVE HOLDING,5,3,1172,0,0
2023092402,2023-09-24,2,10,20,DET,ATL,0,0,100,1,0,TIMEOUT AT 10:20.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,3,1180,0,0
2023092402,2023-09-24,2,10,12,DET,ATL,1,10,55,1,0,"(10:12) 16-J.GOFF PASS DEEP RIGHT TO 87-S.LAPORTA FOR 45 YARDS, TOUCHDOWN [93-C.CAMPBELL].",0,2023,45,UNDER CENTER,PASS,0,1,0,1,DEEP RIGHT,0,0,0,,0,0,0,0,0,,45,OPP,0,,0,,0,3,1188,0,0
2023092402,2023-09-24,2,10,5,DET,ATL,0,0,85,1,0,"36-R.PATTERSON EXTRA POINT IS GOOD, CENTER-47-S.DALY, HOLDER-3-J.FOX.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,3,1195,0,0
