GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,TB,PHI
2023092500,2023-09-25,1,9,20,PHI,TB,3,1,86,0,0,"(9:20) (NO HUDDLE, SHOTGUN) 1-J.HURTS PASS INCOMPLETE SHORT RIGHT TO 13-O.ZACCHEAUS (27-Z.MCCOLLUM).",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,14,OPP,0,,0,,0,340,0,0
2023092500,2023-09-25,1,9,14,PHI,TB,4,1,86,0,0,"(9:14) (SHOTGUN) 14-K.GAINWELL UP THE MIDDLE TO TB 15 FOR -1 YARDS (23-R.NEAL, 31-A.WINFIELD).",0,2023,-1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,14,OPP,0,,0,,0,346,0,0
2023092500,2023-09-25,1,9,9,TB,PHI,1,10,15,1,0,(9:09) (SHOTGUN) 6-B.MAYFIELD PASS DEEP MIDDLE TO 88-C.OTTON TO TB 31 FOR 16 YARDS (32-R.BLANKENSHIP) [91-F.COX].,0,2023,16,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,15,OWN,0,,0,,0,351,0,0
2023092500,2023-09-25,1,9,9,TB,PHI,0,0,100,1,0,TIMEOUT AT 09:09.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,351,0,0
2023092500,2023-09-25,1,8,36,TB,PHI,1,10,31,0,0,(8:36) (SHOTGUN) 6-B.MAYFIELD PASS SHORT RIGHT TO 13-M.EVANS TO TB 36 FOR 5 YARDS (2-D.SLAY).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,384,0,0
2023092500,2023-09-25,1,8,3,TB,PHI,2,5,36,0,0,(8:03) (SHOTGUN) 1-R.WHITE LEFT GUARD TO TB 34 FOR -2 YARDS (41-N.MORROW).,0,2023,-2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,36,OWN,0,,0,,0,417,0,0
2023092500,2023-09-25,1,7,20,TB,PHI,3,7,34,0,0,(7:20) (SHOTGUN) 6-B.MAYFIELD SCRAMBLES RIGHT END RAN OB AT TB 36 FOR 2 YARDS (94-J.SWEAT).,0,2023,2,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,34,OWN,0,,0,,0,460,0,0
2023092500,2023-09-25,1,6,40,TB,PHI,4,5,36,0,0,"(6:40) 5-J.CAMARDA PUNTS 60 YARDS TO PHI 4, CENTER-97-Z.TRINER. 18-B.COVEY PUSHED OB AT TB 44 FOR 52 YARDS (44-S.TUCKER).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,36,OWN,0,,0,,0,500,0,0
2023092500,2023-09-25,1,6,25,PHI,TB,1,10,56,1,0,(6:25) (SHOTGUN) 0-D.SWIFT UP THE MIDDLE TO TB 30 FOR 14 YARDS (45-D.WHITE).,0,2023,14,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,44,OPP,0,,0,,0,515,0,0
2023092500,2023-09-25,1,5,39,PHI,TB,1,10,70,0,0,(5:39) (SHOTGUN) 0-D.SWIFT UP THE MIDDLE TO TB 29 FOR 1 YARD (31-A.WINFIELD).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,30,OPP,0,,0,,0,561,0,0
2023092500,2023-09-25,1,5,5,PHI,TB,2,9,71,0,0,(5:05) (SHOTGUN) 1-J.HURTS PASS SHORT LEFT TO 88-D.GOEDERT PUSHED OB AT TB 26 FOR 3 YARDS (35-J.DEAN).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,29,OPP,0,,0,,0,595,0,0
2023092500,2023-09-25,1,4,28,PHI,TB,3,6,74,1,0,(4:28) (SHOTGUN) 0-D.SWIFT RIGHT TACKLE TO TB 13 FOR 13 YARDS (27-Z.MCCOLLUM). TB-35-J.DEAN WAS INJURED DURING THE PLAY.,0,2023,13,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,26,OPP,0,,0,,0,632,0,0
