GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,CAR,SEA
2023092409,2023-09-24,1,8,47,CAR,SEA,3,16,69,0,0,"(8:47) (SHOTGUN) 14-A.DALTON PASS SHORT RIGHT TO 6-M.SANDERS TO SEA 17 FOR 14 YARDS (6-Q.DIGGS, 21-D.WITHERSPOON). PENALTY ON CAR-82-T.TREMBLE, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT SEA 25.",0,2023,14,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,31,OPP,1,CAR,0,OFFENSIVE HOLDING,10,3,373,0,0
2023092409,2023-09-24,1,8,27,CAR,SEA,3,20,65,0,0,(8:27) (SHOTGUN) 14-A.DALTON PASS SHORT LEFT TO 19-A.THIELEN TO SEA 29 FOR 6 YARDS (10-U.NWOSU).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,3,393,0,0
2023092409,2023-09-24,1,7,51,CAR,SEA,4,14,71,0,0,"(7:51) 4-E.PINEIRO 47 YARD FIELD GOAL IS GOOD, CENTER-44-J.JANSEN, HOLDER-10-J.HEKKER.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,29,OPP,0,,0,,0,3,429,0,0
2023092409,2023-09-24,1,7,47,SEA,CAR,1,10,25,0,0,"(7:47) (SHOTGUN) PENALTY ON SEA-68-D.LEWIS, FALSE START, 5 YARDS, ENFORCED AT SEA 25 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,25,OWN,1,SEA,1,FALSE START,5,3,433,0,0
2023092409,2023-09-24,1,7,47,SEA,CAR,0,0,100,1,0,TIMEOUT AT 07:47.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,3,433,0,0
2023092409,2023-09-24,1,7,47,SEA,CAR,0,0,65,1,0,"4-E.PINEIRO KICKS 65 YARDS FROM CAR 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,3,433,0,0
2023092409,2023-09-24,1,7,47,SEA,CAR,1,15,20,0,0,"(7:47) (SHOTGUN) 9-K.WALKER RIGHT GUARD PUSHED OB AT SEA 27 FOR 7 YARDS (24-V.BELL). PENALTY ON CAR-50-J.HOUSTON, FACE MASK, 15 YARDS, ENFORCED AT SEA 27.",0,2023,7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,RIGHT GUARD,20,OWN,1,CAR,0,FACE MASK,15,3,433,0,0
2023092409,2023-09-24,1,7,30,SEA,CAR,1,10,42,1,0,(7:30) 7-G.SMITH PASS DEEP LEFT TO 14-D.METCALF TO CAR 38 FOR 20 YARDS (54-K.GRUGIER-HILL).,0,2023,20,UNDER CENTER,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,42,OWN,0,,0,,0,3,450,0,0
2023092409,2023-09-24,1,6,52,SEA,CAR,1,10,62,0,0,(6:52) 7-G.SMITH PASS SHORT RIGHT TO 87-N.FANT RAN OB AT CAR 31 FOR 7 YARDS.,0,2023,7,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,38,OPP,0,,0,,0,3,488,0,0
2023092409,2023-09-24,1,6,21,SEA,CAR,2,3,69,0,0,(6:21) 9-K.WALKER RIGHT GUARD TO CAR 29 FOR 2 YARDS (49-F.LUVU).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,31,OPP,0,,0,,0,3,519,0,0
2023092409,2023-09-24,1,5,41,SEA,CAR,3,1,71,0,0,(5:41) (SHOTGUN) DIRECT SNAP TO 9-K.WALKER.  9-K.WALKER UP THE MIDDLE TO CAR 29 FOR NO GAIN (49-F.LUVU).,0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,29,OPP,0,,0,,0,3,559,0,0
2023092409,2023-09-24,1,4,58,SEA,CAR,4,1,71,1,0,(4:58) 9-K.WALKER LEFT GUARD TO CAR 28 FOR 1 YARD (96-D.WILLIAMS). OFFICIAL MEASUREMENT,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,29,OPP,0,,0,,0,3,602,0,0
