GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,MIN,LAC
2023092406,2023-09-24,1,8,32,LAC,MIN,1,10,21,0,0,(8:32) (SHOTGUN) 10-J.HERBERT PASS SHORT LEFT TO 13-K.ALLEN TO LAC 29 FOR 8 YARDS (22-H.SMITH).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,21,OWN,0,,0,,0,3,388,0,0
2023092406,2023-09-24,1,8,32,MIN,LAC,0,0,100,1,0,TIMEOUT AT 08:32.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,3,388,0,0
2023092406,2023-09-24,1,7,53,LAC,MIN,2,2,29,1,0,"(7:53) (SHOTGUN) 25-J.KELLEY LEFT TACKLE TO LAC 33 FOR 4 YARDS (58-J.HICKS, 21-A.EVANS).",0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,29,OWN,0,,0,,0,3,427,0,0
2023092406,2023-09-24,1,7,20,LAC,MIN,1,10,33,0,0,(7:20) (SHOTGUN) 10-J.HERBERT PASS INCOMPLETE SHORT LEFT TO 13-K.ALLEN.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,3,460,0,0
2023092406,2023-09-24,1,7,16,LAC,MIN,2,10,33,0,0,(7:16) (SHOTGUN) 10-J.HERBERT PASS SHORT RIGHT TO 81-M.WILLIAMS TO LAC 38 FOR 5 YARDS (58-J.HICKS; 21-A.EVANS).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,3,464,0,0
2023092406,2023-09-24,1,6,30,LAC,MIN,3,5,38,1,0,(6:30) (SHOTGUN) 10-J.HERBERT PASS SHORT LEFT TO 13-K.ALLEN TO LAC 45 FOR 7 YARDS (7-B.MURPHY).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,3,510,0,0
2023092406,2023-09-24,1,5,58,LAC,MIN,1,10,45,1,0,(5:58) (SHOTGUN) 10-J.HERBERT SCRAMBLES LEFT GUARD TO MIN 43 FOR 12 YARDS (21-A.EVANS).,0,2023,12,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,45,OWN,0,,0,,0,3,542,0,0
2023092406,2023-09-24,1,5,20,LAC,MIN,1,10,57,0,0,(5:20) (SHOTGUN) 10-J.HERBERT PASS SHORT RIGHT TO 5-J.PALMER TO MIN 40 FOR 3 YARDS (44-J.METELLUS; 22-H.SMITH).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,43,OPP,0,,0,,0,3,580,0,0
2023092406,2023-09-24,1,4,45,LAC,MIN,2,7,60,1,0,(4:45) (SHOTGUN) 10-J.HERBERT PASS SHORT RIGHT TO 7-G.EVERETT TO MIN 31 FOR 9 YARDS (7-B.MURPHY).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,40,OPP,0,,0,,0,3,615,0,0
2023092406,2023-09-24,1,4,5,LAC,MIN,1,10,69,0,0,(4:05) (SHOTGUN) 10-J.HERBERT PASS SHORT LEFT TO 1-Q.JOHNSTON PUSHED OB AT MIN 28 FOR 3 YARDS (21-A.EVANS).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,31,OPP,0,,0,,0,3,655,0,0
