GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,CLE,TEN
2023092401,2023-09-24,1,15,0,CLE,TEN,0,0,65,1,0,6-N.FOLK KICKS 69 YARDS FROM TEN 35 TO CLE -4. 20-P.STRONG TO CLE 22 FOR 26 YARDS (56-M.RICE; 57-L.GIFFORD).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,3,0,0,0
2023092401,2023-09-24,1,14,54,CLE,TEN,1,10,22,0,0,(14:54) 4-D.WATSON PASS SHORT RIGHT TO 11-D.PEOPLES-JONES PUSHED OB AT CLE 30 FOR 8 YARDS (0-S.MURPHY-BUNTING).,0,2023,8,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,22,OWN,0,,0,,0,3,6,0,0
2023092401,2023-09-24,1,14,12,CLE,TEN,2,2,30,0,0,(14:12) 4-D.WATSON SACKED AT CLE 28 FOR -2 YARDS (2-A.AL-SHAAIR).,0,2023,-2,UNDER CENTER,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,30,OWN,0,,0,,0,3,48,0,0
2023092401,2023-09-24,1,13,43,CLE,TEN,3,4,28,1,0,(13:43) (SHOTGUN) 4-D.WATSON PASS SHORT LEFT TO 8-E.MOORE PUSHED OB AT CLE 38 FOR 10 YARDS (37-A.HOOKER).,0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,3,77,0,0
2023092401,2023-09-24,1,13,3,CLE,TEN,1,10,38,0,0,(13:03) 8-E.MOORE LEFT END TO CLE 40 FOR 2 YARDS (37-A.HOOKER).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,38,OWN,0,,0,,0,3,117,0,0
2023092401,2023-09-24,1,12,28,CLE,TEN,2,8,40,0,0,(12:28) (SHOTGUN) 4-D.WATSON PASS SHORT RIGHT TO 85-D.NJOKU TO CLE 42 FOR 2 YARDS (50-J.GIBBENS).,0,2023,2,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,40,OWN,0,,0,,0,3,152,0,0
2023092401,2023-09-24,1,11,47,CLE,TEN,3,6,42,1,0,(11:47) (SHOTGUN) 4-D.WATSON PASS SHORT RIGHT TO 8-E.MOORE TO CLE 49 FOR 7 YARDS (21-R.MCCREARY).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,42,OWN,0,,0,,0,3,193,0,0
2023092401,2023-09-24,1,11,11,CLE,TEN,1,10,49,0,0,(11:11) (SHOTGUN) 27-K.HUNT RIGHT GUARD TO 50 FOR 1 YARD (98-J.SIMMONS).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,49,OWN,0,,0,,0,3,229,0,0
2023092401,2023-09-24,1,10,40,CLE,TEN,2,9,100,1,0,(10:40) (SHOTGUN) 4-D.WATSON PASS SHORT RIGHT TO 8-E.MOORE TO TEN 36 FOR 14 YARDS (98-J.SIMMONS).,0,2023,14,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,3,260,0,0
2023092401,2023-09-24,1,9,55,CLE,TEN,1,10,64,0,0,(9:55) 68-M.DUNN REPORTED IN AS ELIGIBLE.  20-P.STRONG LEFT TACKLE TO TEN 31 FOR 5 YARDS (49-A.KEY; 50-J.GIBBENS).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,36,OPP,0,,0,,0,3,305,0,0
2023092401,2023-09-24,1,9,17,CLE,TEN,2,5,69,0,0,(9:17) 3-M.GOODWIN LEFT END TO TEN 30 FOR 1 YARD (26-K.FULTON).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,31,OPP,0,,0,,0,3,343,0,0
2023092401,2023-09-24,1,8,35,CLE,TEN,3,4,70,0,0,(8:35) (SHOTGUN) 4-D.WATSON LEFT END TO TEN 30 FOR NO GAIN (26-K.FULTON; 24-E.MOLDEN).,0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,30,OPP,0,,0,,0,3,385,0,0
2023092401,2023-09-24,1,7,54,CLE,TEN,4,4,70,0,0,"(7:54) 7-D.HOPKINS 48 YARD FIELD GOAL IS GOOD, CENTER-47-C.HUGHLETT, HOLDER-13-C.BOJORQUEZ.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,30,OPP,0,,0,,0,3,426,0,0
