GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,PIT,LV
2023092412,2023-09-24,1,10,27,LV,PIT,0,0,100,1,0,TIMEOUT AT 10:27.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,273,0,0
2023092412,2023-09-24,1,10,27,LV,PIT,1,10,26,0,0,(10:27) 10-J.GAROPPOLO PASS SHORT RIGHT TO 17-D.ADAMS TO LV 35 FOR 9 YARDS (23-D.KAZEE).,0,2023,9,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,273,0,0
2023092412,2023-09-24,1,9,49,LV,PIT,2,1,35,1,0,(9:49) 8-J.JACOBS UP THE MIDDLE TO LV 40 FOR 5 YARDS (50-E.ROBERTS; 99-L.OGUNJOBI).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,35,OWN,0,,0,,0,311,0,0
2023092412,2023-09-24,1,9,8,LV,PIT,1,10,40,1,0,(9:08) (SHOTGUN) 10-J.GAROPPOLO PASS DEEP LEFT TO 17-D.ADAMS RAN OB AT PIT 41 FOR 19 YARDS (29-L.WALLACE).,0,2023,19,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,40,OWN,0,,0,,0,352,0,0
2023092412,2023-09-24,1,8,36,LV,PIT,1,10,59,0,0,"(8:36) (NO HUDDLE) 8-J.JACOBS UP THE MIDDLE TO PIT 39 FOR 2 YARDS (39-M.FITZPATRICK; 54-K.ALEXANDER). FUMBLES (39-M.FITZPATRICK), RECOVERED BY PIT-90-T.WATT AT PIT 42. THE REPLAY OFFICIAL REVIEWED THE RUNNER WAS NOT DOWN BY CONTACT RULING, AND THE PLAY WAS REVERSED. (NO HUDDLE) 8-J.JACOBS UP THE MIDDLE TO PIT 40 FOR 1 YARD (54-K.ALEXANDER; 39-M.FITZPATRICK).",0,2023,2,NO HUDDLE,RUSH,1,0,0,0,,0,0,0,,0,1,0,0,0,CENTER,41,OPP,0,,0,,0,384,0,0
2023092412,2023-09-24,1,8,10,LV,PIT,2,9,60,0,0,"(8:10) (SHOTGUN) PENALTY ON LV-74-K.MILLER, FALSE START, 5 YARDS, ENFORCED AT PIT 40 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,40,OPP,1,LV,1,FALSE START,5,410,0,0
2023092412,2023-09-24,1,7,53,LV,PIT,2,14,55,0,0,(7:53) (SHOTGUN) 10-J.GAROPPOLO PASS SHORT MIDDLE TO 16-J.MEYERS TO PIT 32 FOR 13 YARDS (20-P.PETERSON).,0,2023,13,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,45,OPP,0,,0,,0,427,0,0
2023092412,2023-09-24,1,7,31,LV,PIT,3,1,68,0,0,(7:31) (NO HUDDLE) 10-J.GAROPPOLO RIGHT GUARD TO PIT 32 FOR NO GAIN (54-K.ALEXANDER).,0,2023,0,NO HUDDLE,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,32,OPP,0,,0,,0,449,0,0
2023092412,2023-09-24,1,7,10,LV,PIT,0,0,100,1,0,TIMEOUT #1 BY LV AT 07:10.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,470,0,0
2023092412,2023-09-24,1,7,10,LV,PIT,4,1,68,1,0,"(7:10) 10-J.GAROPPOLO PASS DEEP MIDDLE TO 17-D.ADAMS FOR 32 YARDS, TOUCHDOWN.",0,2023,32,UNDER CENTER,PASS,0,1,0,1,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,32,OPP,0,,0,,0,470,0,0
2023092412,2023-09-24,1,7,4,PIT,LV,1,10,25,0,0,(7:04) (SHOTGUN) 8-K.PICKETT PASS INCOMPLETE SHORT RIGHT TO 14-G.PICKENS [95-J.JENKINS].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,476,0,0
2023092412,2023-09-24,1,7,4,LV,PIT,0,0,100,1,0,TIMEOUT AT 07:04.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,476,0,0
2023092412,2023-09-24,1,7,4,LV,PIT,0,0,85,1,0,"2-D.CARLSON EXTRA POINT IS GOOD, CENTER-50-J.BOBENMOYER, HOLDER-6-A.COLE.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,476,0,0
2023092412,2023-09-24,1,7,4,PIT,LV,0,0,65,1,0,"2-D.CARLSON KICKS 65 YARDS FROM LV 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,476,0,0
2023092412,2023-09-24,1,7,0,PIT,LV,2,10,25,0,0,(7:00) (SHOTGUN) 30-J.WARREN LEFT TACKLE TO PIT 28 FOR 3 YARDS (90-J.TILLERY).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,25,OWN,0,,0,,0,480,0,0
