GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,ARI,DAL
2023092410,2023-09-24,1,10,16,DAL,ARI,4,15,20,0,0,"(10:16) 5-B.ANGER PUNTS 52 YARDS TO ARI 28, CENTER-44-T.SIEG. 83-G.DORTCH TO DAL 44 FOR 28 YARDS (33-D.CLARK). PENALTY ON ARI-35-C.MATTHEW, ILLEGAL BLOCK ABOVE THE WAIST, 10 YARDS, ENFORCED AT ARI 28.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,1,0,0,,20,OWN,1,ARI,0,ILLEGAL BLOCK ABOVE THE WAIST,10,284,0,0
2023092410,2023-09-24,1,10,1,ARI,DAL,1,10,18,1,0,(10:01) (SHOTGUN) 9-J.DOBBS PASS SHORT LEFT TO 14-MI.WILSON RAN OB AT ARI 35 FOR 17 YARDS (1-J.KEARSE) [11-M.PARSONS].,0,2023,17,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,18,OWN,0,,0,,0,299,0,0
2023092410,2023-09-24,1,10,1,ARI,DAL,0,0,100,1,0,TIMEOUT AT 10:01.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,299,0,0
2023092410,2023-09-24,1,9,42,ARI,DAL,1,10,35,0,0,(9:42) 6-J.CONNER LEFT TACKLE TO ARI 35 FOR NO GAIN (95-J.HANKINS; 97-O.ODIGHIZUWA).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,35,OWN,0,,0,,0,318,0,0
2023092410,2023-09-24,1,9,7,ARI,DAL,2,10,35,0,0,"(9:07) (SHOTGUN) 9-J.DOBBS PASS INCOMPLETE DEEP LEFT TO 2-M.BROWN. PENALTY ON DAL-26-D.BLAND, DEFENSIVE PASS INTERFERENCE, 22 YARDS, ENFORCED AT ARI 35 - NO PLAY.",0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,1,0,0,,35,OWN,1,DAL,1,DEFENSIVE PASS INTERFERENCE,22,353,0,0
2023092410,2023-09-24,1,9,2,ARI,DAL,1,10,57,1,0,(9:02) 6-J.CONNER LEFT TACKLE TO DAL 23 FOR 20 YARDS (28-M.HOOKER).,0,2023,20,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,43,OPP,0,,0,,0,358,0,0
2023092410,2023-09-24,1,8,22,ARI,DAL,1,10,77,0,0,(8:22) (SHOTGUN) 9-J.DOBBS RIGHT END TO DAL 16 FOR 7 YARDS (11-M.PARSONS; 33-D.CLARK).,0,2023,7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,23,OPP,0,,0,,0,398,0,0
2023092410,2023-09-24,1,7,38,ARI,DAL,2,3,84,0,0,"(7:38) (SHOTGUN) 6-J.CONNER RIGHT TACKLE TO DAL 15 FOR 1 YARD (90-D.LAWRENCE, 14-M.BELL).",0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,16,OPP,0,,0,,0,442,0,0
2023092410,2023-09-24,1,6,56,ARI,DAL,3,2,85,1,0,"(6:56) (SHOTGUN) 9-J.DOBBS PASS SHORT RIGHT TO 6-J.CONNER TO DAL 5 FOR 10 YARDS (1-J.KEARSE, 14-M.BELL).",0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,484,0,0
2023092410,2023-09-24,1,6,16,ARI,DAL,1,5,95,1,0,"(6:16) 6-J.CONNER RIGHT END FOR 5 YARDS, TOUCHDOWN.",0,2023,5,UNDER CENTER,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,RIGHT END,5,OPP,0,,0,,0,524,0,0
2023092410,2023-09-24,1,6,12,DAL,ARI,0,0,65,1,0,"5-M.PRATER KICKS 65 YARDS FROM ARI 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,528,0,0
2023092410,2023-09-24,1,6,12,ARI,DAL,0,0,100,1,0,TIMEOUT AT 06:12.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,528,0,0
2023092410,2023-09-24,1,6,12,DAL,ARI,1,10,25,0,0,(6:12) 4-D.PRESCOTT PASS SHORT RIGHT TO 89-P.HENDERSHOT TO DAL 28 FOR 3 YARDS (13-K.CLARK; 7-K.WHITE).,0,2023,3,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,528,0,0
2023092410,2023-09-24,1,6,12,ARI,DAL,0,0,85,0,0,"5-M.PRATER EXTRA POINT IS GOOD, CENTER-46-A.BREWER, HOLDER-16-N.COONEY. PENALTY ON DAL-97-O.ODIGHIZUWA, DEFENSIVE OFFSIDE, 1 YARD, ENFORCED AT DAL 15 - NO PLAY.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,1,0,0,,15,OPP,1,DAL,1,DEFENSIVE OFFSIDE,1,528,0,0
2023092410,2023-09-24,1,6,12,ARI,DAL,0,0,99,1,0,TWO-POINT CONVERSION ATTEMPT. 6-J.CONNER RUSHES UP THE MIDDLE. ATTEMPT FAILS.,0,2023,0,UNDER CENTER,TWO-POINT CONVERSION,0,0,0,0,,0,0,0,,0,0,0,1,0,,1,OPP,0,,0,,0,528,0,0
2023092410,2023-09-24,1,5,38,DAL,ARI,2,7,28,1,0,(5:38) (SHOTGUN) 4-D.PRESCOTT PASS SHORT RIGHT TO 87-J.FERGUSON TO DAL 40 FOR 12 YARDS (22-K.WALLACE).,0,2023,12,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,562,0,0
2023092410,2023-09-24,1,5,11,DAL,ARI,1,10,40,0,0,(5:11) 4-D.PRESCOTT SACKED AT DAL 29 FOR -11 YARDS (25-Z.COLLINS).,0,2023,-11,UNDER CENTER,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,40,OWN,0,,0,,0,589,0,0
2023092410,2023-09-24,1,4,30,DAL,ARI,2,21,29,0,0,"(4:30) (SHOTGUN) 4-D.PRESCOTT PASS INCOMPLETE SHORT LEFT TO 88-C.LAMB. PENALTY ON ARI-34-J.THOMPSON, DEFENSIVE PASS INTERFERENCE, 10 YARDS, ENFORCED AT DAL 29 - NO PLAY.",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,1,0,0,,29,OWN,1,ARI,1,DEFENSIVE PASS INTERFERENCE,10,630,0,0
2023092410,2023-09-24,1,4,25,DAL,ARI,1,10,39,1,0,(4:25) 4-D.PRESCOTT PASS SHORT LEFT TO 40-H.LUEPKE TO ARI 49 FOR 12 YARDS (51-K.BARNES).,0,2023,12,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,39,OWN,0,,0,,0,635,0,0
2023092410,2023-09-24,1,3,52,DAL,ARI,1,10,51,0,0,(3:52) 4-D.PRESCOTT SACKED AT DAL 44 FOR -7 YARDS (52-V.DIMUKEJE).,0,2023,-7,UNDER CENTER,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,49,OPP,0,,0,,0,668,0,0
2023092410,2023-09-24,1,3,14,DAL,ARI,2,17,44,1,0,(3:14) (SHOTGUN) 4-D.PRESCOTT PASS SHORT LEFT TO 13-M.GALLUP PUSHED OB AT ARI 37 FOR 19 YARDS (34-J.THOMPSON).,0,2023,19,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,44,OWN,0,,0,,0,706,0,0
2023092410,2023-09-24,1,2,40,DAL,ARI,1,10,63,0,0,(2:40) (SHOTGUN) 4-D.PRESCOTT PASS INCOMPLETE SHORT LEFT TO 3-B.COOKS (20-MA.WILSON).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,37,OPP,0,,0,,0,740,0,0
