GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,BUF,WAS
2023092408,2023-09-24,1,8,9,WAS,BUF,1,10,39,0,0,(8:09) (SHOTGUN) 8-B.ROBINSON RIGHT END TO WAS 44 FOR 5 YARDS (58-M.MILANO).,0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,39,OWN,0,,0,,0,3,411,0,0
2023092408,2023-09-24,1,7,30,WAS,BUF,2,5,44,1,0,(7:30) (SHOTGUN) 14-S.HOWELL PASS SHORT RIGHT TO 17-T.MCLAURIN TO BUF 46 FOR 10 YARDS (27-T.WHITE).,0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,44,OWN,0,,0,,0,3,450,0,0
2023092408,2023-09-24,1,6,52,WAS,BUF,1,10,54,1,0,(6:52) 14-S.HOWELL PASS DEEP RIGHT TO 85-C.TURNER TO BUF 25 FOR 21 YARDS (21-J.POYER).,0,2023,21,UNDER CENTER,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,46,OPP,0,,0,,0,3,488,0,0
2023092408,2023-09-24,1,6,13,WAS,BUF,1,10,75,0,0,(6:13) (SHOTGUN) 14-S.HOWELL SACKED AT BUF 33 FOR -8 YARDS (SACK SPLIT BY 91-E.OLIVER AND 92-D.JONES).,0,2023,-8,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,3,527,0,0
2023092408,2023-09-24,1,5,30,WAS,BUF,2,18,67,0,0,(5:30) (SHOTGUN) 14-S.HOWELL SACKED AT BUF 34 FOR -1 YARDS (43-T.BERNARD).,0,2023,-1,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,33,OPP,0,,0,,0,3,570,0,0
2023092408,2023-09-24,1,4,45,WAS,BUF,3,19,66,0,0,(4:45) (SHOTGUN) 14-S.HOWELL PASS DEEP MIDDLE INTENDED FOR 2-D.BROWN INTERCEPTED BY 43-T.BERNARD AT BUF 16. 43-T.BERNARD TO BUF 16 FOR NO GAIN (2-D.BROWN).,0,2023,0,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,1,0,0,0,0,,34,OPP,0,,0,,0,3,615,0,0
2023092408,2023-09-24,1,4,39,WAS,BUF,0,0,100,1,0,TIMEOUT AT 04:39.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,3,621,0,0
2023092408,2023-09-24,1,4,39,BUF,WAS,1,10,16,0,0,(4:39) 17-J.ALLEN PASS INCOMPLETE DEEP LEFT TO 14-S.DIGGS (25-B.ST-JUSTE).,0,2023,0,UNDER CENTER,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,16,OWN,0,,0,,0,3,621,0,0
2023092408,2023-09-24,1,4,33,BUF,WAS,2,10,16,0,0,(4:33) (SHOTGUN) 4-J.COOK LEFT GUARD TO BUF 24 FOR 8 YARDS (35-P.BUTLER).,0,2023,8,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,16,OWN,0,,0,,0,3,627,0,0
2023092408,2023-09-24,1,3,58,BUF,WAS,3,2,24,1,0,(3:58) (SHOTGUN) 17-J.ALLEN PASS SHORT RIGHT TO 14-S.DIGGS TO BUF 28 FOR 4 YARDS (57-C.BARTON).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,24,OWN,0,,0,,0,3,662,0,0
