GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,NO,GB
2023092403,2023-09-24,1,15,0,NO,GB,0,0,65,1,0,"17-A.CARLSON KICKS 65 YARDS FROM GB 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,3,0,0,0
2023092403,2023-09-24,1,15,0,NO,GB,1,10,25,0,0,(15:00) 34-T.JONES RIGHT GUARD TO NO 25 FOR NO GAIN (93-T.SLATON; 97-K.CLARK).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,25,OWN,0,,0,,0,3,0,0,0
2023092403,2023-09-24,1,14,34,NO,GB,2,10,25,0,0,(14:34) (SHOTGUN) 4-D.CARR PASS INCOMPLETE SHORT RIGHT TO 13-M.THOMAS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,3,26,0,0
2023092403,2023-09-24,1,14,31,NO,GB,3,10,25,0,0,(14:31) (SHOTGUN) 4-D.CARR SACKED AT NO 16 FOR -9 YARDS (97-K.CLARK).,0,2023,-9,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,3,29,0,0
2023092403,2023-09-24,1,13,51,NO,GB,4,19,16,0,0,"(13:51) 39-L.HEDLEY PUNTS 38 YARDS TO GB 46, CENTER-49-Z.WOOD. 11-J.REED TO GB 48 FOR 2 YARDS (45-N.SEWELL; 48-J.GRAY).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,16,OWN,0,,0,,0,3,69,0,0
2023092403,2023-09-24,1,13,41,GB,NO,1,10,48,0,0,"(13:41) 28-A.DILLON LEFT TACKLE TO NO 46 FOR 6 YARDS (1-A.TAYLOR, 56-D.DAVIS). PENALTY ON GB-76-J.RUNYAN, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT GB 48 - NO PLAY.",0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,LEFT TACKLE,48,OWN,1,GB,1,OFFENSIVE HOLDING,10,3,79,0,0
2023092403,2023-09-24,1,13,18,GB,NO,1,20,38,0,0,"(13:18) (SHOTGUN) PENALTY ON GB-70-R.NEWMAN, FALSE START, 5 YARDS, ENFORCED AT GB 38 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,38,OWN,1,GB,1,FALSE START,5,3,102,0,0
2023092403,2023-09-24,1,13,2,GB,NO,1,25,33,0,0,"(13:02) 10-J.LOVE PASS SHORT RIGHT TO 88-L.MUSGRAVE TO GB 43 FOR 10 YARDS (27-I.YIADOM, 20-P.WERNER).",0,2023,10,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,3,118,0,0
2023092403,2023-09-24,1,12,19,GB,NO,2,15,43,0,0,(12:19) (SHOTGUN) 10-J.LOVE SCRAMBLES LEFT END TO NO 49 FOR 8 YARDS (23-M.LATTIMORE).,0,2023,8,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,43,OWN,0,,0,,0,3,161,0,0
2023092403,2023-09-24,1,11,33,GB,NO,3,7,51,0,0,(11:33) (SHOTGUN) 10-J.LOVE PASS SHORT RIGHT TO 87-R.DOUBS TO NO 44 FOR 5 YARDS (27-I.YIADOM; 32-T.MATHIEU).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,49,OPP,0,,0,,0,3,207,0,0
2023092403,2023-09-24,1,10,52,GB,NO,4,2,56,0,0,"(10:52) 31-EM.WILSON FUMBLES (ABORTED) AT GB 48, RECOVERED BY GB-10-J.LOVE AT GB 46. 10-J.LOVE PASS INCOMPLETE DEEP LEFT TO 13-D.WICKS.",0,2023,0,UNDER CENTER,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,1,0,0,0,,44,OPP,0,,0,,0,3,248,0,0
2023092403,2023-09-24,1,10,44,GB,NO,0,0,100,1,0,TIMEOUT AT 10:44.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,3,256,0,0
2023092403,2023-09-24,1,10,44,NO,GB,1,10,44,0,0,"(10:44) 25-K.MILLER RIGHT END TO NO 45 FOR 1 YARD (97-K.CLARK). PENALTY ON GB-97-K.CLARK, UNNECESSARY ROUGHNESS, 15 YARDS, ENFORCED AT NO 45.",0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,RIGHT END,44,OWN,1,GB,0,UNNECESSARY ROUGHNESS,15,3,256,0,0
