GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,KC,CHI
2023092411,2023-09-24,1,8,54,KC,CHI,1,10,65,1,0,(8:54) (SHOTGUN) 15-P.MAHOMES PASS DEEP MIDDLE TO 24-S.MOORE TO CHI 14 FOR 21 YARDS (49-T.EDMUNDS).,0,2023,21,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,3,366,0,0
2023092411,2023-09-24,1,8,16,KC,CHI,1,10,86,1,0,(8:16) (SHOTGUN) 15-P.MAHOMES SCRAMBLES RIGHT END RAN OB AT CHI 3 FOR 11 YARDS (53-T.EDWARDS).,0,2023,11,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,14,OPP,0,,0,,0,3,404,0,0
2023092411,2023-09-24,1,7,37,KC,CHI,1,3,97,0,0,"(7:37) (SHOTGUN) 10-I.PACHECO RIGHT END RAN OB AT CHI 2 FOR 1 YARD (29-T.STEVENSON). CHI-29-T.STEVENSON WAS INJURED DURING THE PLAY. HIS RETURN IS QUESTIONABLE.  PENALTY ON CHI-29-T.STEVENSON, UNNECESSARY ROUGHNESS, 1 YARD, ENFORCED AT CHI 2.",0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,RIGHT END,3,OPP,1,CHI,0,UNNECESSARY ROUGHNESS,1,3,443,0,0
2023092411,2023-09-24,1,7,31,KC,CHI,0,0,100,1,0,TIMEOUT AT 07:31.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,3,449,0,0
2023092411,2023-09-24,1,7,21,KC,CHI,1,1,99,0,0,"(7:21) (SHOTGUN) PENALTY ON KC-87-T.KELCE, FALSE START, 5 YARDS, ENFORCED AT CHI 1 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,1,OPP,1,KC,1,FALSE START,5,3,459,0,0
2023092411,2023-09-24,1,7,1,KC,CHI,1,6,94,0,0,(7:01) (SHOTGUN) 15-P.MAHOMES PASS INCOMPLETE SHORT MIDDLE TO 87-T.KELCE.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,6,OPP,0,,0,,0,3,479,0,0
2023092411,2023-09-24,1,6,55,KC,CHI,2,6,94,1,0,"(6:55) (SHOTGUN) 15-P.MAHOMES PASS SHORT MIDDLE TO 1-J.MCKINNON FOR 6 YARDS, TOUCHDOWN.",0,2023,6,SHOTGUN,PASS,0,1,0,1,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,6,OPP,0,,0,,0,3,485,0,0
2023092411,2023-09-24,1,6,51,CHI,KC,0,0,65,1,0,"7-H.BUTKER KICKS 65 YARDS FROM KC 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,3,489,0,0
2023092411,2023-09-24,1,6,51,KC,CHI,0,0,100,1,0,TIMEOUT AT 06:51.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,3,489,0,0
2023092411,2023-09-24,1,6,51,KC,CHI,0,0,85,1,0,"7-H.BUTKER EXTRA POINT IS GOOD, CENTER-41-J.WINCHESTER, HOLDER-5-T.TOWNSEND.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,3,489,0,0
2023092411,2023-09-24,1,6,51,CHI,KC,1,10,25,0,0,(6:51) (SHOTGUN) 24-K.HERBERT RIGHT GUARD TO CHI 32 FOR 7 YARDS (6-B.COOK).,0,2023,7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,25,OWN,0,,0,,0,3,489,0,0
2023092411,2023-09-24,1,6,17,CHI,KC,2,3,32,0,0,(6:17) 1-J.FIELDS PASS INCOMPLETE DEEP LEFT TO 2-D.MOORE.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,3,523,0,0
