GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,BAL,IND
2023092400,2023-09-24,1,8,55,BAL,IND,2,5,59,1,0,(8:55) (SHOTGUN) 8-L.JACKSON PASS SHORT LEFT TO 7-R.BATEMAN PUSHED OB AT IND 35 FOR 6 YARDS (33-D.FLOWERS).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,41,OPP,0,,0,,0,365,0,0
2023092400,2023-09-24,1,8,27,BAL,IND,1,10,65,0,0,(8:27) 8-L.JACKSON SCRAMBLES RIGHT END PUSHED OB AT IND 33 FOR 2 YARDS (23-K.MOORE).,0,2023,2,UNDER CENTER,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,393,0,0
2023092400,2023-09-24,1,7,53,BAL,IND,2,8,67,1,0,(7:53) (SHOTGUN) 8-L.JACKSON PASS DEEP RIGHT TO 80-I.LIKELY TO IND 13 FOR 20 YARDS (25-R.THOMAS).,0,2023,20,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,33,OPP,0,,0,,0,427,0,0
2023092400,2023-09-24,1,7,15,BAL,IND,1,10,87,0,0,(7:15) (SHOTGUN) 35-G.EDWARDS RIGHT GUARD TO IND 8 FOR 5 YARDS (52-S.EBUKAM).,0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,13,OPP,0,,0,,0,465,0,0
2023092400,2023-09-24,1,6,42,BAL,IND,2,5,92,1,0,"(6:42) (SHOTGUN) 8-L.JACKSON RIGHT END FOR 8 YARDS, TOUCHDOWN.",0,2023,8,SHOTGUN,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,RIGHT END,8,OPP,0,,0,,0,498,0,0
2023092400,2023-09-24,1,6,35,IND,BAL,0,0,65,1,0,"9-J.TUCKER KICKS 65 YARDS FROM BAL 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,505,0,0
2023092400,2023-09-24,1,6,35,BAL,IND,0,0,85,1,0,"9-J.TUCKER EXTRA POINT IS GOOD, CENTER-69-T.OTT, HOLDER-11-J.STOUT.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,505,0,0
2023092400,2023-09-24,1,6,35,BAL,IND,0,0,100,1,0,TIMEOUT AT 06:35.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,505,0,0
2023092400,2023-09-24,1,6,35,IND,BAL,1,10,25,0,0,(6:35) (SHOTGUN) 10-G.MINSHEW PASS SHORT LEFT TO 1-J.DOWNS PUSHED OB AT IND 30 FOR 5 YARDS (21-B.STEPHENS).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,505,0,0
2023092400,2023-09-24,1,6,17,IND,BAL,2,5,30,0,0,"(6:17) (NO HUDDLE, SHOTGUN) 21-Z.MOSS LEFT GUARD TO IND 34 FOR 4 YARDS (21-B.STEPHENS; 98-T.JONES).",0,2023,4,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,30,OWN,0,,0,,0,523,0,0
2023092400,2023-09-24,1,5,42,IND,BAL,3,1,34,1,0,"(5:42) (SHOTGUN) 21-Z.MOSS LEFT GUARD TO IND 36 FOR 2 YARDS (95-T.ROBINSON, 14-K.HAMILTON).",0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,34,OWN,0,,0,,0,558,0,0
