GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,WAS,NE
2023110506,2023-11-05,1,8,34,WAS,NE,1,10,39,0,0,"(8:34) 8-B.ROBINSON RIGHT GUARD TO WAS 44 FOR 5 YARDS (48-JA.TAVAI, 93-L.GUY).",0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,39,OWN,0,,0,,0,9,386,0,0
2023110506,2023-11-05,1,8,34,NE,WAS,0,0,100,1,0,TIMEOUT AT 08:34.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,9,386,0,0
2023110506,2023-11-05,1,7,53,WAS,NE,2,5,44,1,0,(7:53) (SHOTGUN) 14-S.HOWELL PASS SHORT MIDDLE TO 2-D.BROWN TO NE 37 FOR 19 YARDS (23-K.DUGGER; 26-S.WADE).,0,2023,19,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,44,OWN,0,,0,,0,9,427,0,0
2023110506,2023-11-05,1,7,13,WAS,NE,1,10,63,0,0,(7:13) (SHOTGUN) 14-S.HOWELL PASS SHORT LEFT TO 24-A.GIBSON TO NE 30 FOR 7 YARDS (2-J.MILLS).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,37,OPP,0,,0,,0,9,467,0,0
2023110506,2023-11-05,1,6,35,WAS,NE,2,3,70,0,0,(6:35) (SHOTGUN) 14-S.HOWELL PASS SHORT RIGHT TO 17-T.MCLAURIN TO NE 28 FOR 2 YARDS (8-J.BENTLEY).,0,2023,2,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,30,OPP,0,,0,,0,9,505,0,0
2023110506,2023-11-05,1,5,58,WAS,NE,3,1,72,1,0,"(5:58) 8-B.ROBINSON LEFT GUARD TO NE 26 FOR 2 YARDS (92-D.GODCHAUX, 48-JA.TAVAI).",0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,28,OPP,0,,0,,0,9,542,0,0
2023110506,2023-11-05,1,5,16,WAS,NE,1,10,74,0,0,"(5:16) (SHOTGUN) 14-S.HOWELL PASS SHORT LEFT TO 17-T.MCLAURIN TO NE 24 FOR 2 YARDS (8-J.BENTLEY, 33-A.JENNINGS).",0,2023,2,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,26,OPP,0,,0,,0,9,584,0,0
2023110506,2023-11-05,1,4,34,WAS,NE,2,8,76,0,0,(4:34) (SHOTGUN) 14-S.HOWELL PASS SHORT RIGHT TO 83-J.CROWDER PUSHED OB AT NE 17 FOR 7 YARDS (27-M.BRYANT).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,24,OPP,0,,0,,0,9,626,0,0
2023110506,2023-11-05,1,4,1,WAS,NE,3,1,83,0,0,"(4:01) (SHOTGUN) 14-S.HOWELL LEFT GUARD TO NE 19 FOR -2 YARDS (33-A.JENNINGS, 91-D.WISE).",0,2023,-2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,17,OPP,0,,0,,0,9,659,0,0
2023110506,2023-11-05,1,3,18,WAS,NE,4,3,81,0,0,"(3:18) 6-J.SLYE 37 YARD FIELD GOAL IS GOOD, CENTER-54-C.CHEESEMAN, HOLDER-5-T.WAY.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,19,OPP,0,,0,,0,9,702,0,0
