GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,BAL,SEA
2023110502,2023-11-05,1,8,58,SEA,BAL,3,4,57,0,0,(8:58) (SHOTGUN) 7-G.SMITH PASS INCOMPLETE SHORT RIGHT TO 16-T.LOCKETT (24-J.CLOWNEY).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,43,OPP,0,,0,,0,362,0,0
2023110502,2023-11-05,1,8,54,SEA,BAL,4,4,57,0,0,"(8:54) 4-M.DICKSON PUNTS 39 YARDS TO BAL 4, CENTER-41-C.STOLL, DOWNED BY SEA-44-N.BELLORE.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,43,OPP,0,,0,,0,366,0,0
2023110502,2023-11-05,1,8,46,BAL,SEA,1,10,4,0,0,(8:46) (SHOTGUN) 8-L.JACKSON RIGHT TACKLE TO BAL 2 FOR -2 YARDS (97-M.EDWARDS).,0,2023,-2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,4,OWN,0,,0,,0,374,0,0
2023110502,2023-11-05,1,8,46,BAL,SEA,0,0,100,1,0,TIMEOUT AT 08:46.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,374,0,0
2023110502,2023-11-05,1,8,14,BAL,SEA,2,12,2,0,0,(8:14) 35-G.EDWARDS RIGHT TACKLE TO BAL 3 FOR 1 YARD (90-JA.REED).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,2,OWN,0,,0,,0,406,0,0
2023110502,2023-11-05,1,7,29,BAL,SEA,3,11,3,0,0,"(7:29) (SHOTGUN) PENALTY ON BAL, DELAY OF GAME, 1 YARD, ENFORCED AT BAL 3 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,3,OWN,1,BAL,1,DELAY OF GAME,1,451,0,0
2023110502,2023-11-05,1,7,17,BAL,SEA,3,12,2,0,0,(7:17) (SHOTGUN) 8-L.JACKSON PASS SHORT LEFT TO 7-R.BATEMAN PUSHED OB AT BAL 11 FOR 9 YARDS (27-T.WOOLEN).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,2,OWN,0,,0,,0,463,0,0
2023110502,2023-11-05,1,6,42,BAL,SEA,4,3,11,0,0,"(6:42) 11-J.STOUT PUNTS 66 YARDS TO SEA 23, CENTER-69-T.OTT. 31-D.DALLAS TO SEA 33 FOR 10 YARDS (16-T.WALLACE).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,11,OWN,0,,0,,0,498,0,0
2023110502,2023-11-05,1,6,30,SEA,BAL,1,10,33,0,0,(6:30) (SHOTGUN) 7-G.SMITH PASS SHORT MIDDLE TO 84-C.PARKINSON TO SEA 39 FOR 6 YARDS (14-K.HAMILTON).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,510,0,0
2023110502,2023-11-05,1,6,30,BAL,SEA,0,0,100,1,0,TIMEOUT AT 06:30.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,510,0,0
2023110502,2023-11-05,1,5,52,SEA,BAL,2,4,39,0,0,(5:52) 26-Z.CHARBONNET LEFT GUARD TO SEA 40 FOR 1 YARD (14-K.HAMILTON).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,39,OWN,0,,0,,0,548,0,0
