GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,NO,CHI
2023110507,2023-11-05,1,15,0,CHI,NO,0,0,65,1,0,"19-B.GRUPE KICKS 65 YARDS FROM NO 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,9,0,0,0
2023110507,2023-11-05,1,15,0,CHI,NO,1,10,25,1,0,(15:00) (SHOTGUN) 17-T.BAGENT PASS SHORT MIDDLE TO 11-D.MOONEY TO CHI 38 FOR 13 YARDS (32-T.MATHIEU).,0,2023,13,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,9,0,0,0
2023110507,2023-11-05,1,14,28,CHI,NO,1,10,38,1,0,(14:28) 17-T.BAGENT PASS SHORT MIDDLE TO 2-D.MOORE TO NO 46 FOR 16 YARDS (29-P.ADEBO).,0,2023,16,UNDER CENTER,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,9,32,0,0
2023110507,2023-11-05,1,14,1,CHI,NO,1,10,54,0,0,"(14:01) (NO HUDDLE, SHOTGUN) 17-T.BAGENT PASS INCOMPLETE SHORT RIGHT.",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,46,OPP,0,,0,,0,9,59,0,0
2023110507,2023-11-05,1,13,56,CHI,NO,2,10,54,0,0,(13:56) 21-D.FOREMAN RIGHT TACKLE TO NO 38 FOR 8 YARDS (94-C.JORDAN; 56-D.DAVIS).,0,2023,8,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,46,OPP,0,,0,,0,9,64,0,0
2023110507,2023-11-05,1,13,23,CHI,NO,0,0,100,1,0,TIMEOUT #1 BY CHI AT 13:23.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,9,97,0,0
2023110507,2023-11-05,1,13,23,CHI,NO,3,2,62,0,0,(13:23) 21-D.FOREMAN RIGHT GUARD TO NO 37 FOR 1 YARD (56-D.DAVIS).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,38,OPP,0,,0,,0,9,97,0,0
2023110507,2023-11-05,1,12,56,CHI,NO,4,1,63,1,0,(12:56) (NO HUDDLE) 17-T.BAGENT SCRAMBLES RIGHT END RAN OB AT NO 32 FOR 5 YARDS (6-M.MAYE).,0,2023,5,NO HUDDLE,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,37,OPP,0,,0,,0,9,124,0,0
2023110507,2023-11-05,1,12,23,CHI,NO,1,10,68,0,0,(12:23) (SHOTGUN) 21-D.FOREMAN LEFT TACKLE TO NO 31 FOR 1 YARD (20-P.WERNER).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,32,OPP,0,,0,,0,9,157,0,0
2023110507,2023-11-05,1,11,43,CHI,NO,2,9,69,1,0,(11:43) 21-D.FOREMAN LEFT END PUSHED OB AT NO 18 FOR 13 YARDS (23-M.LATTIMORE).,0,2023,13,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,31,OPP,0,,0,,0,9,197,0,0
2023110507,2023-11-05,1,11,28,CHI,NO,1,10,82,1,0,"(11:28) 17-T.BAGENT PASS DEEP RIGHT TO 85-C.KMET FOR 18 YARDS, TOUCHDOWN.",0,2023,18,UNDER CENTER,PASS,0,1,0,1,DEEP RIGHT,0,0,0,,0,0,0,0,0,,18,OPP,0,,0,,0,9,212,0,0
2023110507,2023-11-05,1,11,21,NO,CHI,1,10,25,1,0,(11:21) (SHOTGUN) 4-D.CARR PASS SHORT MIDDLE TO 12-C.OLAVE TO NO 39 FOR 14 YARDS (4-E.JACKSON).,0,2023,14,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,9,219,0,0
2023110507,2023-11-05,1,11,21,CHI,NO,0,0,85,1,0,"8-C.SANTOS EXTRA POINT IS GOOD, CENTER-48-P.SCALES, HOLDER-16-T.GILL.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,9,219,0,0
2023110507,2023-11-05,1,11,21,NO,CHI,0,0,65,1,0,"8-C.SANTOS KICKS 65 YARDS FROM CHI 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,9,219,0,0
2023110507,2023-11-05,1,11,21,NO,CHI,0,0,100,1,0,TIMEOUT AT 11:21.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,9,219,0,0
