GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,PHI,DAL
2023110510,2023-11-05,1,7,1,PHI,DAL,3,15,61,0,0,(7:01) (SHOTGUN) 1-J.HURTS PASS SHORT RIGHT TO 11-A.BROWN TO DAL 27 FOR 12 YARDS (21-S.GILMORE) [11-M.PARSONS].,0,2023,12,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,39,OPP,0,,0,,0,479,0,0
2023110510,2023-11-05,1,6,17,PHI,DAL,4,3,73,1,0,(6:17) (SHOTGUN) 1-J.HURTS PASS SHORT RIGHT TO 88-D.GOEDERT PUSHED OB AT DAL 12 FOR 15 YARDS.,0,2023,15,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,27,OPP,0,,0,,0,523,0,0
2023110510,2023-11-05,1,5,52,PHI,DAL,1,10,88,1,0,"(5:52) (NO HUDDLE, SHOTGUN) 14-K.GAINWELL RIGHT END FOR 12 YARDS, TOUCHDOWN.",0,2023,12,NO HUDDLE SHOTGUN,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,RIGHT END,12,OPP,0,,0,,0,548,0,0
2023110510,2023-11-05,1,5,46,PHI,DAL,0,0,80,0,0,"(KICK FORMATION) PENALTY ON PHI-56-T.STEEN, FALSE START, 5 YARDS, ENFORCED AT DAL 20 - NO PLAY.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,1,0,0,,20,OPP,1,PHI,1,FALSE START,5,554,0,0
2023110510,2023-11-05,1,5,46,PHI,DAL,0,0,85,0,0,"(KICK FORMATION) PENALTY ON PHI, DELAY OF GAME, 5 YARDS, ENFORCED AT DAL 15 - NO PLAY.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,1,0,0,,15,OPP,1,PHI,1,DELAY OF GAME,5,554,0,0
2023110510,2023-11-05,1,5,46,PHI,DAL,0,0,75,1,0,"4-J.ELLIOTT EXTRA POINT IS GOOD, CENTER-45-R.LOVATO, HOLDER-10-B.MANN.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,554,0,0
2023110510,2023-11-05,1,5,46,PHI,DAL,0,0,100,1,0,TIMEOUT AT 05:46.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,554,0,0
2023110510,2023-11-05,1,5,46,DAL,PHI,0,0,65,1,0,4-J.ELLIOTT KICKS 66 YARDS FROM PHI 35 TO DAL -1. 9-K.TURPIN TO DAL 47 FOR 48 YARDS (22-K.RINGO).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,554,0,0
2023110510,2023-11-05,1,5,39,DAL,PHI,1,10,47,0,0,(5:39) 4-D.PRESCOTT SCRAMBLES RIGHT END PUSHED OB AT PHI 47 FOR 6 YARDS (52-Z.CUNNINGHAM; 2-D.SLAY).,0,2023,6,UNDER CENTER,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,47,OWN,0,,0,,0,561,0,0
2023110510,2023-11-05,1,4,58,DAL,PHI,2,4,53,0,0,(4:58) 4-D.PRESCOTT SCRAMBLES RIGHT END TO PHI 46 FOR 1 YARD (52-Z.CUNNINGHAM). PHI-91-F.COX WAS INJURED DURING THE PLAY.,0,2023,1,UNDER CENTER,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,47,OPP,0,,0,,0,602,0,0
2023110510,2023-11-05,1,4,44,DAL,PHI,0,0,100,1,0,TIMEOUT AT 04:44.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,616,0,0
2023110510,2023-11-05,1,4,24,DAL,PHI,3,3,54,1,0,(4:24) (SHOTGUN) 4-D.PRESCOTT SCRAMBLES RIGHT END TO PHI 42 FOR 4 YARDS (90-J.DAVIS).,0,2023,4,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,46,OPP,0,,0,,0,636,0,0
2023110510,2023-11-05,1,3,45,DAL,PHI,1,10,58,0,0,(3:45) (SHOTGUN) 20-T.POLLARD LEFT GUARD TO PHI 40 FOR 2 YARDS (41-N.MORROW).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,42,OPP,0,,0,,0,675,0,0
