GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,CIN,BUF
2023110511,2023-11-05,1,8,41,BUF,CIN,3,5,20,1,0,(8:41) (SHOTGUN) 17-J.ALLEN PASS SHORT MIDDLE TO 14-S.DIGGS TO BUF 29 FOR 9 YARDS (22-C.AWUZIE).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,9,379,0,0
2023110511,2023-11-05,1,8,6,BUF,CIN,1,10,29,1,0,(8:06) (SHOTGUN) 17-J.ALLEN PASS SHORT LEFT TO 14-S.DIGGS TO CIN 37 FOR 34 YARDS (55-L.WILSON).,0,2023,34,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,29,OWN,0,,0,,0,9,414,0,0
2023110511,2023-11-05,1,7,22,BUF,CIN,1,10,63,1,0,"(7:22) (NO HUDDLE, SHOTGUN) 17-J.ALLEN PASS DEEP RIGHT TO 10-K.SHAKIR TO CIN 15 FOR 22 YARDS (21-M.HILTON).",0,2023,22,NO HUDDLE SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,37,OPP,0,,0,,0,9,458,0,0
2023110511,2023-11-05,1,6,38,BUF,CIN,1,10,85,1,0,(6:38) (SHOTGUN) 17-J.ALLEN PASS SHORT RIGHT TO 86-D.KINCAID TO CIN 2 FOR 13 YARDS (57-G.PRATT).,0,2023,13,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,9,502,0,0
2023110511,2023-11-05,1,6,8,BUF,CIN,1,2,98,0,0,"(6:08) (SHOTGUN) 17-J.ALLEN SCRAMBLES RIGHT END FOR 2 YARDS, TOUCHDOWN. PENALTY ON BUF-17-J.ALLEN, TAUNTING, 15 YARDS, ENFORCED BETWEEN DOWNS.",0,2023,2,SHOTGUN,SCRAMBLE,1,0,0,1,,0,0,0,,0,0,1,0,0,,2,OPP,1,BUF,0,TAUNTING,15,9,532,0,0
2023110511,2023-11-05,1,6,3,BUF,CIN,0,0,85,1,0,"2-T.BASS EXTRA POINT IS GOOD, CENTER-69-R.FERGUSON, HOLDER-8-S.MARTIN.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,9,537,0,0
2023110511,2023-11-05,1,6,3,CIN,BUF,0,0,100,1,0,TIMEOUT AT 06:03.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,9,537,0,0
2023110511,2023-11-05,1,6,3,CIN,BUF,0,0,80,1,0,2-T.BASS KICKS 73 YARDS FROM BUF 20 TO CIN 7. 32-T.WILLIAMS TO CIN 31 FOR 24 YARDS (42-D.WILLIAMS).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,20,OPP,0,,0,,0,9,537,0,0
2023110511,2023-11-05,1,5,58,CIN,BUF,1,10,31,0,0,"(5:58) (SHOTGUN) 9-J.BURROW PASS INCOMPLETE SHORT RIGHT TO 1-J.CHASE (30-D.JACKSON). PENALTY ON BUF-99-T.SETTLE, ROUGHING THE PASSER, 15 YARDS, ENFORCED AT CIN 31 - NO PLAY.",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,31,OWN,1,BUF,1,ROUGHING THE PASSER,15,9,542,0,0
2023110511,2023-11-05,1,5,54,CIN,BUF,1,10,46,0,0,(5:54) 9-J.BURROW PASS SHORT RIGHT TO 80-A.IOSIVAS TO BUF 45 FOR 9 YARDS (21-J.POYER).,0,2023,9,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,46,OWN,0,,0,,0,9,546,0,0
2023110511,2023-11-05,1,5,7,CIN,BUF,2,1,55,1,0,(5:07) (SHOTGUN) 28-J.MIXON RIGHT GUARD TO BUF 42 FOR 3 YARDS (93-L.JOSEPH).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,45,OPP,0,,0,,0,9,593,0,0
2023110511,2023-11-05,1,4,24,CIN,BUF,1,10,58,0,0,(4:24) (SHOTGUN) 28-J.MIXON LEFT END TO BUF 42 FOR NO GAIN (30-D.JACKSON).,0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,42,OPP,0,,0,,0,9,636,0,0
2023110511,2023-11-05,1,3,45,CIN,BUF,2,10,58,0,0,(3:45) (SHOTGUN) 9-J.BURROW PASS INCOMPLETE SHORT RIGHT [43-T.BERNARD].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,42,OPP,0,,0,,0,9,675,0,0
2023110511,2023-11-05,1,3,38,CIN,BUF,3,10,58,1,0,(3:38) (SHOTGUN) 9-J.BURROW PASS SHORT RIGHT TO 83-T.BOYD RAN OB AT BUF 27 FOR 15 YARDS.,0,2023,15,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,42,OPP,0,,0,,0,9,682,0,0
2023110511,2023-11-05,1,2,59,CIN,BUF,1,10,73,1,0,(2:59) 9-J.BURROW PASS SHORT RIGHT TO 87-T.HUDSON TO BUF 14 FOR 13 YARDS (43-T.BERNARD; 21-J.POYER).,0,2023,13,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,27,OPP,0,,0,,0,9,721,0,0
2023110511,2023-11-05,1,2,15,CIN,BUF,1,10,86,0,0,(2:15) (SHOTGUN) 9-J.BURROW PASS INCOMPLETE SHORT LEFT TO 5-T.HIGGINS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,14,OPP,0,,0,,0,9,765,0,0
2023110511,2023-11-05,1,2,11,CIN,BUF,2,10,86,1,0,(2:11) (SHOTGUN) 9-J.BURROW PASS SHORT RIGHT TO 5-T.HIGGINS PUSHED OB AT BUF 2 FOR 12 YARDS (30-D.JACKSON).,0,2023,12,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,14,OPP,0,,0,,0,9,769,0,0
