GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,LV,NYG
2023110509,2023-11-05,1,15,0,NYG,LV,0,0,65,1,0,2-D.CARLSON KICKS 58 YARDS FROM LV 35 TO NYG 7. 0-P.CAMPBELL TO NYG 20 FOR 13 YARDS (22-A.ABDULLAH).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0
2023110509,2023-11-05,1,14,55,NYG,LV,1,10,20,0,0,(14:55) (SHOTGUN) 8-D.JONES PASS INCOMPLETE SHORT LEFT TO 26-S.BARKLEY.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,5,0,0
2023110509,2023-11-05,1,14,51,NYG,LV,2,10,20,0,0,(14:51) (SHOTGUN) 8-D.JONES PASS INCOMPLETE SHORT LEFT TO 17-W.ROBINSON.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,9,0,0
2023110509,2023-11-05,1,14,44,NYG,LV,3,10,20,0,0,"(14:44) (SHOTGUN) 8-D.JONES PASS SHORT MIDDLE TO 82-D.BELLINGER TO NYG 29 FOR 9 YARDS (25-T.MOEHRIG, 56-A.BURNEY).",0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,16,0,0
2023110509,2023-11-05,1,14,3,NYG,LV,4,1,29,0,0,"(14:03) (RUN FORMATION) PENALTY ON NYG-73-E.NEAL, FALSE START, 4 YARDS, ENFORCED AT NYG 29 - NO PLAY.",0,2023,0,UNDER CENTER,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,29,OWN,1,NYG,1,FALSE START,4,57,0,0
2023110509,2023-11-05,1,13,44,NYG,LV,4,5,25,0,0,"(13:44) 6-J.GILLAN PUNTS 48 YARDS TO LV 27, CENTER-59-C.KREITER. 3-D.CARTER PUSHED OB AT LV 33 FOR 6 YARDS (19-I.SIMMONS).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,76,0,0
2023110509,2023-11-05,1,13,35,LV,NYG,1,10,33,0,0,(13:35) 8-J.JACOBS UP THE MIDDLE TO LV 38 FOR 5 YARDS (91-AS.ROBINSON; 25-D.BANKS).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,33,OWN,0,,0,,0,85,0,0
2023110509,2023-11-05,1,12,57,LV,NYG,2,5,38,1,0,(12:57) 8-J.JACOBS LEFT GUARD TO LV 48 FOR 10 YARDS (29-X.MCKINNEY).,0,2023,10,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,38,OWN,0,,0,,0,123,0,0
2023110509,2023-11-05,1,12,20,LV,NYG,1,10,48,0,0,"(12:20) PENALTY ON LV-8-J.JACOBS, FALSE START, 5 YARDS, ENFORCED AT LV 48 - NO PLAY.",0,2023,0,UNDER CENTER,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,48,OWN,1,LV,1,FALSE START,5,160,0,0
2023110509,2023-11-05,1,11,57,LV,NYG,1,15,43,0,0,(11:57) (SHOTGUN) 8-J.JACOBS UP THE MIDDLE TO NYG 49 FOR 8 YARDS (25-D.BANKS; 58-B.OKEREKE).,0,2023,8,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,43,OWN,0,,0,,0,183,0,0
2023110509,2023-11-05,1,11,13,LV,NYG,2,7,51,1,0,(11:13) (SHOTGUN) 4-A.O'CONNELL PASS SHORT MIDDLE TO 16-J.MEYERS TO NYG 25 FOR 24 YARDS (29-X.MCKINNEY; 25-D.BANKS).,0,2023,24,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,49,OPP,0,,0,,0,227,0,0
2023110509,2023-11-05,1,10,31,LV,NYG,1,10,75,0,0,(10:31) 8-J.JACOBS RIGHT END TO NYG 17 FOR 8 YARDS (27-J.PINNOCK).,0,2023,8,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,25,OPP,0,,0,,0,269,0,0
2023110509,2023-11-05,1,9,50,LV,NYG,2,2,83,1,0,"(9:50) 16-J.MEYERS LEFT END FOR 17 YARDS, TOUCHDOWN.",0,2023,17,UNDER CENTER,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,LEFT END,17,OPP,0,,0,,0,310,0,0
2023110509,2023-11-05,1,9,45,LV,NYG,0,0,85,1,0,"2-D.CARLSON EXTRA POINT IS GOOD, CENTER-50-J.BOBENMOYER, HOLDER-6-A.COLE.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,315,0,0
