GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,KC,MIA
2023110500,2023-11-05,1,10,1,MIA,KC,3,10,40,0,0,"(10:01) (SHOTGUN) PENALTY ON MIA-83-C.CLAYPOOL, FALSE START, 5 YARDS, ENFORCED AT MIA 40 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,40,OWN,1,MIA,1,FALSE START,5,299,0,0
2023110500,2023-11-05,1,10,1,MIA,KC,0,0,100,1,0,TIMEOUT #1 BY MIA AT 10:01.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,299,0,0
2023110500,2023-11-05,1,9,24,MIA,KC,4,17,33,0,0,"(9:24) 16-J.BAILEY PUNTS 40 YARDS TO KC 27, CENTER-44-B.FERGUSON. 12-M.HARDMAN TO KC 24 FOR -3 YARDS (22-E.CAMPBELL).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,336,0,0
2023110500,2023-11-05,1,9,13,KC,MIA,1,10,24,0,0,"(9:13) (SHOTGUN) 10-I.PACHECO LEFT GUARD TO KC 32 FOR 8 YARDS (2-B.CHUBB, 8-J.HOLLAND).",0,2023,8,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,24,OWN,0,,0,,0,347,0,0
2023110500,2023-11-05,1,9,13,KC,MIA,0,0,100,1,0,TIMEOUT AT 09:13.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,347,0,0
2023110500,2023-11-05,1,8,41,KC,MIA,2,2,32,1,0,(8:41) (SHOTGUN) 10-I.PACHECO UP THE MIDDLE TO KC 41 FOR 9 YARDS (21-D.ELLIOTT; 8-J.HOLLAND).,0,2023,9,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,32,OWN,0,,0,,0,379,0,0
2023110500,2023-11-05,1,8,1,KC,MIA,1,10,41,0,0,(8:01) 15-P.MAHOMES PASS INCOMPLETE SHORT RIGHT TO 29-L.PERINE.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,41,OWN,0,,0,,0,419,0,0
2023110500,2023-11-05,1,7,57,KC,MIA,2,10,41,0,0,"(7:57) (SHOTGUN) 10-I.PACHECO LEFT TACKLE TO KC 41 FOR NO GAIN (43-A.VAN GINKEL, 51-D.LONG).",0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,41,OWN,0,,0,,0,423,0,0
2023110500,2023-11-05,1,7,21,KC,MIA,3,10,41,0,0,(7:21) (SHOTGUN) 15-P.MAHOMES PASS SHORT RIGHT TO 87-T.KELCE TO KC 44 FOR 3 YARDS (43-A.VAN GINKEL).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,41,OWN,0,,0,,0,459,0,0
2023110500,2023-11-05,1,6,44,KC,MIA,4,7,44,0,0,"(6:44) 5-T.TOWNSEND PUNTS 38 YARDS TO MIA 18, CENTER-41-J.WINCHESTER, FAIR CATCH BY 0-B.BERRIOS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,44,OWN,0,,0,,0,496,0,0
