GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,LA,GB
2023110504,2023-11-05,3,0,55,LA,GB,1,10,55,0,0,(:55) 11-B.RYPIEN PASS INCOMPLETE DEEP RIGHT TO 5-T.ATWELL.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,45,OPP,0,,0,,0,2645,0,0
2023110504,2023-11-05,3,0,46,LA,GB,2,10,55,0,0,(:46) (SHOTGUN) 11-B.RYPIEN PASS INCOMPLETE SHORT RIGHT TO 17-P.NACUA.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,45,OPP,0,,0,,0,2654,0,0
2023110504,2023-11-05,3,0,43,LA,GB,3,10,55,0,0,"(:43) (NO HUDDLE, SHOTGUN) 11-B.RYPIEN PASS SHORT LEFT TO 27-D.HENDERSON TO GB 47 FOR 8 YARDS (45-ER.WILSON) [52-R.GARY].",0,2023,8,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,45,OPP,0,,0,,0,2657,0,0
2023110504,2023-11-05,4,15,0,LA,GB,4,2,53,0,0,"(15:00) 24-R.FREEMAN LEFT TACKLE TO GB 47 FOR NO GAIN (96-C.WOODEN, 52-R.GARY).",0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,47,OPP,0,,0,,0,2700,0,0
2023110504,2023-11-05,3,0,0,LA,GB,0,0,100,1,0,END QUARTER 3,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,2700,0,0
2023110504,2023-11-05,4,14,56,GB,LA,1,10,48,0,0,(14:56) 33-A.JONES LEFT TACKLE TO 50 FOR 2 YARDS (52-L.MURCHISON; 91-K.TURNER).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,48,OWN,0,,0,,0,2704,0,0
2023110504,2023-11-05,4,14,18,GB,LA,2,8,100,0,0,"(14:18) (SHOTGUN) 10-J.LOVE SACKED AT GB 43 FOR -7 YARDS (0-B.YOUNG). FUMBLES (0-B.YOUNG), BALL OUT OF BOUNDS AT GB 42.",0,2023,-7,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,1,0,0,0,,0,OPP,0,,0,,0,2742,0,0
2023110504,2023-11-05,4,13,49,GB,LA,3,16,42,0,0,(13:49) (SHOTGUN) 10-J.LOVE PASS INCOMPLETE SHORT MIDDLE TO 33-A.JONES [97-M.HOECHT].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,42,OWN,0,,0,,0,2771,0,0
2023110504,2023-11-05,4,13,44,GB,LA,4,16,42,0,0,"(13:44) 19-D.WHELAN PUNTS 42 YARDS TO LAR 16, CENTER-42-M.ORZECH. 81-A.TRAMMELL TO LAR 27 FOR 11 YARDS (35-C.BALLENTINE; 6-D.LEAVITT).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,42,OWN,0,,0,,0,2776,0,0
2023110504,2023-11-05,4,13,35,LA,GB,1,10,73,0,0,(13:35) 11-B.RYPIEN PASS INCOMPLETE SHORT LEFT [90-L.VAN NESS].,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,27,OPP,0,,0,,0,2785,0,0
