GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,PIT,TEN
2023110200,2023-11-02,1,10,11,PIT,TEN,0,0,100,1,0,TIMEOUT AT 10:11.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,9,289,0,0
2023110200,2023-11-02,1,10,5,TEN,PIT,1,10,10,0,0,"(10:05) (SHOTGUN) 22-D.HENRY LEFT TACKLE TO TEN 11 FOR 1 YARD (99-L.OGUNJOBI, 97-C.HEYWARD).",0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,10,OWN,0,,0,,0,9,295,0,0
2023110200,2023-11-02,1,9,30,TEN,PIT,2,9,11,0,0,"(9:30) (SHOTGUN) 8-W.LEVIS PASS SHORT MIDDLE TO 22-D.HENRY TO TEN 16 FOR 5 YARDS (50-E.ROBERTS; 55-C.HOLCOMB). PENALTY ON PIT-90-T.WATT, ROUGHING THE PASSER, 15 YARDS, ENFORCED AT TEN 16.",0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,1,0,0,,11,OWN,1,PIT,0,ROUGHING THE PASSER,15,9,330,0,0
2023110200,2023-11-02,1,9,12,TEN,PIT,1,10,31,0,0,(9:12) (SHOTGUN) 22-D.HENRY UP THE MIDDLE TO TEN 35 FOR 4 YARDS (99-L.OGUNJOBI; 55-C.HOLCOMB).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,31,OWN,0,,0,,0,9,348,0,0
2023110200,2023-11-02,1,8,28,TEN,PIT,2,6,35,0,0,"(8:28) 8-W.LEVIS PASS INCOMPLETE SHORT MIDDLE TO 16-T.BURKS (20-P.PETERSON). PENALTY ON PIT-20-P.PETERSON, ILLEGAL CONTACT, 5 YARDS, ENFORCED AT TEN 35 - NO PLAY.",0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,1,0,0,,35,OWN,1,PIT,1,ILLEGAL CONTACT,5,9,392,0,0
2023110200,2023-11-02,1,8,23,TEN,PIT,1,10,40,0,0,(8:23) (SHOTGUN) 8-W.LEVIS PASS INCOMPLETE DEEP LEFT TO 10-D.HOPKINS [55-C.HOLCOMB].,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,40,OWN,0,,0,,0,9,397,0,0
2023110200,2023-11-02,1,8,18,TEN,PIT,2,10,40,0,0,(8:18) 22-D.HENRY LEFT GUARD TO TEN 41 FOR 1 YARD (99-L.OGUNJOBI; 90-T.WATT).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,40,OWN,0,,0,,0,9,402,0,0
2023110200,2023-11-02,1,7,36,TEN,PIT,3,9,41,0,0,(7:36) (SHOTGUN) 8-W.LEVIS PASS SHORT MIDDLE TO 32-T.SPEARS TO TEN 49 FOR 8 YARDS (98-D.LEAL; 21-D.RUSH).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,41,OWN,0,,0,,0,9,444,0,0
2023110200,2023-11-02,1,7,0,TEN,PIT,4,1,49,0,0,(7:00) (SHOTGUN) DIRECT SNAP TO 22-D.HENRY.  22-D.HENRY LEFT TACKLE TO PIT 45 FOR 6 YARDS (31-K.NEAL).,0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,,49,OWN,0,,0,,0,9,480,0,0
2023110200,2023-11-02,1,6,13,TEN,PIT,1,10,55,0,0,"(6:13) 32-T.SPEARS RIGHT TACKLE TO PIT 37 FOR 8 YARDS (24-J.PORTER). PENALTY ON PIT-24-J.PORTER, FACE MASK, 15 YARDS, ENFORCED AT PIT 37.",0,2023,8,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,RIGHT TACKLE,45,OPP,1,PIT,0,FACE MASK,15,9,527,0,0
