GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,ARI,SEA,Week
2024010712,2024-01-07,1,10,54,SEA,ARI,1,10,7,0,0,(10:54) 9-K.WALKER UP THE MIDDLE TO SEA 8 FOR 1 YARD (3-B.BAKER).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,7,OWN,0,,0,,0,246,0,0,18
2024010712,2024-01-07,1,10,27,SEA,ARI,2,9,8,1,0,"(10:27) (NO HUDDLE, SHOTGUN) 7-G.SMITH PASS SHORT LEFT TO 14-D.METCALF PUSHED OB AT SEA 18 FOR 10 YARDS (24-S.THOMAS).",0,2023,10,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,8,OWN,0,,0,,0,273,0,0,18
2024010712,2024-01-07,1,9,54,SEA,ARI,1,10,18,1,0,(9:54) 9-K.WALKER LEFT END PUSHED OB AT SEA 30 FOR 12 YARDS (3-B.BAKER).,0,2023,12,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,18,OWN,0,,0,,0,306,0,0,18
2024010712,2024-01-07,1,9,17,SEA,ARI,1,10,30,0,0,"(9:17) (SHOTGUN) 7-G.SMITH PASS SHORT RIGHT TO 19-J.BOBO TO SEA 39 FOR 9 YARDS (45-D.GARDECK, 3-B.BAKER).",0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,30,OWN,0,,0,,0,343,0,0,18
2024010712,2024-01-07,1,8,38,SEA,ARI,2,1,39,1,0,"(8:38) 9-K.WALKER UP THE MIDDLE TO SEA 42 FOR 3 YARDS (3-B.BAKER, 95-L.FOTU).",0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,39,OWN,0,,0,,0,382,0,0,18
2024010712,2024-01-07,1,8,3,SEA,ARI,1,10,42,1,0,(8:03) (SHOTGUN) 9-K.WALKER RIGHT TACKLE TO ARI 42 FOR 16 YARDS (36-A.CHACHERE).,0,2023,16,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,42,OWN,0,,0,,0,417,0,0,18
2024010712,2024-01-07,1,7,18,SEA,ARI,1,10,58,1,0,(7:18) (SHOTGUN) 7-G.SMITH PASS SHORT RIGHT TO 89-W.DISSLY RAN OB AT ARI 21 FOR 21 YARDS (45-D.GARDECK).,0,2023,21,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,42,OPP,0,,0,,0,462,0,0,18
2024010712,2024-01-07,1,6,34,SEA,ARI,1,10,79,0,0,(6:34) (SHOTGUN) 26-Z.CHARBONNET UP THE MIDDLE TO ARI 14 FOR 7 YARDS (96-N.JONES).,0,2023,7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,21,OPP,0,,0,,0,506,0,0,18
2024010712,2024-01-07,1,5,57,SEA,ARI,2,3,86,0,0,(5:57) (SHOTGUN) 26-Z.CHARBONNET UP THE MIDDLE TO ARI 15 FOR -1 YARDS (18-B.OJULARI).,0,2023,-1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,14,OPP,0,,0,,0,543,0,0,18
2024010712,2024-01-07,1,5,12,SEA,ARI,3,4,85,0,0,(5:12) (SHOTGUN) 7-G.SMITH PASS INCOMPLETE SHORT RIGHT TO 14-D.METCALF.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,588,0,0,18
2024010712,2024-01-07,1,5,8,SEA,ARI,4,4,85,0,0,"(5:08) 5-J.MYERS 33 YARD FIELD GOAL IS GOOD, CENTER-41-C.STOLL, HOLDER-4-M.DICKSON.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,592,0,0,18
2024010712,2024-01-07,1,2,59,SEA,ARI,1,10,20,0,0,(2:59) 7-G.SMITH PASS INCOMPLETE SHORT MIDDLE TO 14-D.METCALF (44-O.PAPPOE).,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,721,0,0,18
2024010712,2024-01-07,1,2,55,SEA,ARI,2,10,20,0,0,"(2:55) 9-K.WALKER LEFT TACKLE TO SEA 24 FOR 4 YARDS (25-Z.COLLINS, 95-L.FOTU).",0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,20,OWN,0,,0,,0,725,0,0,18
