GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,NO,ATL,Week
2024010700,2024-01-07,2,10,5,ATL,NO,2,16,19,0,0,(10:05) (SHOTGUN) 9-D.RIDDER PASS SHORT RIGHT TO 7-B.ROBINSON TO ATL 24 FOR 5 YARDS (29-P.ADEBO).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,19,OWN,0,,0,,0,1195,0,0,18
2024010700,2024-01-07,2,9,31,ATL,NO,3,11,24,0,0,(9:31) (SHOTGUN) 9-D.RIDDER PASS SHORT LEFT TO 81-J.SMITH TO ATL 30 FOR 6 YARDS (0-U.AMADI; 24-J.ABRAM).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,24,OWN,0,,0,,0,1229,0,0,18
2024010700,2024-01-07,2,8,49,ATL,NO,4,5,30,0,0,"(8:49) 13-B.PINION PUNTS 49 YARDS TO NO 21, CENTER-49-L.MCCULLOUGH, FAIR CATCH BY 22-R.SHAHEED.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,30,OWN,0,,0,,0,1271,0,0,18
2024010700,2024-01-07,2,4,35,ATL,NO,1,10,7,0,0,(4:35) 25-T.ALLGEIER RIGHT TACKLE TO ATL 8 FOR 1 YARD (20-P.WERNER).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,7,OWN,0,,0,,0,1525,0,0,18
2024010700,2024-01-07,2,3,57,ATL,NO,2,9,8,0,0,(3:57) (SHOTGUN) 9-D.RIDDER RIGHT END TO ATL 8 FOR NO GAIN (24-J.ABRAM).,0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,8,OWN,0,,0,,0,1563,0,0,18
2024010700,2024-01-07,2,3,14,ATL,NO,3,9,8,0,0,(3:14) (SHOTGUN) 7-B.ROBINSON LEFT END TO ATL 11 FOR 3 YARDS (32-T.MATHIEU; 24-J.ABRAM).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,8,OWN,0,,0,,0,1606,0,0,18
2024010700,2024-01-07,2,2,34,ATL,NO,4,6,11,0,0,"(2:34) 13-B.PINION PUNTS 27 YARDS TO ATL 38, CENTER-49-L.MCCULLOUGH, OUT OF BOUNDS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,11,OWN,0,,0,,0,1646,0,0,18
2024010700,2024-01-07,2,0,56,ATL,NO,0,0,65,1,0,"19-B.GRUPE KICKS 65 YARDS FROM NO 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,1744,0,0,18
2024010700,2024-01-07,2,0,56,ATL,NO,1,10,25,0,0,(:56) (SHOTGUN) 9-D.RIDDER PASS INCOMPLETE SHORT MIDDLE TO 15-V.JEFFERSON.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,1744,0,0,18
2024010700,2024-01-07,2,0,52,ATL,NO,2,10,25,1,0,(:52) (SHOTGUN) 9-D.RIDDER PASS DEEP RIGHT TO 8-K.PITTS RAN OB AT ATL 44 FOR 19 YARDS.,0,2023,19,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,1748,0,0,18
