GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,ARI,SEA,Week
2024010712,2024-01-07,1,15,0,ARI,SEA,0,0,65,1,0,5-J.MYERS KICKS 64 YARDS FROM SEA 35 TO ARI 1. 83-G.DORTCH TO ARI 18 FOR 17 YARDS (39-T.OKADA; 44-N.BELLORE).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0,18
2024010712,2024-01-07,1,14,56,ARI,SEA,1,10,18,0,0,(14:56) (SHOTGUN) 6-J.CONNER UP THE MIDDLE TO ARI 18 FOR NO GAIN (54-B.WAGNER; 56-J.BROOKS).,0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,18,OWN,0,,0,,0,4,0,0,18
2024010712,2024-01-07,1,14,13,ARI,SEA,2,10,18,1,0,(14:13) 1-K.MURRAY PASS SHORT LEFT TO 85-T.MCBRIDE PUSHED OB AT ARI 43 FOR 25 YARDS (6-Q.DIGGS).,0,2023,25,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,18,OWN,0,,0,,0,47,0,0,18
2024010712,2024-01-07,1,13,30,ARI,SEA,1,10,43,0,0,(13:30) 6-J.CONNER RIGHT TACKLE TO ARI 45 FOR 2 YARDS (55-D.JONES).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,43,OWN,0,,0,,0,90,0,0,18
2024010712,2024-01-07,1,12,50,ARI,SEA,2,8,45,0,0,"(12:50) 6-J.CONNER UP THE MIDDLE PUSHED OB AT SEA 48 FOR 7 YARDS (27-T.WOOLEN, 52-D.TAYLOR).",0,2023,7,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,45,OWN,0,,0,,0,130,0,0,18
2024010712,2024-01-07,1,12,16,ARI,SEA,3,1,52,1,0,(12:16) 15-C.TUNE AT QB. 15-C.TUNE UP THE MIDDLE TO SEA 47 FOR 1 YARD (54-B.WAGNER).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,48,OPP,0,,0,,0,164,0,0,18
2024010712,2024-01-07,1,11,20,ARI,SEA,1,10,53,0,0,(11:20) 1-K.MURRAY AT QB. (SHOTGUN) 1-K.MURRAY PASS INCOMPLETE DEEP LEFT TO 85-T.MCBRIDE (56-J.BROOKS). SEA-56-J.BROOKS WAS INJURED DURING THE PLAY.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,47,OPP,0,,0,,0,220,0,0,18
2024010712,2024-01-07,1,11,14,ARI,SEA,2,10,53,0,0,(11:14) 1-K.MURRAY PASS INCOMPLETE SHORT MIDDLE [53-B.MAFE].,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,47,OPP,0,,0,,0,226,0,0,18
2024010712,2024-01-07,1,11,14,ARI,SEA,0,0,100,1,0,TIMEOUT AT 11:14.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,226,0,0,18
2024010712,2024-01-07,1,11,9,ARI,SEA,3,15,48,0,0,(11:09) (SHOTGUN) 1-K.MURRAY PASS INCOMPLETE DEEP LEFT TO 85-T.MCBRIDE.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,48,OWN,0,,0,,0,231,0,0,18
2024010712,2024-01-07,1,11,9,ARI,SEA,3,10,53,0,0,"(11:09) (SHOTGUN) PENALTY ON ARI-65-E.WILKINSON, FALSE START, 5 YARDS, ENFORCED AT SEA 47 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,47,OPP,1,ARI,1,FALSE START,5,231,0,0,18
2024010712,2024-01-07,1,11,5,ARI,SEA,4,15,48,0,0,"(11:05) 12-B.GILLIKIN PUNTS 45 YARDS TO SEA 7, CENTER-46-A.BREWER, DOWNED BY ARI-47-E.TURNER.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,48,OWN,0,,0,,0,235,0,0,18
2024010712,2024-01-07,1,10,54,ARI,SEA,0,0,100,1,0,TIMEOUT AT 10:54.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,246,0,0,18
2024010712,2024-01-07,1,5,5,ARI,SEA,0,0,100,1,0,TIMEOUT AT 05:05.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,595,0,0,18
