GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,MIN,KC
2023100810,2023-10-08,1,10,0,MIN,KC,1,10,25,0,0,"(10:00) 8-K.COUSINS TO MIN 24 FOR -1 YARDS. FUMBLES, AND RECOVERS AT MIN 24. 8-K.COUSINS TO MIN 21 FOR -3 YARDS. HANDOFF TO 2-A.MATTISON TO MIN 32 FOR 11 YARDS (20-J.REID).",0,2023,0,UNDER CENTER,FUMBLES,0,0,0,0,,0,0,0,,0,1,0,0,0,,25,OWN,0,,0,,0,5,300,0,0
2023100810,2023-10-08,1,10,0,KC,MIN,0,0,85,1,0,"7-H.BUTKER EXTRA POINT IS GOOD, CENTER-41-J.WINCHESTER, HOLDER-5-T.TOWNSEND.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,5,300,0,0
2023100810,2023-10-08,1,9,38,MIN,KC,2,3,32,0,0,(9:38) (NO HUDDLE) 8-K.COUSINS PASS INCOMPLETE SHORT RIGHT TO 17-K.OSBORN (22-T.MCDUFFIE) [22-T.MCDUFFIE].,0,2023,0,NO HUDDLE,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,5,322,0,0
2023100810,2023-10-08,1,9,33,MIN,KC,3,3,32,1,0,(9:33) (SHOTGUN) 8-K.COUSINS PASS SHORT RIGHT TO 87-T.HOCKENSON TO MIN 38 FOR 6 YARDS (20-J.REID).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,5,327,0,0
2023100810,2023-10-08,1,9,1,MIN,KC,1,10,38,0,0,(9:01) (SHOTGUN) 8-K.COUSINS PASS SHORT LEFT TO 18-J.JEFFERSON TO MIN 42 FOR 4 YARDS (22-T.MCDUFFIE).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,5,359,0,0
2023100810,2023-10-08,1,8,24,MIN,KC,2,6,42,1,0,(8:24) (SHOTGUN) 8-K.COUSINS PASS SHORT RIGHT TO 18-J.JEFFERSON TO KC 48 FOR 10 YARDS (38-L.SNEED).,0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,42,OWN,0,,0,,0,5,396,0,0
2023100810,2023-10-08,1,7,56,MIN,KC,1,10,52,0,0,"(7:56) (NO HUDDLE, SHOTGUN) 8-K.COUSINS PASS SHORT LEFT TO 17-K.OSBORN TO KC 49 FOR -1 YARDS (6-B.COOK, 2-J.WILLIAMS).",0,2023,-1,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,48,OPP,0,,0,,0,5,424,0,0
2023100810,2023-10-08,1,7,15,MIN,KC,2,11,51,0,0,(7:15) (SHOTGUN) 2-A.MATTISON LEFT TACKLE TO KC 43 FOR 6 YARDS (50-W.GAY).,0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,49,OPP,0,,0,,0,5,465,0,0
2023100810,2023-10-08,1,6,33,MIN,KC,3,5,57,0,0,(6:33) (SHOTGUN) 8-K.COUSINS PASS INCOMPLETE SHORT RIGHT TO 17-K.OSBORN (38-L.SNEED).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,43,OPP,0,,0,,0,5,507,0,0
2023100810,2023-10-08,1,6,29,MIN,KC,4,5,57,1,0,(6:29) (SHOTGUN) 8-K.COUSINS PASS SHORT RIGHT TO 3-J.ADDISON TO KC 32 FOR 11 YARDS (6-B.COOK).,0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,43,OPP,0,,0,,0,5,511,0,0
2023100810,2023-10-08,1,5,50,MIN,KC,1,10,68,0,0,"(5:50) 2-A.MATTISON LEFT GUARD TO KC 30 FOR 2 YARDS (6-B.COOK; 23-D.TRANQUILL). PENALTY ON KC-98-T.WHARTON, DEFENSIVE HOLDING, 5 YARDS, ENFORCED AT KC 30.",0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,LEFT GUARD,32,OPP,1,KC,0,DEFENSIVE HOLDING,5,5,550,0,0
2023100810,2023-10-08,1,5,32,MIN,KC,1,10,75,0,0,(5:32) 8-K.COUSINS SACKED AT KC 33 FOR -8 YARDS (54-L.CHENAL).,0,2023,-8,UNDER CENTER,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,5,568,0,0
2023100810,2023-10-08,1,4,51,MIN,KC,2,18,67,0,0,"(4:51) (SHOTGUN) 8-K.COUSINS PASS SHORT MIDDLE TO 2-A.MATTISON TO KC 22 FOR 11 YARDS (20-J.REID, 2-J.WILLIAMS).",0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,33,OPP,0,,0,,0,5,609,0,0
2023100810,2023-10-08,1,4,10,MIN,KC,3,7,78,0,0,(4:10) (SHOTGUN) 8-K.COUSINS PASS INCOMPLETE SHORT LEFT TO 87-T.HOCKENSON.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,22,OPP,0,,0,,0,5,650,0,0
2023100810,2023-10-08,1,4,6,MIN,KC,4,7,78,0,0,"(4:06) 1-G.JOSEPH 40 YARD FIELD GOAL IS GOOD, CENTER-42-A.DEPAOLA, HOLDER-14-R.WRIGHT.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,22,OPP,0,,0,,0,5,654,0,0
2023100810,2023-10-08,1,4,2,KC,MIN,1,10,25,0,0,(4:02) (SHOTGUN) 25-C.EDWARDS-HELAIRE LEFT END TO KC 27 FOR 2 YARDS (58-J.HICKS).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,25,OWN,0,,0,,0,5,658,0,0
