GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,IND,TEN
2023100803,2023-10-08,1,9,37,TEN,IND,2,5,51,0,0,(9:37) 32-T.SPEARS RIGHT END TO IND 45 FOR 4 YARDS (45-E.SPEED).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,49,OPP,0,,0,,0,5,323,0,0
2023100803,2023-10-08,1,8,56,TEN,IND,3,1,55,1,0,(8:56) 32-T.SPEARS UP THE MIDDLE TO IND 42 FOR 3 YARDS (44-Z.FRANKLIN; 45-E.SPEED).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,45,OPP,0,,0,,0,5,364,0,0
2023100803,2023-10-08,1,8,18,TEN,IND,1,10,58,0,0,(8:18) (SHOTGUN) 17-R.TANNEHILL PASS SHORT LEFT TO 15-N.WESTBROOK-IKHINE TO IND 33 FOR 9 YARDS (23-K.MOORE).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,42,OPP,0,,0,,0,5,402,0,0
2023100803,2023-10-08,1,7,34,TEN,IND,2,1,67,0,0,"(7:34) 32-T.SPEARS UP THE MIDDLE TO IND 34 FOR -1 YARDS (96-T.BRYAN, 52-S.EBUKAM).",0,2023,-1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,33,OPP,0,,0,,0,5,446,0,0
2023100803,2023-10-08,1,6,49,TEN,IND,3,2,66,1,0,(6:49) (SHOTGUN) 17-R.TANNEHILL PASS SHORT MIDDLE TO 85-C.OKONKWO TO IND 28 FOR 6 YARDS (45-E.SPEED).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,34,OPP,0,,0,,0,5,491,0,0
2023100803,2023-10-08,1,6,9,TEN,IND,1,10,72,0,0,(6:09) 22-D.HENRY RIGHT END TO IND 27 FOR 1 YARD (41-G.STUARD).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,28,OPP,0,,0,,0,5,531,0,0
2023100803,2023-10-08,1,5,27,TEN,IND,2,9,73,0,0,(5:27) 32-T.SPEARS UP THE MIDDLE TO IND 24 FOR 3 YARDS (32-J.BLACKMON).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,27,OPP,0,,0,,0,5,573,0,0
2023100803,2023-10-08,1,4,45,TEN,IND,3,6,76,1,0,(4:45) (SHOTGUN) 17-R.TANNEHILL PASS SHORT MIDDLE TO 10-D.HOPKINS TO IND 13 FOR 11 YARDS (23-K.MOORE).,0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,24,OPP,0,,0,,0,5,615,0,0
2023100803,2023-10-08,1,4,7,TEN,IND,1,10,87,0,0,(4:07) (SHOTGUN) 22-D.HENRY PASS INCOMPLETE SHORT RIGHT TO 10-D.HOPKINS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,13,OPP,0,,0,,0,5,653,0,0
2023100803,2023-10-08,1,4,1,TEN,IND,2,10,87,0,0,(4:01) (SHOTGUN) 17-R.TANNEHILL PASS SHORT LEFT TO 22-D.HENRY TO IND 9 FOR 4 YARDS (23-K.MOORE).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,13,OPP,0,,0,,0,5,659,0,0
2023100803,2023-10-08,1,3,21,TEN,IND,3,6,91,0,0,"(3:21) (SHOTGUN) 17-R.TANNEHILL PASS INCOMPLETE SHORT MIDDLE TO 85-C.OKONKWO (44-Z.FRANKLIN) [94-TY.LEWIS]. PENALTY ON TEN-85-C.OKONKWO, OFFENSIVE PASS INTERFERENCE, DECLINED.",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,1,0,0,,9,OPP,0,TEN,0,OFFENSIVE PASS INTERFERENCE,0,5,699,0,0
2023100803,2023-10-08,1,3,17,TEN,IND,4,6,91,0,0,"(3:17) 6-N.FOLK 27 YARD FIELD GOAL IS GOOD, CENTER-46-M.COX, HOLDER-4-R.STONEHOUSE.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,9,OPP,0,,0,,0,5,703,0,0
2023100803,2023-10-08,1,3,13,IND,TEN,0,0,100,1,0,TIMEOUT AT 03:13.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,5,707,0,0
2023100803,2023-10-08,1,3,13,IND,TEN,0,0,65,1,0,"6-N.FOLK KICKS 65 YARDS FROM TEN 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,5,707,0,0
2023100803,2023-10-08,1,3,13,IND,TEN,1,10,25,0,0,(3:13) (SHOTGUN) 28-J.TAYLOR LEFT END TO IND 28 FOR 3 YARDS (94-J.JOHNSON).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,25,OWN,0,,0,,0,5,707,0,0
2023100803,2023-10-08,1,2,38,IND,TEN,2,7,28,1,0,"(2:38) (SHOTGUN) 5-A.RICHARDSON PASS SHORT RIGHT TO 11-M.PITTMAN TO IND 35 FOR 7 YARDS (0-S.MURPHY-BUNTING, 31-K.BYARD).",0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,5,742,0,0
2023100803,2023-10-08,1,1,55,IND,TEN,1,10,35,0,0,"(1:55) (SHOTGUN) 21-Z.MOSS UP THE MIDDLE TO IND 40 FOR 5 YARDS (50-J.GIBBENS, 96-D.AUTRY).",0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,35,OWN,0,,0,,0,5,785,0,0
2023100803,2023-10-08,1,1,19,IND,TEN,2,5,40,0,0,(1:19) (SHOTGUN) 6-I.MCKENZIE RIGHT END TO IND 44 FOR 4 YARDS (50-J.GIBBENS).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,40,OWN,0,,0,,0,5,821,0,0
2023100803,2023-10-08,1,0,50,IND,TEN,3,1,44,1,0,"(:50) (NO HUDDLE, SHOTGUN) 21-Z.MOSS UP THE MIDDLE FOR 56 YARDS, TOUCHDOWN.",0,2023,56,NO HUDDLE SHOTGUN,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,CENTER,44,OWN,0,,0,,0,5,850,0,0
2023100803,2023-10-08,1,0,41,TEN,IND,0,0,65,1,0,"7-M.GAY KICKS 65 YARDS FROM IND 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,5,859,0,0
2023100803,2023-10-08,1,0,41,TEN,IND,1,10,25,0,0,(:41) 22-D.HENRY LEFT GUARD TO TEN 27 FOR 2 YARDS (44-Z.FRANKLIN).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,25,OWN,0,,0,,0,5,859,0,0
2023100803,2023-10-08,1,0,41,IND,TEN,0,0,85,1,0,"7-M.GAY EXTRA POINT IS GOOD, CENTER-46-L.RHODES, HOLDER-8-R.SANCHEZ.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,5,859,0,0
2023100803,2023-10-08,1,0,41,IND,TEN,0,0,100,1,0,TIMEOUT AT 00:41.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,5,859,0,0
2023100803,2023-10-08,1,0,0,TEN,IND,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,5,900,0,0
2023100803,2023-10-08,2,15,0,TEN,IND,2,8,27,0,0,(15:00) (SHOTGUN) 17-R.TANNEHILL PASS INCOMPLETE SHORT MIDDLE TO 15-N.WESTBROOK-IKHINE [92-J.MARTIN].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,5,900,0,0
2023100803,2023-10-08,2,14,55,TEN,IND,3,8,27,0,0,(14:55) (SHOTGUN) 17-R.TANNEHILL PASS INCOMPLETE DEEP RIGHT TO 18-K.PHILIPS [99-D.BUCKNER].,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,5,905,0,0
2023100803,2023-10-08,2,14,50,TEN,IND,4,8,27,0,0,"(14:50) 4-R.STONEHOUSE PUNTS 43 YARDS TO IND 30, CENTER-46-M.COX. 6-I.MCKENZIE TO IND 35 FOR 5 YARDS (81-J.WHYLE, 86-K.RADER).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,5,910,0,0
2023100803,2023-10-08,2,14,38,IND,TEN,1,10,35,0,0,(14:38) (SHOTGUN) 5-A.RICHARDSON PASS SHORT LEFT TO 11-M.PITTMAN TO IND 39 FOR 4 YARDS (26-K.FULTON).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,35,OWN,0,,0,,0,5,922,0,0
