GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,SF,DAL
2023100811,2023-10-08,1,10,28,DAL,SF,4,9,26,0,0,"(10:28) 5-B.ANGER PUNTS 52 YARDS TO SF 22, CENTER-44-T.SIEG. 3-R.MCCLOUD TO SF 23 FOR 1 YARD (29-C.GOODWIN).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,5,272,0,0
2023100811,2023-10-08,1,10,20,SF,DAL,1,10,23,0,0,(10:20) 23-C.MCCAFFREY LEFT GUARD TO SF 28 FOR 5 YARDS (95-J.HANKINS; 55-L.VANDER ESCH).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,23,OWN,0,,0,,0,5,280,0,0
2023100811,2023-10-08,1,10,20,SF,DAL,0,0,100,1,0,TIMEOUT AT 10:20.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,5,280,0,0
2023100811,2023-10-08,1,9,40,SF,DAL,2,5,28,0,0,(9:40) 23-C.MCCAFFREY RIGHT END TO SF 31 FOR 3 YARDS (97-O.ODIGHIZUWA).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,28,OWN,0,,0,,0,5,320,0,0
2023100811,2023-10-08,1,8,57,SF,DAL,3,2,31,0,0,(8:57) (SHOTGUN) 13-B.PURDY PASS INCOMPLETE SHORT LEFT TO 23-C.MCCAFFREY (95-J.HANKINS).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,5,363,0,0
2023100811,2023-10-08,1,8,54,SF,DAL,4,2,31,0,0,"(8:54) 18-M.WISHNOWSKY PUNTS 48 YARDS TO DAL 21, CENTER-46-T.PEPPER, FAIR CATCH BY 9-K.TURPIN.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,5,366,0,0
2023100811,2023-10-08,1,8,46,SF,DAL,0,0,100,1,0,TIMEOUT AT 08:46.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,5,374,0,0
2023100811,2023-10-08,1,8,46,DAL,SF,1,10,21,0,0,(8:46) (SHOTGUN) 4-D.PRESCOTT PASS SHORT LEFT TO 20-T.POLLARD PUSHED OB AT DAL 20 FOR -1 YARDS (57-D.GREENLAW).,0,2023,-1,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,21,OWN,0,,0,,0,5,374,0,0
2023100811,2023-10-08,1,8,14,DAL,SF,2,11,20,0,0,(8:14) (SHOTGUN) 4-D.PRESCOTT PASS SHORT RIGHT TO 88-C.LAMB TO DAL 28 FOR 8 YARDS (54-F.WARNER).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,5,406,0,0
2023100811,2023-10-08,1,7,39,DAL,SF,3,3,28,0,0,(7:39) (SHOTGUN) 4-D.PRESCOTT SACKED AT DAL 22 FOR -6 YARDS (SACK SPLIT BY 97-N.BOSA AND 91-A.ARMSTEAD).,0,2023,-6,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,5,441,0,0
2023100811,2023-10-08,1,7,2,DAL,SF,4,9,22,0,0,"(7:02) 5-B.ANGER PUNTS 48 YARDS TO SF 30, CENTER-44-T.SIEG, FAIR CATCH BY 3-R.MCCLOUD.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,22,OWN,0,,0,,0,5,478,0,0
2023100811,2023-10-08,1,6,54,SF,DAL,1,10,30,0,0,(6:54) (SHOTGUN) 13-B.PURDY SACKED AT SF 28 FOR -2 YARDS (1-J.KEARSE).,0,2023,-2,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,30,OWN,0,,0,,0,5,486,0,0
2023100811,2023-10-08,1,6,54,SF,DAL,0,0,100,1,0,TIMEOUT AT 06:54.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,5,486,0,0
2023100811,2023-10-08,1,6,17,SF,DAL,2,12,28,0,0,(6:17) 19-D.SAMUEL LEFT GUARD RAN OB AT SF 39 FOR 11 YARDS (33-D.CLARK).,0,2023,11,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,28,OWN,0,,0,,0,5,523,0,0
2023100811,2023-10-08,1,5,40,SF,DAL,3,1,39,1,0,(5:40) (SHOTGUN) 23-C.MCCAFFREY UP THE MIDDLE TO SF 41 FOR 2 YARDS (99-C.GOLSTON; 11-M.PARSONS).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,39,OWN,0,,0,,0,5,560,0,0
2023100811,2023-10-08,1,4,58,SF,DAL,1,10,41,0,0,"(4:58) 23-C.MCCAFFREY LEFT TACKLE TO SF 46 FOR 5 YARDS (26-D.BLAND, 55-L.VANDER ESCH).",0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,41,OWN,0,,0,,0,5,602,0,0
2023100811,2023-10-08,1,4,14,SF,DAL,2,5,46,0,0,(4:14) (SHOTGUN) 13-B.PURDY PASS INCOMPLETE SHORT MIDDLE TO 85-G.KITTLE (95-J.HANKINS).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,46,OWN,0,,0,,0,5,646,0,0
2023100811,2023-10-08,1,4,10,SF,DAL,3,5,46,0,0,"(4:10) (SHOTGUN) 13-B.PURDY PASS INCOMPLETE SHORT LEFT TO 23-C.MCCAFFREY (6-D.WILSON). PENALTY ON DAL-1-J.KEARSE, DEFENSIVE OFFSIDE, 5 YARDS, ENFORCED AT SF 46 - NO PLAY.",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,1,0,0,,46,OWN,1,DAL,1,DEFENSIVE OFFSIDE,5,5,650,0,0
2023100811,2023-10-08,1,4,6,SF,DAL,1,10,51,0,0,(4:06) (SHOTGUN) 24-J.MASON UP THE MIDDLE TO DAL 42 FOR 7 YARDS (95-J.HANKINS).,0,2023,7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,49,OPP,0,,0,,0,5,654,0,0
2023100811,2023-10-08,1,3,26,SF,DAL,2,3,58,0,0,"(3:26) 24-J.MASON LEFT GUARD TO DAL 40 FOR 2 YARDS (14-M.BELL, 6-D.WILSON).",0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,42,OPP,0,,0,,0,5,694,0,0
2023100811,2023-10-08,1,2,45,SF,DAL,3,1,60,1,0,(2:45) 13-B.PURDY PASS SHORT RIGHT TO 44-K.JUSZCZYK RAN OB AT DAL 31 FOR 9 YARDS (1-J.KEARSE).,0,2023,9,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,40,OPP,0,,0,,0,5,735,0,0
2023100811,2023-10-08,1,2,0,SF,DAL,1,10,69,0,0,"(2:00) (SHOTGUN) PENALTY ON SF, DELAY OF GAME, 5 YARDS, ENFORCED AT DAL 31 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,31,OPP,1,SF,1,DELAY OF GAME,5,5,780,0,0
2023100811,2023-10-08,1,1,41,SF,DAL,1,15,64,0,0,(1:41) (SHOTGUN) 13-B.PURDY PASS INCOMPLETE DEEP MIDDLE TO 11-B.AIYUK (21-S.GILMORE).,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,36,OPP,0,,0,,0,5,799,0,0
2023100811,2023-10-08,1,1,37,SF,DAL,2,15,64,0,0,(1:37) (SHOTGUN) 13-B.PURDY PASS INCOMPLETE SHORT MIDDLE TO 10-R.BELL (26-D.BLAND).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,36,OPP,0,,0,,0,5,803,0,0
2023100811,2023-10-08,1,1,34,SF,DAL,3,15,64,0,0,"(1:34) (SHOTGUN) 23-C.MCCAFFREY UP THE MIDDLE TO DAL 41 FOR -5 YARDS (56-D.FOWLER, 90-D.LAWRENCE).",0,2023,-5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,36,OPP,0,,0,,0,5,806,0,0
2023100811,2023-10-08,1,0,53,SF,DAL,4,20,59,0,0,"(:53) 18-M.WISHNOWSKY PUNTS 36 YARDS TO DAL 5, CENTER-46-T.PEPPER, DOWNED BY SF-10-R.BELL.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,41,OPP,0,,0,,0,5,847,0,0
2023100811,2023-10-08,1,0,47,SF,DAL,0,0,100,1,0,TIMEOUT AT 00:47.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,5,853,0,0
2023100811,2023-10-08,1,0,47,DAL,SF,1,10,5,0,0,"(:47) 20-T.POLLARD LEFT END TO DAL 9 FOR 4 YARDS (54-F.WARNER). FUMBLES (54-F.WARNER), TOUCHED AT DAL 9, RECOVERED BY SF-90-K.GIVENS AT DAL 16. 90-K.GIVENS RAN OB AT DAL 16 FOR NO GAIN. THE REPLAY OFFICIAL REVIEWED THE LOOSE BALL RECOVERY RULING, AND THE PLAY WAS UPHELD. THE RULING ON THE FIELD STANDS.",0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,1,0,0,0,LEFT END,5,OWN,0,,0,,0,5,853,0,0
2023100811,2023-10-08,1,0,38,SF,DAL,1,10,84,0,0,(:38) 19-D.SAMUEL LEFT END PUSHED OB AT DAL 10 FOR 6 YARDS (26-D.BLAND).,0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,16,OPP,0,,0,,0,5,862,0,0
2023100811,2023-10-08,1,0,0,SF,DAL,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,5,900,0,0
2023100811,2023-10-08,2,15,0,SF,DAL,2,4,90,1,0,"(15:00) (SHOTGUN) 23-C.MCCAFFREY UP THE MIDDLE TO DAL 2 FOR 8 YARDS (2-J.LEWIS). FUMBLES (2-J.LEWIS), RECOVERED BY DAL-2-J.LEWIS AT DAL 2.",0,2023,8,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,1,0,0,0,CENTER,10,OPP,0,,0,,0,5,900,0,0
2023100811,2023-10-08,2,14,56,DAL,SF,1,10,2,0,0,(14:56) (SHOTGUN) 4-D.PRESCOTT PASS INCOMPLETE DEEP RIGHT TO 13-M.GALLUP (7-C.WARD).,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,2,OWN,0,,0,,0,5,904,0,0
