GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,BUF,JAX
2023100800,2023-10-08,2,3,52,BUF,JAX,1,10,55,0,0,(3:52) 17-J.ALLEN SCRAMBLES RIGHT END RAN OB AT JAX 38 FOR 7 YARDS (45-K.CHAISSON; 32-TY.CAMPBELL).,0,2023,7,UNDER CENTER,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,45,OPP,0,,0,,0,5,1568,0,0
2023100800,2023-10-08,2,3,13,BUF,JAX,2,3,62,0,0,(3:13) (NO HUDDLE) 28-L.MURRAY RIGHT GUARD TO JAX 36 FOR 2 YARDS (2-R.JENKINS).,0,2023,2,NO HUDDLE,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,38,OPP,0,,0,,0,5,1607,0,0
2023100800,2023-10-08,2,2,35,BUF,JAX,3,1,64,1,0,(2:35) 76-D.EDWARDS REPORTED IN AS ELIGIBLE.  17-J.ALLEN LEFT END PUSHED OB AT JAX 31 FOR 5 YARDS (41-J.ALLEN).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,36,OPP,0,,0,,0,5,1645,0,0
2023100800,2023-10-08,2,2,0,BUF,JAX,0,0,100,1,0,TWO-MINUTE WARNING,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,5,1680,0,0
2023100800,2023-10-08,2,2,0,BUF,JAX,1,10,69,0,0,(2:00) (SHOTGUN) 17-J.ALLEN PASS SHORT RIGHT TO 14-S.DIGGS TO JAX 25 FOR 6 YARDS (31-DARI.WILLIAMS).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,31,OPP,0,,0,,0,5,1680,0,0
2023100800,2023-10-08,2,1,29,BUF,JAX,2,4,75,0,0,"(1:29) (NO HUDDLE, SHOTGUN) 17-J.ALLEN PASS INCOMPLETE SHORT RIGHT [44-T.WALKER].",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,5,1711,0,0
2023100800,2023-10-08,2,1,23,BUF,JAX,3,4,75,1,0,(1:23) (SHOTGUN) 17-J.ALLEN PASS SHORT LEFT TO 13-G.DAVIS RAN OB AT JAX 15 FOR 10 YARDS.,0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,5,1717,0,0
2023100800,2023-10-08,2,1,19,BUF,JAX,1,10,85,1,0,"(1:19) (NO HUDDLE, SHOTGUN) 17-J.ALLEN PASS SHORT RIGHT TO 14-S.DIGGS FOR 15 YARDS, TOUCHDOWN.",0,2023,15,NO HUDDLE SHOTGUN,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,5,1721,0,0
2023100800,2023-10-08,2,1,14,BUF,JAX,0,0,85,1,0,"2-T.BASS EXTRA POINT IS GOOD, CENTER-69-R.FERGUSON, HOLDER-8-S.MARTIN.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,5,1726,0,0
2023100800,2023-10-08,2,1,14,JAX,BUF,0,0,65,1,0,"2-T.BASS KICKS 65 YARDS FROM BUF 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,5,1726,0,0
2023100800,2023-10-08,2,1,14,JAX,BUF,1,10,25,1,0,"(1:14) (SHOTGUN) 16-T.LAWRENCE PASS SHORT MIDDLE TO 1-T.ETIENNE TO JAX 35 FOR 10 YARDS (23-M.HYDE, 43-T.BERNARD).",0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,5,1726,0,0
2023100800,2023-10-08,2,0,55,JAX,BUF,1,10,35,0,0,"(:55) (NO HUDDLE, SHOTGUN) 16-T.LAWRENCE PASS SHORT RIGHT TO 7-Z.JONES PUSHED OB AT JAX 42 FOR 7 YARDS (24-K.ELAM).",0,2023,7,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,35,OWN,0,,0,,0,5,1745,0,0
