GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,MIA,NYG
2023100804,2023-10-08,1,7,16,MIA,NYG,2,2,98,1,0,"(7:16) (NO HUDDLE, SHOTGUN) 1-T.TAGOVAILOA PASS SHORT LEFT TO 17-J.WADDLE FOR 2 YARDS, TOUCHDOWN.",0,2023,2,NO HUDDLE SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,0,0,0,0,,2,OPP,0,,0,,0,464,0,0
2023100804,2023-10-08,1,7,9,NYG,MIA,0,0,65,1,0,"7-J.SANDERS KICKS 65 YARDS FROM MIA 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,471,0,0
2023100804,2023-10-08,1,7,9,MIA,NYG,0,0,100,1,0,TIMEOUT AT 07:09.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,471,0,0
2023100804,2023-10-08,1,7,9,MIA,NYG,0,0,85,1,0,"7-J.SANDERS EXTRA POINT IS GOOD, CENTER-44-B.FERGUSON, HOLDER-16-J.BAILEY.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,471,0,0
2023100804,2023-10-08,1,7,9,NYG,MIA,1,10,25,0,0,(7:09) (SHOTGUN) 20-E.GRAY RIGHT GUARD TO NYG 30 FOR 5 YARDS (25-X.HOWARD; 51-D.LONG).,0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,25,OWN,0,,0,,0,471,0,0
2023100804,2023-10-08,1,6,33,NYG,MIA,2,5,30,0,0,"(6:33) (SHOTGUN) 20-E.GRAY LEFT END RAN OB AT MIA 49 FOR 21 YARDS (21-D.ELLIOTT). PENALTY ON NYG-68-B.BREDESON, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT NYG 33.",0,2023,21,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,LEFT END,30,OWN,1,NYG,0,OFFENSIVE HOLDING,10,507,0,0
2023100804,2023-10-08,1,6,6,NYG,MIA,2,12,23,1,0,(6:06) (SHOTGUN) 8-D.JONES PASS SHORT RIGHT TO 3-S.SHEPARD TO NYG 36 FOR 13 YARDS (51-D.LONG).,0,2023,13,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,23,OWN,0,,0,,0,534,0,0
2023100804,2023-10-08,1,5,39,NYG,MIA,1,10,36,0,0,(5:39) (NO HUDDLE) 17-W.ROBINSON RIGHT END TO NYG 37 FOR 1 YARD (51-D.LONG; 21-D.ELLIOTT).,0,2023,1,NO HUDDLE,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,36,OWN,0,,0,,0,561,0,0
2023100804,2023-10-08,1,5,6,NYG,MIA,2,9,37,0,0,"(5:06) (SHOTGUN) 20-E.GRAY LEFT GUARD TO NYG 45 FOR 8 YARDS (21-D.ELLIOTT, 2-B.CHUBB).",0,2023,8,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,37,OWN,0,,0,,0,594,0,0
2023100804,2023-10-08,1,4,34,NYG,MIA,3,1,45,1,0,(4:34) 8-D.JONES UP THE MIDDLE TO NYG 47 FOR 2 YARDS (2-B.CHUBB).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,45,OWN,0,,0,,0,626,0,0
