GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,LV,GB
2023100900,2023-10-09,1,9,8,LV,GB,2,12,31,1,0,(9:08) 10-J.GAROPPOLO PASS SHORT LEFT TO 17-D.ADAMS PUSHED OB AT LV 43 FOR 12 YARDS (7-Q.WALKER).,0,2023,12,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,352,0,0
2023100900,2023-10-09,1,8,35,LV,GB,1,10,43,0,0,"(8:35) 8-J.JACOBS UP THE MIDDLE TO LV 43 FOR NO GAIN (26-D.SAVAGE, 58-I.MCDUFFIE).",0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,43,OWN,0,,0,,0,385,0,0
2023100900,2023-10-09,1,8,35,LV,GB,0,0,100,1,0,TIMEOUT #1 BY LV AT 08:35.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,385,0,0
2023100900,2023-10-09,1,7,59,LV,GB,2,10,43,0,0,(7:59) 10-J.GAROPPOLO PASS SHORT RIGHT TO 81-A.HOOPER TO LV 47 FOR 4 YARDS (25-K.NIXON).,0,2023,4,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,43,OWN,0,,0,,0,421,0,0
2023100900,2023-10-09,1,7,18,LV,GB,3,6,47,0,0,(7:18) (SHOTGUN) 10-J.GAROPPOLO SACKED AT LV 38 FOR -9 YARDS (97-K.CLARK).,0,2023,-9,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,47,OWN,0,,0,,0,462,0,0
2023100900,2023-10-09,1,6,37,LV,GB,4,15,38,0,0,"(6:37) 6-A.COLE PUNTS 55 YARDS TO GB 7, CENTER-50-J.BOBENMOYER, OUT OF BOUNDS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,503,0,0
2023100900,2023-10-09,1,6,30,LV,GB,0,0,100,1,0,TIMEOUT AT 06:30.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,510,0,0
2023100900,2023-10-09,1,6,30,GB,LV,1,10,7,0,0,(6:30) 28-A.DILLON RIGHT GUARD TO GB 15 FOR 8 YARDS (5-D.DEABLO).,0,2023,8,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,7,OWN,0,,0,,0,510,0,0
2023100900,2023-10-09,1,5,50,GB,LV,2,2,15,0,0,"(5:50) 28-A.DILLON LEFT TACKLE TO GB 20 FOR 5 YARDS (41-R.SPILLANE; 9-T.WILSON). PENALTY ON LV-98-M.CROSBY, UNNECESSARY ROUGHNESS, 15 YARDS, ENFORCED AT GB 20.",0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,LEFT TACKLE,15,OWN,1,LV,0,UNNECESSARY ROUGHNESS,15,550,0,0
2023100900,2023-10-09,1,5,28,GB,LV,1,10,35,1,0,(5:28) 10-J.LOVE SCRAMBLES LEFT TACKLE TO LV 39 FOR 26 YARDS (1-M.EPPS).,0,2023,26,UNDER CENTER,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,35,OWN,0,,0,,0,572,0,0
