GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,CIN,ARI
2023100807,2023-10-08,1,7,15,CIN,ARI,3,2,98,1,0,"(7:15) (SHOTGUN) 9-J.BURROW PASS SHORT LEFT TO 1-J.CHASE FOR 2 YARDS, TOUCHDOWN.",0,2023,2,SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,0,0,0,0,,2,OPP,0,,0,,0,465,0,0
2023100807,2023-10-08,1,7,9,ARI,CIN,0,0,65,1,0,"2-E.MCPHERSON KICKS 65 YARDS FROM CIN 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,471,0,0
2023100807,2023-10-08,1,7,9,CIN,ARI,0,0,85,1,0,"2-E.MCPHERSON EXTRA POINT IS GOOD, CENTER-48-C.ADOMITIS, HOLDER-10-B.ROBBINS.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,471,0,0
2023100807,2023-10-08,1,7,9,ARI,CIN,0,0,100,1,0,TIMEOUT AT 07:09.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,471,0,0
2023100807,2023-10-08,1,7,9,ARI,CIN,1,10,25,0,0,"(7:09) 6-J.CONNER LEFT TACKLE TO ARI 27 FOR 2 YARDS (94-S.HUBBARD, 23-D.HILL).",0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,25,OWN,0,,0,,0,471,0,0
2023100807,2023-10-08,1,6,48,ARI,CIN,2,8,27,0,0,"(6:48) (NO HUDDLE, SHOTGUN) 9-J.DOBBS PASS INCOMPLETE DEEP LEFT TO 2-M.BROWN.",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,492,0,0
2023100807,2023-10-08,1,6,44,ARI,CIN,3,8,27,0,0,(6:44) (SHOTGUN) 9-J.DOBBS PASS SHORT RIGHT TO 4-R.MOORE TO ARI 28 FOR 1 YARD (20-D.TURNER).,0,2023,1,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,496,0,0
2023100807,2023-10-08,1,6,3,ARI,CIN,4,7,28,0,0,"(6:03) 12-B.GILLIKIN PUNTS 48 YARDS TO CIN 24, CENTER-46-A.BREWER. 16-T.IRWIN TO ARI 48 FOR 28 YARDS (47-E.TURNER, 12-B.GILLIKIN).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,537,0,0
2023100807,2023-10-08,1,5,51,ARI,CIN,0,0,100,1,0,TIMEOUT AT 05:51.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,549,0,0
2023100807,2023-10-08,1,5,51,CIN,ARI,1,10,52,0,0,"(5:51) (SHOTGUN) 28-J.MIXON LEFT TACKLE TO ARI 46 FOR 2 YARDS (97-C.THOMAS, 90-B.STILLE).",0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,48,OPP,0,,0,,0,549,0,0
2023100807,2023-10-08,1,5,12,CIN,ARI,2,8,54,1,0,"(5:12) (SHOTGUN) 9-J.BURROW PASS SHORT RIGHT TO 16-T.IRWIN TO ARI 37 FOR 9 YARDS (22-K.WALLACE, 13-K.CLARK).",0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,46,OPP,0,,0,,0,588,0,0
2023100807,2023-10-08,1,4,29,CIN,ARI,1,10,63,1,0,"(4:29) (SHOTGUN) 9-J.BURROW PASS SHORT LEFT TO 1-J.CHASE TO ARI 18 FOR 19 YARDS (36-A.CHACHERE, 22-K.WALLACE).",0,2023,19,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,37,OPP,0,,0,,0,631,0,0
2023100807,2023-10-08,1,3,47,CIN,ARI,1,10,82,1,0,(3:47) (SHOTGUN) 9-J.BURROW PASS SHORT RIGHT TO 1-J.CHASE RAN OB AT ARI 7 FOR 11 YARDS (13-K.CLARK).,0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,18,OPP,0,,0,,0,673,0,0
2023100807,2023-10-08,1,3,14,CIN,ARI,1,7,93,0,0,(3:14) (SHOTGUN) 9-J.BURROW PASS INCOMPLETE SHORT LEFT TO 1-J.CHASE.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,7,OPP,0,,0,,0,706,0,0
2023100807,2023-10-08,1,3,10,CIN,ARI,2,7,93,0,0,"(3:10) (SHOTGUN) 9-J.BURROW PASS SHORT LEFT TO 16-T.IRWIN TO ARI 6 FOR 1 YARD (34-J.THOMPSON). FUMBLES (34-J.THOMPSON), BALL OUT OF BOUNDS AT ARI 7.",0,2023,1,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,1,0,0,0,,7,OPP,0,,0,,0,710,0,0
2023100807,2023-10-08,1,2,35,CIN,ARI,3,7,93,0,0,(2:35) (SHOTGUN) 9-J.BURROW SACKED AT ARI 22 FOR -15 YARDS (92-K.STRONG).,0,2023,-15,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,7,OPP,0,,0,,0,745,0,0
2023100807,2023-10-08,1,1,50,CIN,ARI,4,22,78,0,0,"(1:50) 2-E.MCPHERSON 40 YARD FIELD GOAL IS GOOD, CENTER-48-C.ADOMITIS, HOLDER-10-B.ROBBINS.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,22,OPP,0,,0,,0,790,0,0
2023100807,2023-10-08,1,1,46,ARI,CIN,0,0,100,1,0,TIMEOUT AT 01:46.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,794,0,0
2023100807,2023-10-08,1,1,46,ARI,CIN,0,0,65,1,0,"2-E.MCPHERSON KICKS 65 YARDS FROM CIN 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,794,0,0
2023100807,2023-10-08,1,1,46,ARI,CIN,1,10,25,1,0,(1:46) 9-J.DOBBS PASS SHORT RIGHT TO 85-T.MCBRIDE PUSHED OB AT ARI 38 FOR 13 YARDS (55-L.WILSON).,0,2023,13,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,794,0,0
2023100807,2023-10-08,1,1,14,ARI,CIN,1,10,38,0,0,(1:14) 6-J.CONNER UP THE MIDDLE TO ARI 39 FOR 1 YARD (94-S.HUBBARD).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,38,OWN,0,,0,,0,826,0,0
