GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,NO,NE
2023100805,2023-10-08,1,15,0,NO,NE,0,0,65,1,0,37-C.RYLAND KICKS 61 YARDS FROM NE 35 TO NO 4. 22-R.SHAHEED TO NO 22 FOR 18 YARDS (5-J.PEPPERS).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0
2023100805,2023-10-08,1,14,55,NO,NE,1,10,22,0,0,(14:55) (SHOTGUN) 41-A.KAMARA UP THE MIDDLE TO NO 25 FOR 3 YARDS (8-J.BENTLEY).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,22,OWN,0,,0,,0,5,0,0
2023100805,2023-10-08,1,14,30,NO,NE,2,7,25,0,0,(14:30) (SHOTGUN) 4-D.CARR PASS SHORT MIDDLE TO 41-A.KAMARA TO NO 28 FOR 3 YARDS (8-J.BENTLEY).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,30,0,0
2023100805,2023-10-08,1,13,53,NO,NE,3,4,28,1,0,(13:53) (SHOTGUN) 4-D.CARR PASS SHORT RIGHT TO 13-M.THOMAS PUSHED OB AT NO 42 FOR 14 YARDS (27-M.BRYANT).,0,2023,14,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,67,0,0
2023100805,2023-10-08,1,13,19,NO,NE,1,10,42,0,0,(13:19) 73-M.GARCIA REPORTED IN AS ELIGIBLE.  4-D.CARR SCRAMBLES LEFT TACKLE TO NO 47 FOR 5 YARDS (8-J.BENTLEY).,0,2023,5,UNDER CENTER,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,42,OWN,0,,0,,0,101,0,0
2023100805,2023-10-08,1,12,42,NO,NE,2,5,47,1,0,(12:42) 41-A.KAMARA RIGHT TACKLE TO NE 45 FOR 8 YARDS (91-D.WISE).,0,2023,8,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,47,OWN,0,,0,,0,138,0,0
2023100805,2023-10-08,1,12,3,NO,NE,1,10,55,0,0,(12:03) 73-M.GARCIA REPORTED IN AS ELIGIBLE.  4-D.CARR PASS INCOMPLETE DEEP LEFT TO 12-C.OLAVE.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,45,OPP,0,,0,,0,177,0,0
2023100805,2023-10-08,1,11,58,NO,NE,2,10,55,0,0,"(11:58) NO 7-HILL NOW AT QB. (SHOTGUN) 41-A.KAMARA LEFT TACKLE TO NE 34 FOR 11 YARDS (8-J.BENTLEY; 23-K.DUGGER). PENALTY ON NE-90-C.BARMORE, DEFENSIVE HOLDING, OFFSETTING, ENFORCED AT NE 45 - NO PLAY. PENALTY ON NO-46-A.PRENTICE, OFFENSIVE HOLDING, OFFSETTING.",0,2023,11,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,LEFT TACKLE,45,OPP,1,NE,1,DEFENSIVE HOLDING,0,182,0,0
2023100805,2023-10-08,1,11,29,NO,NE,2,10,55,0,0,(11:29) NO 4-CARR NOW AT QB. (SHOTGUN) 4-D.CARR PASS INCOMPLETE DEEP LEFT TO 13-M.THOMAS (26-S.WADE).,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,45,OPP,0,,0,,0,211,0,0
2023100805,2023-10-08,1,11,23,NO,NE,3,10,55,0,0,(11:23) (SHOTGUN) 4-D.CARR SACKED AT NO 46 FOR -9 YARDS (8-J.BENTLEY).,0,2023,-9,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,45,OPP,0,,0,,0,217,0,0
