GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,WAS,CHI
2023100500,2023-10-05,1,15,0,CHI,WAS,0,0,65,1,0,"6-J.SLYE KICKS 65 YARDS FROM WAS 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,5,0,0,0
2023100500,2023-10-05,1,15,0,CHI,WAS,1,10,25,0,0,(15:00) (SHOTGUN) 1-J.FIELDS PASS INCOMPLETE DEEP RIGHT TO 11-D.MOONEY.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,5,0,0,0
2023100500,2023-10-05,1,14,54,CHI,WAS,2,10,25,0,0,(14:54) (SHOTGUN) 24-K.HERBERT LEFT TACKLE TO CHI 26 FOR 1 YARD (90-M.SWEAT).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,25,OWN,0,,0,,0,5,6,0,0
2023100500,2023-10-05,1,14,16,CHI,WAS,3,9,26,1,0,(14:16) (SHOTGUN) 1-J.FIELDS PASS DEEP LEFT TO 2-D.MOORE PUSHED OB AT WAS 16 FOR 58 YARDS (22-D.FORREST).,0,2023,58,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,5,44,0,0
2023100500,2023-10-05,1,13,30,CHI,WAS,1,10,84,0,0,(13:30) 24-K.HERBERT RIGHT TACKLE TO WAS 16 FOR NO GAIN (57-C.BARTON; 31-K.CURL).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,16,OPP,0,,0,,0,5,90,0,0
2023100500,2023-10-05,1,13,30,CHI,WAS,0,0,100,1,0,TIMEOUT #1 BY CHI AT 13:30.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,5,90,0,0
2023100500,2023-10-05,1,12,52,CHI,WAS,2,10,84,0,0,(12:52) (SHOTGUN) 1-J.FIELDS SACKED AT WAS 20 FOR -4 YARDS (90-M.SWEAT).,0,2023,-4,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,16,OPP,0,,0,,0,5,128,0,0
2023100500,2023-10-05,1,12,9,CHI,WAS,3,14,80,1,0,"(12:09) (SHOTGUN) 1-J.FIELDS PASS DEEP LEFT TO 2-D.MOORE FOR 20 YARDS, TOUCHDOWN.",0,2023,20,SHOTGUN,PASS,0,1,0,1,DEEP LEFT,0,0,0,,0,0,0,0,0,,20,OPP,0,,0,,0,5,171,0,0
2023100500,2023-10-05,1,12,4,WAS,CHI,0,0,100,1,0,TIMEOUT AT 12:04.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,5,176,0,0
2023100500,2023-10-05,1,12,4,CHI,WAS,0,0,85,1,0,"8-C.SANTOS EXTRA POINT IS GOOD, CENTER-48-P.SCALES, HOLDER-16-T.GILL.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,5,176,0,0
2023100500,2023-10-05,1,12,4,WAS,CHI,1,10,25,0,0,"(12:04) (SHOTGUN) 8-B.ROBINSON RIGHT GUARD TO WAS 30 FOR 5 YARDS (53-T.EDWARDS, 9-J.BRISKER).",0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,25,OWN,0,,0,,0,5,176,0,0
2023100500,2023-10-05,1,12,4,WAS,CHI,0,0,65,1,0,"8-C.SANTOS KICKS 65 YARDS FROM CHI 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,5,176,0,0
2023100500,2023-10-05,1,11,31,WAS,CHI,2,5,30,0,0,(11:31) (SHOTGUN) 14-S.HOWELL PASS SHORT RIGHT TO 82-L.THOMAS PUSHED OB AT WAS 34 FOR 4 YARDS (29-T.STEVENSON).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,30,OWN,0,,0,,0,5,209,0,0
2023100500,2023-10-05,1,10,54,WAS,CHI,3,1,34,0,0,(10:54) 8-B.ROBINSON LEFT TACKLE TO WAS 33 FOR -1 YARDS (97-A.BILLINGS).,0,2023,-1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,34,OWN,0,,0,,0,5,246,0,0
