GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,ATL,HOU
2023100801,2023-10-08,1,9,26,ATL,HOU,2,7,41,1,0,(9:26) (SHOTGUN) 5-D.LONDON PASS SHORT LEFT TO 81-J.SMITH TO HOU 37 FOR 22 YARDS (53-B.CASHMAN).,0,2023,22,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,41,OWN,0,,0,,0,334,0,0
2023100801,2023-10-08,1,8,47,ATL,HOU,1,10,63,1,0,(8:47) 7-B.ROBINSON RIGHT TACKLE TO HOU 24 FOR 13 YARDS (5-J.PITRE).,0,2023,13,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,37,OPP,0,,0,,0,373,0,0
2023100801,2023-10-08,1,8,10,ATL,HOU,1,10,76,0,0,(8:10) (SHOTGUN) 25-T.ALLGEIER RIGHT TACKLE TO HOU 23 FOR 1 YARD (94-K.DAVIS).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,24,OPP,0,,0,,0,410,0,0
2023100801,2023-10-08,1,7,31,ATL,HOU,2,9,77,1,0,(7:31) (SHOTGUN) 9-D.RIDDER PASS SHORT LEFT TO 8-K.PITTS TO HOU 7 FOR 16 YARDS (5-J.PITRE) [96-M.COLLINS].,0,2023,16,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,23,OPP,0,,0,,0,449,0,0
2023100801,2023-10-08,1,6,53,ATL,HOU,1,7,93,1,0,"(6:53) (SHOTGUN) 9-D.RIDDER LEFT END FOR 7 YARDS, TOUCHDOWN.",0,2023,7,SHOTGUN,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,LEFT END,7,OPP,0,,0,,0,487,0,0
2023100801,2023-10-08,1,6,48,HOU,ATL,1,10,25,1,0,(6:48) 31-D.PIERCE RIGHT GUARD TO HOU 40 FOR 15 YARDS (55-K.ELLISS).,0,2023,15,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,25,OWN,0,,0,,0,492,0,0
2023100801,2023-10-08,1,6,48,ATL,HOU,0,0,85,1,0,"6-Y.KOO EXTRA POINT IS GOOD, CENTER-49-L.MCCULLOUGH, HOLDER-13-B.PINION.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,492,0,0
2023100801,2023-10-08,1,6,48,ATL,HOU,0,0,100,1,0,TIMEOUT AT 06:48.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,492,0,0
2023100801,2023-10-08,1,6,48,HOU,ATL,0,0,65,1,0,"13-B.PINION KICKS 65 YARDS FROM ATL 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,492,0,0
2023100801,2023-10-08,1,6,9,HOU,ATL,1,10,40,0,0,(6:09) 31-D.PIERCE RIGHT END TO HOU 34 FOR -6 YARDS (0-L.CARTER).,0,2023,-6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,40,OWN,0,,0,,0,531,0,0
2023100801,2023-10-08,1,5,28,HOU,ATL,2,16,34,0,0,(5:28) (SHOTGUN) 7-C.STROUD PASS SHORT LEFT TO 3-N.DELL TO HOU 40 FOR 6 YARDS (55-K.ELLISS).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,34,OWN,0,,0,,0,572,0,0
2023100801,2023-10-08,1,4,47,HOU,ATL,3,10,40,0,0,(4:47) (SHOTGUN) 7-C.STROUD PASS INCOMPLETE SHORT LEFT TO 26-D.SINGLETARY.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,40,OWN,0,,0,,0,613,0,0
2023100801,2023-10-08,1,4,42,HOU,ATL,4,10,40,0,0,"(4:42) 11-C.JOHNSTON PUNTS 48 YARDS TO ATL 12, CENTER-46-J.WEEKS. 21-M.HUGHES PUSHED OB AT ATL 22 FOR 10 YARDS (23-E.MURRAY).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,40,OWN,0,,0,,0,618,0,0
2023100801,2023-10-08,1,4,32,ATL,HOU,0,0,100,1,0,TIMEOUT AT 04:32.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,628,0,0
